气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,432.67,82.40,106.20,44.07,1.66,10.6887,255.7233,overlap
2,380.34,44.96,89.02,57.48,8.08,10.6799,234.3388,overlap
3,592.28,273.91,83.09,48.56,177.57,12.6622,172.4725,overlap
4,875.00,600.83,54.76,52.04,176.20,5.2463,80.2718,single
5,845.24,255.87,49.48,39.21,30.39,5.8324,49.3897,single
6,878.39,447.03,48.76,43.25,8.72,6.9010,52.8984,single
7,285.39,512.37,75.66,48.18,16.82,8.2066,141.8807,single
8,587.76,527.94,65.88,37.51,164.84,8.5933,83.7495,overlap
9,799.63,533.92,76.14,50.70,170.97,8.3937,151.2047,single
10,832.92,466.09,67.63,41.61,30.33,7.7597,97.9232,single
11,250.56,285.13,75.80,49.99,21.68,7.3414,147.7635,single
12,354.21,548.93,46.73,40.06,18.24,6.2934,45.0134,single
13,317.12,281.64,56.76,41.65,145.19,6.0866,69.0344,single
14,883.89,302.19,39.36,35.44,7.38,4.8034,28.2527,single
15,425.16,596.10,55.85,38.99,176.66,11.0174,62.5572,single
16,723.57,96.92,48.19,39.87,172.68,11.4994,47.6336,single
17,684.17,413.49,51.22,46.48,170.92,9.9674,62.7306,single
18,779.92,407.19,41.86,37.08,6.37,7.3033,33.4270,single
22,371.40,145.67,50.62,31.88,156.23,18.7346,42.0206,overlap
23,838.52,147.35,55.06,42.34,36.83,6.3547,66.0445,single
24,659.82,261.30,79.35,53.16,18.57,10.5054,172.1742,overlap
25,722.20,553.85,61.55,44.91,53.27,5.2439,87.5376,overlap
26,514.70,268.79,59.85,44.78,174.19,9.8626,82.5231,single
27,630.38,331.38,73.98,33.47,177.79,11.7318,94.2638,overlap
28,733.42,274.96,57.28,36.77,4.33,3.3231,62.0701,overlap
29,424.32,250.55,76.56,41.00,152.11,5.2929,123.6345,single
30,575.21,28.95,51.65,47.62,7.80,9.9814,65.3631,overlap
31,592.04,606.95,44.31,42.90,3.84,9.9901,43.3325,overlap
32,541.65,646.12,38.39,36.87,5.71,8.3713,27.9618,single
33,756.08,452.31,68.06,48.67,21.71,8.1764,115.9709,single
34,535.52,395.18,44.93,40.88,3.66,8.6185,42.4575,single
35,531.87,487.41,89.70,44.31,152.70,9.6595,183.4559,overlap
40,557.74,198.14,57.11,38.30,154.22,10.8308,64.2630,single
41,468.76,193.89,70.66,42.41,151.02,11.8166,108.9157,overlap
42,705.73,462.85,45.33,41.53,170.94,6.4711,43.9124,overlap
45,736.62,135.53,63.92,37.43,166.03,6.7629,78.6760,overlap
52,393.59,416.57,106.05,48.75,143.14,10.8279,282.0905,overlap
57,657.77,475.02,52.51,41.98,3.53,6.8156,59.5426,overlap
58,759.01,572.03,24.70,21.37,178.36,4.5014,6.7085,single
61,713.23,334.53,63.00,31.93,20.78,11.1504,65.1994,overlap
62,591.11,154.98,41.79,35.87,31.02,6.3938,32.2224,single
63,778.51,305.78,81.90,58.64,153.40,15.0524,202.3329,overlap
64,454.30,164.47,74.24,44.08,151.90,18.7640,124.9708,overlap
65,428.44,383.64,90.66,64.32,164.79,9.2733,271.9544,overlap
67,644.01,598.86,76.25,34.49,3.21,10.5222,103.1800,overlap
68,391.85,156.95,74.42,40.29,149.49,11.6174,114.7958,overlap
69,655.87,510.77,67.88,37.14,9.94,7.9533,88.0358,overlap
70,312.75,650.54,72.08,44.15,173.38,7.2663,118.0024,single
71,585.45,72.89,70.40,45.88,21.23,10.5117,116.9969,overlap
72,640.90,476.45,49.66,37.71,8.14,14.4161,47.8450,overlap
74,774.63,7.33,90.87,45.46,15.06,6.0624,193.1116,overlap
77,483.66,6.81,90.70,38.81,163.13,6.5534,164.2643,overlap
79,726.89,309.15,54.13,52.94,5.47,9.2315,79.7883,overlap
80,434.44,208.09,60.96,52.41,128.26,5.9906,100.2054,overlap
89,400.29,671.80,73.52,45.39,162.00,9.5263,126.2224,single
179,310.24,724.82,45.51,45.25,174.68,5.7271,48.2147,single
54,674.90,351.10,32.08,31.52,177.73,6.9096,16.6887,single
51,775.40,368.21,34.45,26.85,16.81,11.7827,16.3918,single
46,561.71,331.87,75.47,37.36,172.06,12.0832,109.4677,overlap
207,872.48,733.47,24.10,22.47,1.34,5.2728,6.7150,single
232,692.54,701.77,82.77,42.97,3.38,12.5556,151.4316,overlap
234,518.52,699.92,53.64,45.38,179.05,9.3575,67.1625,overlap
84,392.79,349.48,75.03,37.15,144.50,8.1032,107.5999,overlap
251,648.45,710.32,62.97,53.83,173.93,9.2797,109.8227,overlap
83,460.55,529.78,82.80,50.60,1.54,12.1808,178.4715,single
37,721.13,595.26,89.37,44.66,15.11,7.8430,183.4833,overlap
289,435.25,734.74,96.39,65.12,160.04,8.0998,311.2410,single
285,712.40,622.77,55.19,47.27,179.68,7.4057,74.0749,overlap
60,717.86,13.53,39.62,37.29,1.94,9.8019,30.1115,overlap
