气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,434.02,75.73,106.47,41.68,1.01,14.5769,243.0647,overlap
2,381.17,39.04,87.71,56.76,5.37,9.4127,224.6063,overlap
3,590.96,267.76,80.09,48.47,176.23,9.2751,159.9567,overlap
4,874.97,597.04,55.24,51.87,175.38,6.3432,81.4251,single
5,845.00,251.61,49.30,38.59,27.26,5.7279,48.2592,single
6,879.94,443.26,46.64,43.33,4.51,5.9254,48.4992,single
7,285.98,507.32,75.16,48.37,18.13,8.2850,140.5824,single
8,585.56,521.29,64.94,38.91,166.11,10.8478,84.4219,overlap
9,799.66,528.01,77.13,50.22,171.54,9.1940,153.6967,single
10,833.89,462.15,69.27,42.34,30.03,6.4638,104.5291,single
11,250.24,280.26,75.64,50.36,22.44,8.4303,148.2130,single
12,354.17,544.31,46.66,40.36,21.04,7.8519,45.1915,single
13,317.05,278.88,57.02,40.70,145.55,4.4574,68.0868,single
14,883.37,298.81,39.15,35.69,4.41,3.9361,28.1328,single
15,425.44,589.58,55.16,38.51,174.66,14.1317,60.2854,single
16,723.63,91.60,48.23,39.91,171.45,8.8483,47.7596,single
17,683.32,408.71,51.61,46.42,171.86,7.7170,63.6104,single
18,779.85,402.84,42.27,37.00,5.45,6.2605,34.0203,single
22,370.75,139.10,49.36,31.67,151.44,8.8373,39.6963,overlap
23,839.61,143.66,54.47,41.17,36.73,6.3464,62.8397,single
24,660.16,255.97,80.93,52.56,20.58,7.7407,177.1195,overlap
25,723.29,548.71,61.56,45.27,52.93,10.3423,88.2631,overlap
26,514.58,262.70,59.01,44.95,177.98,9.2060,80.5204,single
27,630.54,325.00,74.25,34.11,177.84,10.7935,96.7336,overlap
28,733.28,269.27,57.57,35.29,6.33,8.6601,60.1553,overlap
29,422.92,243.64,77.27,42.23,151.10,10.4566,129.7265,overlap
30,575.72,23.59,52.55,46.75,14.54,8.6473,66.4251,overlap
31,592.17,601.42,44.18,43.13,4.50,8.2915,43.3136,overlap
32,541.76,640.35,38.13,36.98,1.63,9.4640,27.6622,single
33,756.44,446.95,69.44,49.44,20.75,8.7195,122.6576,single
34,535.23,389.53,44.43,40.30,0.19,8.3144,40.9270,single
35,528.76,480.78,94.73,46.75,153.47,13.9045,215.8096,overlap
40,556.55,192.56,58.38,37.38,150.68,10.1509,65.5440,single
41,468.14,187.75,72.72,41.57,153.62,10.4914,113.1162,overlap
42,706.07,457.71,43.60,40.82,171.36,8.6298,39.9304,single
45,736.04,128.60,63.53,36.11,165.14,10.9108,74.9754,overlap
52,392.96,411.47,102.58,48.51,144.21,8.6704,262.6299,overlap
57,656.86,469.48,53.60,43.20,5.80,8.2929,63.8527,overlap
58,758.20,567.61,23.82,21.00,0.93,7.3581,6.1275,overlap
61,715.31,328.29,62.33,33.25,21.27,9.8688,66.4487,overlap
62,591.46,150.35,40.70,36.19,34.99,7.3253,30.8418,single
63,776.12,303.18,88.31,62.81,152.87,8.1133,251.9918,overlap
64,453.53,157.86,73.26,42.86,152.27,9.9462,118.3377,overlap
65,431.24,377.47,85.87,66.80,164.08,11.5797,253.4016,overlap
67,644.69,591.81,76.84,33.96,2.75,10.9834,103.1488,overlap
68,389.83,151.25,73.23,40.49,148.42,10.7422,111.7099,overlap
69,656.15,504.91,68.73,38.12,11.27,13.1346,92.6441,overlap
70,313.41,645.60,70.42,45.77,171.82,7.5814,116.7724,single
71,586.10,66.68,70.07,46.97,19.76,13.7435,118.6561,overlap
72,640.16,469.44,46.28,37.17,9.82,9.6551,40.9518,overlap
74,772.93,4.82,93.81,40.21,16.44,0.9749,182.0836,overlap
77,490.58,3.08,105.62,35.52,163.65,1.5542,203.8307,single
79,726.27,303.86,53.59,50.94,90.30,8.5715,75.2556,overlap
80,436.30,201.83,69.15,55.16,133.98,12.9230,135.6794,overlap
89,400.79,666.16,73.70,46.32,159.80,9.0639,129.4573,single
179,310.36,721.07,45.10,44.92,87.13,6.0224,47.0086,single
54,674.58,346.99,31.78,31.38,178.07,6.5833,16.3056,single
51,776.35,361.89,34.31,27.03,18.89,11.3593,16.3722,single
46,561.98,324.51,77.75,37.14,171.89,11.0623,115.4962,overlap
207,872.45,730.33,24.58,23.41,1.13,4.8176,7.2787,single
232,692.93,695.64,81.92,42.83,4.50,8.9454,147.8696,overlap
234,518.31,694.18,53.99,45.58,175.59,9.2059,68.3526,overlap
84,392.34,345.09,72.13,37.10,144.37,7.6074,99.3039,overlap
251,647.05,704.13,61.43,54.56,176.40,10.3303,105.9046,overlap
83,461.14,524.02,82.56,49.50,3.68,10.0146,173.5503,single
37,721.29,588.59,91.33,47.69,17.98,11.7112,204.6392,overlap
289,434.91,729.30,96.47,64.71,161.85,9.2738,309.7876,single
285,712.71,614.72,57.40,48.21,175.00,10.2531,81.7034,overlap
60,718.85,10.59,40.95,35.97,6.93,8.4600,31.0355,overlap
86,659.18,156.81,68.93,43.73,172.30,10.3978,106.8952,overlap
43,433.74,441.76,61.93,47.47,178.39,8.8833,93.6478,overlap
53,530.40,102.17,66.73,44.64,158.90,10.9839,102.2595,overlap
268,457.66,459.96,38.67,30.71,4.11,8.2706,23.6197,overlap
318,276.45,758.65,64.35,45.12,170.24,12.5720,96.1126,single
327,665.92,768.62,59.26,42.71,12.64,8.4793,77.1522,overlap
20,597.67,498.89,41.88,41.64,89.59,9.8634,37.5678,overlap
91,744.25,9.03,77.34,35.34,17.35,7.8499,108.7391,overlap
291,776.15,738.45,106.96,52.02,16.51,9.6002,306.1738,overlap
348,352.80,770.40,80.41,44.95,171.61,6.8769,149.5030,single
235,575.48,692.30,72.41,49.67,14.56,11.7296,133.9798,overlap
283,541.77,504.23,62.25,45.38,163.00,13.0533,90.4848,overlap
349,766.65,784.55,77.84,50.42,167.49,9.8339,157.1716,overlap
355,498.71,785.13,47.34,36.15,0.92,7.3012,41.6761,overlap
369,633.65,787.09,98.14,42.22,11.68,16.2942,209.1998,overlap
38,648.08,42.43,116.71,48.48,9.65,11.6331,339.7608,overlap
375,307.85,787.68,29.79,26.62,174.21,5.6328,12.1528,single
81,545.74,119.84,58.16,53.84,177.10,5.6806,93.6827,overlap
382,359.49,164.02,44.03,40.24,177.46,8.1261,40.1260,overlap
59,738.61,143.21,47.29,41.38,7.88,3.7194,47.6118,overlap
383,527.48,793.94,100.62,23.73,6.53,11.1623,123.6052,overlap
388,491.14,789.66,74.11,27.58,179.13,2.5339,77.9192,overlap
395,643.44,163.52,62.38,42.67,12.03,0.0000,85.4118,overlap
