气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,596.60,38.43,77.86,43.27,6.30,10.7062,134.9415,single
4,876.76,470.53,55.53,52.77,177.88,7.2311,83.7001,single
5,840.59,122.81,48.08,41.20,10.29,5.6803,49.0024,single
6,890.75,318.83,45.01,38.59,23.85,7.0478,40.2292,single
7,294.33,350.70,68.14,58.03,5.19,7.2385,138.6271,single
8,562.54,300.42,59.59,37.92,9.48,12.6627,69.2688,overlap
9,794.19,346.93,67.59,50.01,171.44,8.9530,117.5224,single
10,841.09,315.15,55.99,43.65,19.39,6.7094,70.3968,single
11,262.08,127.71,69.75,47.99,146.54,8.4563,120.1249,single
12,362.18,405.93,45.45,38.74,26.36,7.7786,41.1639,single
13,306.59,157.32,49.78,40.48,12.21,6.3669,51.6006,single
14,867.95,188.49,36.62,35.47,173.01,5.8048,24.4751,single
15,429.77,383.83,63.37,37.07,165.64,11.9874,76.5884,single
23,852.85,15.90,49.43,40.28,13.14,4.1000,50.6198,single
24,663.79,71.03,74.47,37.10,178.24,10.8940,105.8397,overlap
25,749.46,376.12,57.65,40.59,32.56,9.5404,69.4011,overlap
26,496.86,70.55,61.87,40.87,164.96,9.7506,80.4945,single
27,619.43,86.83,73.70,35.92,171.71,16.4506,100.3891,overlap
28,729.92,89.68,69.03,38.75,25.96,8.7450,95.0082,overlap
29,412.58,26.05,55.54,49.36,12.71,11.9607,78.3382,overlap
31,589.74,418.40,43.37,42.89,178.17,9.4896,41.4935,single
32,549.52,462.43,40.01,36.59,90.64,9.0112,30.1326,overlap
33,762.22,272.83,72.32,36.11,24.01,8.4286,97.1543,single
34,524.64,211.39,44.52,39.24,169.28,7.6539,40.0115,single
35,522.60,263.06,93.87,50.61,154.86,19.1133,229.4035,overlap
40,524.87,2.94,45.28,30.80,131.87,19.5230,32.4913,single
52,375.19,222.77,89.84,54.25,122.83,12.1032,225.2368,overlap
62,595.24,7.10,39.81,17.00,178.34,7.8587,13.8591,single
63,777.92,123.34,88.87,67.75,16.89,11.0338,275.2938,overlap
65,456.26,204.35,68.66,67.67,1.52,7.4193,164.1414,overlap
67,640.58,358.19,43.57,33.34,172.24,8.7294,32.5660,single
69,672.76,300.41,63.93,34.06,19.51,13.1694,71.6232,overlap
70,316.06,481.86,87.06,57.70,1.63,8.9236,225.0174,single
72,649.60,251.09,54.52,32.30,14.11,7.8595,49.3983,overlap
79,703.74,134.74,54.27,50.99,88.74,7.8603,77.2510,overlap
80,434.53,28.31,68.45,49.16,137.85,10.1227,118.5135,overlap
89,394.59,492.56,75.57,46.22,157.12,6.3417,135.7831,overlap
179,308.13,598.56,44.95,43.48,4.81,6.9844,45.2079,overlap
54,671.36,198.03,33.01,28.70,5.59,8.4260,16.0883,single
51,780.43,168.30,34.22,29.86,8.44,7.6704,17.9855,overlap
46,549.30,95.43,76.59,42.84,177.34,8.1709,129.2765,overlap
207,876.49,625.08,23.42,22.99,179.14,5.2568,6.4891,single
232,690.74,496.57,88.40,46.18,177.33,10.2832,185.6665,overlap
234,514.63,498.13,55.85,43.43,177.10,10.4290,69.6886,single
84,371.00,167.76,63.42,33.24,147.77,8.0485,68.7804,single
251,649.49,504.33,68.05,51.31,12.98,11.7243,122.2556,overlap
83,474.00,319.58,93.28,37.33,3.59,12.3955,167.1103,overlap
37,747.48,403.89,81.09,46.08,19.26,8.1905,155.8639,overlap
289,423.87,518.23,101.80,55.35,164.56,16.3731,295.0636,overlap
285,717.83,430.16,64.43,53.72,28.08,8.3499,114.7250,overlap
43,421.83,241.33,74.27,49.72,159.36,11.0062,141.1082,overlap
268,448.31,270.56,40.05,35.29,175.74,9.7796,29.1205,overlap
318,271.54,599.88,58.09,34.29,1.08,9.7492,59.5289,overlap
327,665.46,579.69,45.53,43.52,95.12,11.0618,46.4097,overlap
20,589.89,345.20,45.26,39.53,10.66,7.4204,41.6601,single
291,773.08,546.94,104.50,42.32,14.31,11.0859,237.7567,overlap
348,353.47,594.23,64.93,46.95,173.58,10.0023,101.8276,overlap
235,591.35,482.18,88.48,48.61,14.31,6.5225,195.7885,overlap
283,534.35,309.63,56.27,51.31,175.12,10.0423,83.5758,overlap
349,760.22,590.36,76.81,61.45,1.13,7.2210,186.5103,overlap
369,645.19,581.93,71.43,60.84,4.58,11.0512,159.7067,overlap
375,286.17,659.47,29.82,28.17,177.49,5.3598,12.8840,single
382,350.85,32.25,43.43,41.00,177.10,6.4122,39.7840,single
383,497.18,594.97,117.72,78.31,175.93,9.8336,558.2714,overlap
408,723.25,685.14,37.49,36.20,4.36,7.0179,26.1793,single
425,434.73,663.51,59.40,47.34,8.29,11.1872,85.9368,single
256,603.64,497.83,61.79,38.92,22.36,12.5271,76.4500,overlap
443,520.92,672.52,94.40,57.00,166.40,6.4006,261.2802,overlap
453,732.52,640.07,48.01,45.08,174.74,7.8651,53.4576,single
440,589.88,678.93,55.76,50.07,179.00,8.0584,80.0878,single
42,693.37,305.53,42.32,40.86,92.40,7.2696,37.6364,overlap
510,617.97,759.92,47.62,34.82,2.18,16.7091,40.6257,overlap
17,666.80,235.47,51.09,39.62,3.84,7.6564,53.2121,overlap
523,543.53,734.28,75.01,38.46,154.18,10.7688,111.3093,single
486,512.86,641.84,66.72,61.84,8.37,12.1014,141.6139,overlap
529,312.03,773.57,83.22,47.89,160.52,9.0920,170.6448,single
509,731.33,322.31,10.81,10.09,90.15,7.5808,0.6067,single
57,650.24,290.99,47.25,42.77,1.54,6.1574,49.1294,overlap
538,568.89,117.77,38.14,32.00,16.89,7.9608,23.9398,overlap
541,618.74,778.20,112.30,45.95,2.60,11.8367,298.1645,overlap
499,457.31,757.76,75.31,52.56,137.76,14.2287,153.3905,overlap
549,490.11,785.93,55.57,42.21,153.32,7.6164,67.0633,overlap
550,771.49,792.41,36.04,25.95,9.32,3.3935,17.3394,overlap
564,717.07,792.94,45.47,15.07,179.19,6.5404,16.0226,overlap
572,780.17,167.99,33.96,30.26,14.29,8.4258,17.9553,single
575,524.26,11.91,50.95,27.31,179.50,0.0000,36.4763,single
566,744.24,793.42,52.03,20.90,3.58,2.3119,29.1159,overlap
