frame,x0,y0,w_r,h_r,theta
107,206.2246857,299.0534058,77.40077209,42.35664368,0.070600383
108,206.2971344,297.8120728,77.80218506,42.40945435,0.071641512
109,206.4235382,296.7167358,78.31066895,42.56258392,0.066942476
110,206.4418488,295.6728821,78.90582275,42.92388153,0.072897889
111,206.5338287,294.2335815,79.61973572,43.46773148,0.057705637
112,206.3811951,293.1386414,79.27140808,43.08014297,0.057571843
113,206.293335,291.9516296,79.07685852,42.92679596,0.052562531
114,206.2486115,290.7304688,79.22884369,42.61968613,0.04617054
115,206.3062286,289.5025024,79.28295898,42.31664658,0.042353284
116,206.1718597,288.1268616,79.75895691,42.06469345,0.043310709
117,206.0375061,286.9179688,79.73375702,41.45473099,0.042708222
118,206.0375977,285.83255,79.20825958,41.6139946,0.039825078
119,206.1959381,284.7623291,79.3558197,41.48382187,0.050851129
120,206.2597504,283.4254456,78.80854034,41.69518661,0.045248315
121,206.3285828,282.1513062,78.40846252,41.56688309,0.051948901
122,206.3663635,281.0417175,78.78824615,41.31180954,0.063332982
123,206.3193665,279.7856445,78.86470032,41.05095291,0.061213177
124,206.2816162,278.4890747,78.91950226,40.88583755,0.055038489
125,205.9361877,277.1100159,79.35390472,40.6216774,0.050846916
126,205.8056183,275.8435059,79.50328827,40.23739243,0.049516946
127,205.8524933,274.8862915,79.3080368,40.51869965,0.047073193
128,205.9228058,273.8388062,79.20683289,40.42460251,0.049519476
129,205.8204956,272.6455383,79.24039459,40.05827713,0.049407028
130,205.6427765,271.6205139,79.28917694,40.60170364,0.065690875
131,205.5220337,270.5588989,79.43548584,40.88405609,0.065548845
132,205.5351715,269.5473022,79.78656769,41.25160217,0.062662609
133,205.5672913,268.5125122,79.91026306,41.11504745,0.060772754
134,205.5344849,267.5128479,80.55674744,41.27729797,0.052409172
135,205.268692,266.3022461,79.56394196,41.83706665,0.029364817
136,204.9465332,264.8942566,79.59442139,42.41178131,0.019855052
137,204.5293274,263.5418396,79.54469299,42.46249008,0.021301679
138,204.7256622,262.4354553,79.00028229,42.16047668,0.021475544
139,204.3203583,260.7341614,79.80012512,43.36366272,0.00541172
140,203.8497162,259.5025635,80.04599762,43.71530151,3.138388872
141,203.8353882,258.4127808,80.41108704,43.70335388,0.009857868
142,203.8644104,257.2791748,80.80049896,43.86534119,0.005146008
143,204.5736847,256.4259033,80.23014069,43.04840469,0.013512588
144,204.4428253,255.1088715,81.05878448,42.90016937,3.127998352
145,204.1750488,254.0130768,80.34426117,42.58743668,3.138232946
146,204.4695892,253.0343475,81.84574127,42.56868744,3.127489567
147,204.5007935,251.9446716,82.47663116,42.37074661,3.11775589
148,204.5239105,250.8362427,82.60629272,42.4277916,3.112905025
149,204.5257721,249.7686462,82.63300323,42.28536224,3.107923269
150,204.5517426,248.7377472,82.87722778,41.78432083,3.093348503
151,204.6770477,247.6802521,82.63713837,41.43823624,3.090914726
152,204.7010651,246.6036987,81.7980423,40.60358429,3.113354206
235,209.5658417,154.9350281,77.07434082,34.67507935,0.1267903
236,209.6972656,153.7752991,77.38262939,34.87744141,0.112541333
237,209.9208527,152.6114197,77.77876282,34.53770828,0.110963911
238,210.0025787,151.5200195,77.86863708,34.67758942,0.118306398
239,210.1560364,150.231781,77.6837616,34.90949631,0.119556412
240,210.3681335,148.8884125,77.56789398,35.28767014,0.121441677
241,210.5688629,147.6305084,77.53538513,35.58474731,0.129951045
242,210.7895966,146.5087433,77.64565277,35.67804718,0.134805501
243,211.0024872,145.4117584,77.67282867,35.6257019,0.145614043
244,211.2003021,144.3279266,77.6989212,35.593647,0.150684223
245,211.3175964,143.2593994,77.87272644,35.81659317,0.153946459
246,211.5266418,142.276123,78.31749725,36.06795883,0.165849224
247,211.7207031,141.4026642,78.57507324,36.32584381,0.168103665
248,211.8873749,140.4573364,78.80467987,36.61169434,0.177166834
249,211.5806274,139.1506348,79.36362457,36.48223114,0.193900555
250,211.4789124,137.8237915,79.62850189,36.48036957,0.203812629
251,211.6431885,136.3168182,79.71846008,37.07703781,0.224261656
252,211.7931976,134.9338531,79.62673187,37.79921341,0.235291258
253,211.8803558,133.7874603,79.6472702,38.21808243,0.234607309
254,212.084259,132.6249847,79.4024353,38.35856628,0.22462295
255,212.2982178,131.6356049,78.94931793,38.13464355,0.206809804
256,212.6743774,130.5379181,79.01226807,37.91501617,0.208307371
257,213.0822906,128.9947052,79.42258453,38.45589447,0.21812816
258,212.8132782,127.7098846,79.18395996,38.58915329,0.211878568
259,212.6038818,126.3508911,78.74961853,38.87083817,0.230895385
260,212.9112091,124.7910156,78.70095825,39.75454712,0.256743968
261,213.1841125,123.2228546,79.04872894,40.7250824,0.280842543
262,213.2505646,121.626152,79.03842926,41.49378967,0.305830866
263,213.5198059,120.4613571,78.7550354,41.86197662,0.317796648
264,213.780426,119.6459656,78.0539093,41.66040039,0.31171149
265,214.3566132,119.0315933,76.79170227,40.93684006,0.296480089
266,215.1470947,118.772995,75.76074982,39.8763237,0.26594007
267,215.7902527,118.1837845,74.67946625,38.90605164,0.26952064
268,216.2478485,117.6646118,73.92179871,37.75618362,0.247192338
269,216.6073914,117.2468567,73.55469513,36.84399033,0.233757928
270,216.6117554,116.4477158,71.95174408,36.04517746,0.233366847
271,216.7742615,115.5654678,71.2060318,35.56653595,0.227857575
272,216.9143524,114.6207047,72.14035034,35.51429367,0.213238686
273,217.1712799,113.6451111,71.65086365,35.14480591,0.20097743
274,217.4495239,112.508194,71.08804321,35.29625702,0.19726409
275,217.8330994,111.5092621,70.31295013,35.2136116,0.183522031
276,218.4006653,110.4779587,69.04325867,35.4378891,0.184952646
277,219.1840668,109.6745987,67.22678375,34.77503967,0.160781398
278,220.1009521,108.9470062,65.23703003,34.2256012,0.152885765
279,221.4354553,108.201149,63.16500473,33.86219025,0.115229733
280,222.4476013,107.6147308,61.16454697,33.29243469,0.106663629
281,223.3193359,106.8534241,59.4250145,32.89429855,0.09975332
282,223.9986115,106.2358551,57.62200928,32.32721329,0.100574799
,223.9986115,,,,
,203.3191528,,,,
