气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,828.61,205.76,51.36,42.32,27.92,5.3750,57.4398,single
9,570.19,102.19,48.49,48.20,88.10,7.9745,58.2871,single
10,404.63,236.96,70.09,43.84,163.92,11.2758,110.8056,overlap
20,316.33,327.53,45.08,43.52,174.10,6.6530,45.4926,single
22,593.83,222.60,38.44,35.77,90.84,7.9530,27.1942,single
24,437.51,169.59,98.11,56.45,8.67,11.0515,279.5232,overlap
28,739.18,220.90,62.83,39.69,169.61,4.9636,80.6049,overlap
42,366.52,219.66,42.00,41.24,0.13,5.6421,37.4191,overlap
59,518.38,57.21,65.27,49.28,175.18,7.1560,107.9938,overlap
161,823.29,528.99,62.39,46.90,28.57,7.5332,93.9236,single
198,660.74,342.14,67.14,60.68,177.46,10.1842,140.7037,single
75,721.24,173.21,49.37,39.19,164.13,8.4223,49.1460,single
170,579.77,157.90,73.07,41.37,18.45,10.5409,113.6296,single
191,568.52,282.65,53.84,39.81,150.34,9.4217,59.3746,single
192,722.69,389.74,68.69,42.51,42.69,5.6087,103.1749,overlap
302,708.04,418.82,63.16,26.62,12.18,8.9390,54.6222,overlap
332,586.78,376.75,91.33,48.06,7.30,12.3648,206.2491,single
303,519.77,353.11,60.21,46.61,7.67,8.8657,86.9395,single
370,416.93,459.10,85.80,46.04,151.92,16.2864,174.3833,overlap
385,652.98,550.99,52.33,45.37,174.90,14.0533,63.9089,overlap
396,539.36,474.80,43.21,38.56,7.77,9.3797,37.0344,single
402,694.96,483.88,53.83,43.87,149.53,7.8489,65.3999,single
411,468.28,451.36,49.25,34.28,3.57,6.2858,42.7747,overlap
234,436.78,276.56,60.99,57.31,175.55,8.6638,109.6724,overlap
436,404.88,491.55,94.43,48.02,144.39,8.9658,220.3317,overlap
461,538.99,547.72,30.20,28.01,1.56,7.0047,13.1424,overlap
467,443.35,540.75,65.05,54.07,171.48,11.4182,117.7088,overlap
455,597.78,568.05,41.96,40.69,175.90,10.2870,36.8641,overlap
47,770.47,68.42,82.94,61.28,27.61,11.8636,216.8721,overlap
505,713.15,624.37,56.11,46.63,51.50,15.0944,75.5210,single
525,279.30,582.33,77.28,47.51,4.87,7.8190,145.9879,single
555,598.27,625.34,65.47,40.74,150.63,9.5730,89.8446,single
595,717.19,682.20,82.78,47.16,11.09,12.4311,166.2465,overlap
603,421.89,676.41,64.54,37.11,10.02,5.4941,79.5125,single
18,563.08,332.36,32.49,29.34,90.77,8.6760,15.9290,single
651,884.45,349.25,36.92,35.78,4.05,5.7275,25.0932,single
652,737.34,349.17,55.13,43.22,6.23,8.4982,67.5800,single
653,354.14,608.84,43.74,38.62,11.86,8.3253,38.0141,single
654,847.07,312.84,45.16,38.64,22.77,7.2662,40.5412,single
655,538.50,724.13,38.31,37.34,4.00,9.1214,28.1917,single
656,802.56,620.10,69.47,53.66,154.59,11.5953,133.2372,single
657,875.84,508.01,60.00,36.63,22.37,6.2581,67.8248,single
658,873.60,655.07,60.56,49.45,160.43,5.0048,93.3081,single
659,754.58,632.26,22.85,22.60,2.51,6.3877,6.0716,single
660,568.10,431.29,66.67,37.63,169.20,11.7943,86.0553,overlap
661,405.14,747.22,77.65,51.31,166.92,7.8665,159.1420,single
662,782.55,469.16,38.87,35.28,2.77,6.5681,27.4129,overlap
663,676.54,411.33,33.30,33.13,93.71,6.5026,18.8927,overlap
664,254.32,350.12,78.76,46.70,10.83,7.6277,149.0201,single
665,756.70,99.93,76.06,37.86,20.20,8.6096,112.6660,overlap
666,703.36,531.80,44.73,42.50,1.24,7.8346,43.7455,overlap
667,659.02,256.35,86.71,38.94,2.56,11.2340,150.6508,overlap
668,781.41,385.20,72.60,53.64,151.65,10.8297,145.4573,overlap
669,435.78,343.10,56.58,39.42,151.72,11.8875,64.9308,single
670,633.78,427.60,73.84,37.75,178.91,11.4652,105.8956,overlap
