气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,884.53,317.06,38.08,36.29,5.33,5.1997,27.0675,single
3,830.42,484.97,64.60,42.74,29.09,7.4727,91.7413,single
4,719.26,622.40,88.04,44.99,15.79,12.0731,179.4112,overlap
5,874.37,619.70,57.35,52.07,159.59,6.3727,88.1005,single
6,687.31,436.52,52.54,45.11,153.80,7.3800,64.0656,single
7,516.05,295.41,57.26,45.98,3.04,10.7771,77.5412,single
8,780.35,427.45,39.48,35.94,3.36,7.2715,28.8237,single
9,534.22,517.54,84.19,50.88,151.85,13.3534,185.5554,overlap
10,354.01,567.70,45.52,39.33,15.71,7.2744,41.9197,single
11,845.70,274.04,48.63,39.17,24.02,6.8906,47.6610,single
12,437.40,108.27,99.37,44.03,7.41,16.5154,223.6568,overlap
13,800.84,561.61,73.98,56.34,172.20,9.8154,158.6489,single
14,722.45,121.47,48.72,40.23,163.76,8.4851,49.1142,single
15,879.01,467.10,53.22,41.17,25.92,6.7230,59.9911,single
16,380.16,71.07,90.88,58.90,12.60,10.8085,250.2927,overlap
17,704.77,484.10,47.83,40.09,161.41,8.7117,47.1724,overlap
18,540.54,670.92,38.72,37.81,2.16,7.9244,29.1738,single
19,370.70,182.32,56.05,44.25,154.02,14.1392,71.5062,overlap
20,312.68,673.39,71.74,38.88,174.03,7.1200,102.9402,single
21,592.67,307.36,82.39,48.71,178.62,9.3638,170.1117,overlap
22,598.10,523.64,42.65,41.56,92.53,4.8653,38.8961,overlap
23,318.22,296.04,50.47,40.99,139.45,4.8578,53.7171,single
24,424.83,622.42,62.79,38.80,9.81,7.2420,78.6875,single
25,835.28,166.18,51.99,43.51,33.97,8.0636,60.5125,single
26,759.48,590.48,22.98,22.80,89.27,5.7252,6.1949,single
27,591.73,175.74,38.83,38.18,8.29,7.4881,29.6096,single
28,720.05,575.61,58.54,45.04,54.39,8.1595,79.4002,single
29,428.21,282.53,67.60,42.43,152.33,10.1790,99.7450,single
30,591.01,558.76,63.61,41.51,153.31,20.1924,86.4081,overlap
31,779.29,331.49,79.20,56.86,147.92,8.9304,183.4879,overlap
33,630.91,361.89,72.21,37.07,179.62,11.2653,99.4528,overlap
34,398.40,440.47,104.14,49.68,143.43,11.2962,277.1515,overlap
