气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,881.34,273.25,38.22,35.09,168.70,5.7222,26.3645,single
3,834.31,429.36,63.61,40.17,28.46,6.6990,83.6144,single
4,728.01,544.31,92.20,45.75,18.13,8.2894,200.0813,overlap
5,875.59,568.59,58.52,49.75,174.99,5.2354,87.6538,single
6,677.88,369.16,52.64,45.79,174.53,8.4014,65.2768,single
7,510.84,217.09,60.34,44.85,179.28,9.9125,84.0251,single
8,780.18,371.54,41.60,37.41,2.79,5.7871,33.3105,single
9,532.12,431.31,86.94,48.01,153.53,10.4900,186.7121,overlap
10,355.16,512.40,46.44,39.71,26.41,6.8177,44.0572,single
11,844.08,221.16,46.41,41.72,13.61,5.6684,46.2223,single
12,432.28,28.45,104.57,39.41,175.55,8.9469,221.7145,overlap
13,799.52,484.31,67.14,43.01,171.93,8.8345,99.7543,single
14,724.54,49.39,47.07,39.71,158.22,8.3755,45.2645,overlap
15,882.44,409.14,43.96,43.17,178.30,6.4881,42.9147,single
16,380.75,6.75,83.05,29.45,5.55,2.3348,104.4855,overlap
17,703.57,422.18,42.05,41.63,0.14,6.6965,37.8772,single
18,543.35,598.04,37.60,37.29,92.65,9.0919,27.1192,single
19,358.22,132.08,42.68,42.52,91.50,6.8055,39.8509,overlap
20,314.07,607.80,69.96,58.51,170.53,6.9025,147.3152,single
21,592.13,213.94,76.65,43.22,174.78,10.1335,130.6430,overlap
22,597.53,462.72,40.78,38.90,177.38,5.8235,33.2801,overlap
23,316.69,253.72,53.50,41.42,166.47,5.2653,60.9934,single
24,428.94,540.10,47.25,39.83,165.14,11.9690,45.7494,single
25,844.16,113.40,49.86,43.68,28.59,7.1181,55.8736,single
27,591.92,113.51,39.85,37.65,10.58,7.8687,30.7620,single
28,730.69,512.20,62.75,46.50,36.27,9.8947,94.1760,overlap
29,415.95,190.99,77.39,37.53,146.61,8.2988,115.6472,overlap
30,578.28,469.60,69.81,39.51,175.92,9.9024,99.0764,overlap
31,776.50,259.14,86.86,65.38,159.97,9.9228,253.7885,overlap
33,626.18,269.34,72.59,35.61,178.33,11.0842,96.5159,overlap
34,390.92,367.74,99.19,53.94,141.57,8.0301,273.0262,overlap
37,252.07,245.85,68.66,56.96,30.87,6.4264,138.1312,single
38,432.82,393.34,63.74,43.46,164.17,9.5823,90.8207,overlap
39,591.87,558.20,43.74,42.78,0.55,9.6054,42.0983,single
40,758.36,404.01,66.51,46.56,24.79,8.2348,105.9699,single
41,660.42,212.75,80.82,48.32,13.00,8.4034,162.3722,overlap
42,288.14,469.99,71.70,49.60,15.50,7.9760,131.1786,single
45,550.11,146.63,60.42,36.75,147.78,9.8098,69.0104,single
47,780.69,307.66,35.64,27.97,37.92,10.3118,18.2754,single
50,379.52,104.75,71.05,40.13,143.50,9.5744,104.1984,overlap
54,533.34,50.93,64.49,47.20,160.25,13.2375,100.9976,overlap
56,640.99,419.12,51.60,36.18,17.05,8.6261,49.5517,overlap
58,446.10,110.92,69.21,43.82,160.64,10.9823,107.9905,overlap
59,438.24,339.86,80.84,71.50,173.93,9.7790,240.3554,overlap
60,737.79,79.60,55.31,39.89,0.22,9.6623,62.7835,overlap
65,713.86,279.54,61.02,32.46,31.49,7.7961,62.1756,overlap
66,659.33,426.45,48.11,40.46,28.29,11.1712,48.1765,overlap
68,459.02,137.62,67.48,43.08,147.77,5.8384,100.9114,overlap
69,728.24,261.45,56.74,48.00,122.98,14.6638,79.4974,overlap
71,573.07,6.37,41.10,19.85,2.58,23.7751,17.2506,overlap
77,542.56,84.40,57.28,48.49,172.79,5.5298,81.8557,overlap
78,439.73,162.93,67.93,52.96,152.17,14.4948,125.7210,overlap
83,463.11,475.26,96.54,45.86,6.54,13.7384,219.8819,single
85,672.91,313.47,32.21,31.52,1.78,7.2098,16.8239,single
86,401.45,626.65,70.76,51.68,156.19,8.5381,133.1463,single
137,308.03,691.50,47.23,44.26,2.92,6.0473,50.7812,single
55,532.42,347.68,45.52,39.62,170.80,9.6747,42.2325,single
161,872.38,704.06,24.27,23.63,6.33,5.7824,7.1612,single
172,517.55,648.45,56.16,45.88,164.22,8.7071,74.4381,overlap
