气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,864.80,170.17,37.18,36.08,174.81,4.9362,25.6645,single
3,842.15,289.81,55.98,41.76,16.09,6.9094,67.3129,single
4,749.66,368.40,76.44,51.97,23.11,8.4765,156.2474,overlap
5,875.94,449.64,55.38,51.76,0.89,5.9086,81.6703,single
6,667.38,206.22,50.55,43.16,8.64,9.8256,56.7408,overlap
7,492.36,38.79,58.87,43.01,162.86,9.8564,76.6830,single
9,522.35,224.41,92.11,50.27,151.72,13.1358,219.3947,overlap
10,364.93,381.14,43.74,39.33,16.87,6.5851,38.7195,single
11,839.98,100.35,46.78,41.63,19.82,6.0574,46.8665,single
15,893.66,300.60,43.08,38.10,2.73,5.2171,36.3796,single
17,689.25,281.48,43.02,34.34,14.46,6.8989,32.6981,overlap
18,551.21,436.33,39.07,35.85,91.99,7.5680,28.1499,overlap
19,349.93,14.55,42.96,33.72,176.13,1.6326,32.0081,single
20,313.32,457.13,89.16,56.29,5.61,6.9720,230.1758,single
22,589.30,317.76,43.39,39.98,4.43,9.1914,38.7252,single
23,307.41,137.20,53.94,40.96,25.73,5.8828,61.3230,single
24,429.21,344.63,59.43,36.92,166.97,10.5694,67.0854,single
25,854.87,5.32,49.75,19.29,179.60,4.4317,24.5602,single
28,755.06,344.97,58.42,39.38,33.74,4.7547,69.1526,overlap
29,414.64,7.50,54.81,23.36,179.55,6.3349,36.1122,overlap
30,561.82,262.46,65.33,40.92,17.44,9.4807,89.8497,overlap
31,777.58,91.98,89.83,61.44,20.13,9.6537,255.0294,overlap
33,616.98,48.56,66.51,33.26,176.52,11.0485,75.7134,overlap
34,371.87,188.84,82.84,52.58,120.30,6.7206,185.6167,overlap
37,263.53,104.26,67.55,45.97,164.02,6.5643,107.9061,single
38,421.58,206.44,73.01,49.86,156.72,11.5685,136.7436,overlap
39,588.53,388.13,44.34,43.12,178.77,10.6873,43.6222,single
40,761.59,243.86,72.59,35.89,26.12,8.8470,97.2940,overlap
41,665.11,39.84,73.61,35.76,1.92,8.5841,99.6888,overlap
42,294.61,326.39,68.81,59.53,5.59,7.7338,145.0218,single
56,652.07,213.01,52.94,32.64,12.44,13.7931,47.0561,overlap
59,460.65,174.87,74.65,60.19,36.55,7.9559,172.5724,overlap
66,646.28,261.71,45.14,43.31,0.80,9.0986,45.4132,overlap
69,700.23,104.43,59.18,50.45,114.05,9.5777,90.9133,overlap
78,430.70,5.91,58.41,40.11,152.22,3.9749,70.4180,overlap
83,471.88,282.16,90.40,39.46,2.67,12.5324,165.8865,overlap
85,670.77,169.36,33.12,28.38,5.18,8.6806,16.0129,single
