气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,853.65,82.01,36.96,34.10,178.63,6.6846,23.9599,single
3,847.49,179.11,54.33,53.32,90.22,7.4952,80.9751,overlap
4,768.71,231.58,88.37,41.24,29.83,10.3798,165.6869,overlap
5,879.08,355.33,54.19,51.80,179.80,6.2042,78.2466,single
6,669.80,73.95,52.72,38.77,19.32,8.4086,55.4346,overlap
9,516.13,63.13,75.48,59.41,155.38,11.4170,174.1427,overlap
10,373.23,265.39,42.52,38.68,6.16,7.8696,35.9723,single
11,835.09,7.60,46.82,21.87,1.68,5.3068,24.6640,single
15,891.80,210.19,46.45,36.03,6.34,6.6393,39.9893,single
17,670.65,149.42,43.92,42.36,179.26,8.9697,42.0397,single
20,319.16,349.47,79.73,55.58,30.08,7.8872,181.7457,single
22,587.65,193.79,40.94,40.38,2.09,8.8629,34.8226,single
23,326.72,46.45,40.86,35.63,104.55,8.6276,30.6019,overlap
24,417.77,184.91,49.82,33.11,152.71,10.6032,42.2819,single
28,773.23,199.16,64.82,39.59,23.56,12.6022,85.5757,overlap
30,564.36,99.87,64.30,40.19,18.86,7.8077,85.4977,single
34,348.40,52.09,79.39,51.17,138.29,9.9186,165.9164,overlap
37,265.67,5.41,62.01,25.32,166.57,1.4187,50.1000,single
38,416.20,51.18,59.74,47.23,175.21,6.0082,86.7057,overlap
39,587.15,255.34,45.06,44.43,174.78,8.5105,46.4114,overlap
40,763.54,101.22,82.56,34.64,20.11,7.2282,121.4651,overlap
42,298.21,209.91,71.28,48.34,17.58,6.9790,126.3474,single
56,667.24,40.67,55.43,32.02,15.86,9.5874,50.6278,overlap
59,476.09,40.29,78.29,57.71,20.42,10.1496,181.9813,overlap
66,628.53,123.65,47.34,44.73,177.30,7.9696,51.5601,overlap
83,471.72,114.35,84.02,41.76,172.31,12.9606,151.6466,overlap
137,318.23,473.43,48.71,40.88,10.10,7.5999,49.8914,single
161,875.63,527.56,23.18,22.55,3.97,5.1672,6.2322,single
198,662.27,323.09,66.54,47.55,12.71,12.9688,108.2976,overlap
206,697.26,307.94,82.82,38.91,178.44,18.2170,137.3046,overlap
75,690.70,109.18,63.28,31.09,22.24,10.0767,64.0565,overlap
80,360.57,13.68,59.17,40.02,152.53,6.7502,72.0884,overlap
170,524.91,136.27,55.95,48.58,174.16,10.5299,78.2339,overlap
191,597.87,275.62,71.69,47.73,10.12,12.4646,126.1869,overlap
192,776.32,371.07,91.26,47.96,32.06,9.0860,205.4885,overlap
302,750.87,408.87,73.41,52.15,179.80,8.2163,144.5853,overlap
322,270.71,555.53,29.46,28.71,177.83,4.8354,12.8180,single
332,648.66,395.88,78.12,55.73,14.66,7.5771,174.9604,single
295,344.23,425.88,69.93,37.88,158.92,7.9093,95.2859,single
174,625.71,310.00,61.68,32.01,23.28,8.8099,62.6415,overlap
303,493.44,396.86,113.65,70.15,157.31,13.2369,466.1204,overlap
370,439.89,490.95,60.10,48.78,7.01,8.3438,90.6503,overlap
385,720.80,557.46,35.52,35.39,2.02,7.5604,22.9702,single
396,589.37,492.90,61.94,45.94,9.16,7.3721,90.6772,single
402,722.62,497.39,46.03,44.91,179.14,8.2265,48.9618,single
248,280.23,444.18,62.16,30.49,8.30,9.6431,60.5962,single
411,496.99,465.94,91.81,50.16,147.61,11.4173,217.5273,overlap
234,427.16,335.06,88.44,58.61,156.95,9.7028,235.8544,overlap
86,393.27,348.99,52.65,48.38,179.78,9.3522,69.0027,overlap
436,426.43,568.55,72.62,58.11,132.96,10.0262,157.6823,overlap
442,514.05,515.42,76.37,44.69,133.78,12.1420,134.0976,single
443,292.82,615.67,73.27,47.63,144.53,8.2277,131.5498,single
461,597.09,576.68,90.86,44.02,6.39,10.5832,186.9820,overlap
467,474.77,600.10,53.69,44.90,26.57,8.4745,66.5932,overlap
492,724.38,645.88,63.31,47.76,50.37,10.3981,98.4867,overlap
455,633.45,607.42,92.32,36.78,178.31,8.8899,161.2527,overlap
47,753.43,14.80,33.75,29.77,28.95,6.1498,17.4471,single
