气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,864.51,168.89,37.09,35.89,176.54,5.3423,25.3960,single
3,841.64,287.82,56.16,41.47,15.64,7.7025,67.2871,single
4,750.07,366.42,76.26,52.01,23.94,8.1346,155.5840,overlap
5,875.95,448.19,55.52,51.77,0.79,5.7299,82.0816,single
6,667.77,203.45,50.38,42.61,8.25,10.5657,55.6491,overlap
7,491.65,36.54,58.46,43.44,164.81,10.0520,76.3813,overlap
9,522.69,222.26,91.76,50.63,152.62,10.3075,219.3008,overlap
10,364.60,379.17,43.53,39.26,14.61,9.1841,38.2822,single
11,840.01,98.62,46.81,41.47,20.38,6.5454,46.7537,single
15,893.74,299.28,43.15,37.94,2.92,5.2000,36.3459,single
17,688.94,279.36,42.98,34.56,15.89,8.6461,32.8404,overlap
18,551.46,434.19,39.84,36.43,91.09,9.5893,29.7527,overlap
19,350.03,13.81,42.78,32.09,175.85,2.4803,30.2208,single
20,313.31,455.47,89.22,56.03,6.49,6.8067,229.4905,single
22,589.06,315.90,43.14,39.99,5.06,8.1970,38.2967,single
23,307.66,135.90,53.94,40.82,26.02,4.9031,61.1060,single
24,429.36,341.81,58.93,36.58,167.42,11.3560,65.3648,single
25,855.10,5.21,50.19,18.19,179.75,2.3744,23.5633,single
28,755.72,343.08,59.39,39.95,36.37,8.4208,72.4809,overlap
29,411.92,5.30,43.25,20.41,178.11,15.0519,19.6408,overlap
30,561.80,259.88,65.04,41.04,18.03,11.8481,89.3138,overlap
31,777.13,89.56,88.79,59.80,20.10,10.5918,242.5739,overlap
33,618.42,45.18,65.62,32.97,176.90,19.1980,73.0385,overlap
34,371.92,187.01,82.16,53.56,120.49,8.2805,186.0016,overlap
37,263.80,102.84,67.12,46.11,163.85,5.8555,106.8773,single
38,421.62,203.60,73.12,50.16,155.70,10.6304,137.9808,overlap
39,588.50,385.80,44.49,43.29,178.22,8.7866,44.0779,single
40,761.92,242.23,72.41,36.00,26.52,7.2007,97.1039,overlap
41,665.65,37.81,73.26,36.27,1.51,8.4893,100.1588,overlap
42,294.53,324.29,68.77,59.41,6.39,8.6770,144.5405,single
56,653.08,210.46,53.92,31.94,14.95,10.8747,47.7790,overlap
59,460.96,172.94,74.36,60.04,35.69,8.3283,170.7651,overlap
66,646.10,259.38,45.51,43.34,1.38,9.2945,46.1797,overlap
69,699.50,102.74,58.83,50.88,112.14,7.1580,90.5896,overlap
78,429.99,6.70,57.10,35.46,157.70,4.9493,59.4745,overlap
83,472.60,279.73,91.10,37.51,2.10,11.2029,160.1689,overlap
85,670.70,167.38,33.20,28.30,6.17,7.7675,16.0519,single
137,311.64,574.90,43.67,42.97,92.19,7.6737,42.1651,overlap
161,876.63,606.10,23.85,22.96,4.47,5.2961,6.7192,single
172,514.69,462.39,52.81,44.55,8.57,9.6210,63.9121,single
198,651.45,469.90,69.60,50.54,17.17,11.4695,125.9797,overlap
32,634.59,320.60,49.43,31.57,165.91,14.4674,39.6860,single
206,694.48,459.76,88.47,47.20,179.18,17.5293,190.0285,overlap
75,675.26,261.83,63.77,33.03,24.13,9.9436,69.1006,overlap
223,719.84,398.74,61.27,55.57,19.03,9.8073,107.3140,overlap
80,370.63,137.19,63.27,35.52,150.53,7.3475,73.1451,overlap
2,729.82,58.84,68.06,43.00,28.99,7.9173,102.4684,overlap
170,533.57,277.15,60.92,48.58,157.86,10.6799,92.7405,overlap
51,545.93,55.24,73.89,44.43,176.98,6.9909,124.8011,overlap
191,593.62,440.29,81.45,44.89,12.32,10.6918,153.2298,overlap
192,773.78,511.99,103.18,43.58,15.74,9.6405,238.6796,overlap
302,757.74,553.27,75.28,64.86,6.38,8.6878,189.0842,overlap
322,282.51,638.60,29.75,28.34,171.46,6.1408,12.9066,single
332,649.95,543.70,67.27,60.58,19.23,8.9797,141.0259,overlap
295,350.19,559.57,65.14,45.42,167.20,10.5790,99.1591,overlap
174,610.71,461.61,62.61,35.01,23.69,12.1018,70.6047,overlap
303,491.80,557.49,121.38,80.43,168.52,9.1773,609.6510,overlap
370,436.96,629.56,60.50,46.31,18.40,8.7616,87.2026,single
385,721.39,660.45,38.10,37.36,179.21,6.3728,27.8960,single
391,509.10,607.01,68.98,55.90,3.84,10.4725,136.8324,overlap
396,590.02,642.58,57.81,50.77,0.01,8.6948,87.2918,single
402,729.16,610.99,50.19,44.94,161.22,7.4538,58.2419,single
248,272.00,569.23,64.75,34.10,4.88,7.8540,73.5603,overlap
411,513.75,633.82,97.94,58.89,158.19,8.7311,290.6044,overlap
234,422.94,479.22,98.43,53.29,165.75,10.5378,265.6158,overlap
86,394.18,462.69,71.53,46.34,158.00,6.5354,121.9507,overlap
436,452.87,720.78,72.46,57.75,142.50,9.8392,155.9844,overlap
441,614.00,723.49,35.76,26.70,2.34,3.7329,17.5679,overlap
442,538.43,691.27,65.93,38.87,152.39,12.6856,86.9096,single
443,312.37,744.40,75.62,47.03,156.25,9.0049,138.3540,single
