气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,877.82,244.21,37.15,34.89,174.98,6.2404,24.7765,single
3,835.78,391.55,63.88,41.48,23.88,7.0667,87.0925,single
4,734.95,496.50,89.18,46.45,19.63,6.0651,190.0420,overlap
5,875.05,536.14,58.09,50.61,167.24,5.9221,87.8543,single
6,672.67,323.60,52.85,45.64,179.47,7.6659,65.5936,single
7,506.29,167.31,61.85,41.20,172.30,8.9888,81.0843,single
8,779.47,337.95,40.13,37.88,178.13,5.4091,31.3887,overlap
9,529.51,376.00,88.15,47.81,156.72,10.6982,191.1109,overlap
10,356.32,476.41,47.76,37.79,29.05,5.9890,44.3565,single
11,842.15,186.32,48.83,43.00,17.93,7.0869,52.7497,single
12,413.76,5.63,28.92,11.35,0.44,5.8746,4.8829,single
13,796.63,440.87,56.65,41.88,1.55,9.1235,69.1312,single
14,726.95,10.76,49.30,32.73,176.45,4.4393,40.9374,overlap
15,886.08,376.75,43.82,42.00,176.52,6.0177,41.4864,single
17,701.32,382.80,44.47,39.39,13.92,6.2518,40.0751,overlap
18,545.76,550.73,37.22,36.58,2.03,7.5948,26.0659,overlap
19,355.24,97.93,41.10,40.73,90.62,7.0530,35.4007,single
20,313.77,563.16,72.96,57.98,169.88,6.9697,158.7621,single
21,588.04,152.24,68.96,42.21,2.58,8.1906,103.2621,single
22,594.60,425.88,42.94,38.78,8.89,8.1402,36.7855,overlap
23,310.11,221.91,46.15,42.21,165.39,5.0410,46.2393,single
24,428.88,486.11,49.51,36.79,161.93,10.6492,46.3947,single
25,849.09,80.88,45.30,43.59,2.12,5.8532,46.0276,single
27,594.07,72.06,42.39,37.04,16.12,7.0228,34.2347,single
28,735.72,466.42,61.60,41.57,29.78,8.8392,81.1554,overlap
29,416.76,135.05,70.40,43.10,151.97,9.6127,109.8849,overlap
30,571.52,412.00,67.58,38.29,176.52,10.1301,89.9662,overlap
31,778.68,212.35,76.72,65.73,14.93,13.7225,199.0538,overlap
33,621.57,205.09,74.96,32.51,175.36,12.3657,93.9702,overlap
34,387.13,320.36,96.82,54.75,136.12,10.0073,264.0390,overlap
37,255.78,205.56,60.34,60.27,87.67,7.9904,112.8737,single
38,428.08,342.37,63.25,45.21,147.32,8.5888,93.0528,overlap
39,591.59,510.92,44.97,43.28,173.63,8.8663,45.0324,single
40,759.48,357.90,69.48,41.97,24.21,9.7276,104.2199,overlap
41,662.10,164.52,76.80,42.84,7.63,8.5618,129.9963,single
42,289.51,427.03,68.69,51.65,4.15,10.7417,125.4029,single
45,543.51,93.61,62.69,34.76,152.72,10.8698,70.2787,single
47,782.20,248.92,40.51,26.48,16.43,8.8553,22.3576,overlap
50,372.60,55.31,73.48,42.54,139.96,9.9976,118.1555,overlap
54,531.66,9.62,76.58,28.46,176.58,2.2604,85.8800,overlap
56,642.83,363.13,54.78,33.37,19.13,16.1940,51.5073,overlap
58,442.08,57.59,80.64,41.58,169.52,11.4224,139.1205,overlap
59,440.44,296.27,85.39,68.08,135.71,8.6571,255.3547,overlap
60,732.64,22.70,52.93,36.69,177.13,11.4743,52.8767,overlap
66,654.27,380.07,50.24,44.09,6.69,14.0748,57.2497,overlap
68,446.64,79.69,63.85,36.17,154.05,18.3347,75.8810,overlap
69,720.79,222.36,56.39,46.78,175.98,9.5433,76.5257,overlap
77,537.62,38.85,51.97,51.67,0.92,7.6892,71.7909,overlap
78,438.80,118.53,60.25,49.74,168.15,12.9450,92.8932,overlap
83,467.60,423.79,95.50,40.14,8.04,9.0462,188.3241,single
85,671.71,275.48,32.58,31.05,1.47,7.5504,16.9572,single
137,304.91,659.01,51.68,43.02,174.68,6.3387,59.1074,overlap
55,529.92,300.93,45.30,40.21,160.65,7.8903,42.4488,single
161,873.49,677.25,24.17,24.02,3.99,5.6385,7.2193,single
172,515.56,597.61,57.19,45.11,157.60,9.3981,75.9054,overlap
198,646.65,604.77,59.34,55.48,2.47,10.7389,100.5169,overlap
32,649.43,476.13,58.82,35.21,178.41,11.6992,62.6647,single
206,691.11,597.79,86.02,41.77,2.71,13.4865,159.0037,overlap
75,660.34,403.25,69.97,38.21,14.91,9.7522,96.2449,overlap
81,451.78,364.43,33.53,29.76,176.12,9.9428,17.2092,overlap
223,714.49,521.03,64.21,46.91,178.64,6.0793,99.5165,overlap
80,383.29,255.19,58.29,39.97,153.19,10.7861,69.8627,single
82,658.87,49.28,61.81,49.43,131.16,16.3401,97.1529,overlap
2,732.05,179.67,63.47,41.12,18.47,9.9126,85.2365,overlap
170,537.19,408.39,55.51,49.93,0.06,11.3948,79.1427,overlap
267,666.40,674.23,48.36,47.82,179.71,14.1971,57.5402,overlap
51,553.86,211.31,75.60,34.56,169.85,10.4118,101.6372,overlap
70,750.67,55.81,48.33,42.31,16.83,8.0731,50.8422,overlap
191,581.93,583.11,87.90,50.36,15.44,10.9070,200.2003,overlap
192,771.70,645.34,106.15,42.17,12.37,15.5418,244.4667,overlap
302,761.90,689.06,82.92,61.97,159.39,12.1149,219.1930,overlap
322,297.43,721.25,28.74,27.59,175.67,6.8775,11.7206,single
329,350.66,42.27,45.87,33.11,107.95,11.8949,35.8380,overlap
332,640.95,682.71,85.05,48.17,7.89,9.7236,179.2823,overlap
295,354.01,684.76,72.71,51.89,173.63,10.7578,141.1200,single
266,655.63,69.05,75.14,53.06,14.08,10.0747,154.1249,overlap
349,728.48,399.86,11.86,10.96,92.71,11.0098,0.7927,single
174,592.77,604.17,54.15,34.89,15.55,10.3909,52.6434,overlap
303,510.29,707.53,131.69,85.57,3.78,14.0740,763.5103,overlap
368,570.03,187.74,32.94,32.17,91.21,7.2272,17.9547,overlap
370,432.85,761.25,64.22,39.74,13.55,9.3959,84.3127,single
385,729.86,757.85,35.61,33.85,173.39,6.7378,22.0843,single
391,522.67,750.96,85.36,54.27,171.48,10.7114,203.4508,overlap
396,594.29,775.71,66.25,47.65,168.57,10.9899,107.5847,overlap
402,745.67,719.13,45.92,39.05,173.49,8.2527,42.3745,overlap
248,268.22,684.51,57.13,40.77,4.50,6.6540,68.4513,overlap
411,526.69,775.04,87.21,51.86,3.80,18.4125,202.9280,overlap
234,426.61,623.82,86.92,60.39,4.49,10.9300,234.7248,overlap
86,398.30,580.88,67.42,48.00,158.18,8.4362,112.2586,overlap
429,701.39,382.44,44.16,39.94,7.37,0.0000,40.0652,single
