气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,875.65,526.09,58.39,52.64,167.45,6.4517,92.3316,single
5,731.33,165.76,66.86,41.97,17.35,8.8230,96.5014,overlap
9,505.35,152.04,62.71,43.08,171.92,10.3847,87.1697,single
11,671.33,263.35,33.16,30.69,0.15,7.1542,17.3595,single
12,357.37,465.10,50.88,38.05,30.49,7.0718,50.6767,single
14,886.24,366.57,43.68,42.36,1.64,6.5121,41.5715,single
16,593.94,59.37,42.87,37.48,8.31,8.0985,35.4327,single
17,850.22,70.08,45.54,42.98,6.03,6.4134,45.8592,single
18,670.71,309.90,52.99,44.10,5.12,9.1270,63.7100,single
20,836.07,379.08,64.40,41.76,26.15,6.9870,89.1053,single
21,428.59,470.06,53.64,35.64,167.47,10.2079,52.7418,single
25,737.59,453.17,62.76,43.27,31.40,7.1461,87.6825,overlap
26,545.60,535.60,37.89,37.16,0.64,9.3531,27.4497,overlap
28,256.34,192.76,60.60,58.96,172.01,5.5643,111.3774,single
29,779.35,328.94,41.18,39.51,178.31,6.9784,34.4712,overlap
30,589.09,133.78,70.30,45.50,179.90,9.8815,115.6655,single
31,733.12,6.87,56.42,35.32,166.16,8.6321,57.8474,single
32,795.12,424.81,58.21,43.78,9.06,8.8370,76.3154,single
33,540.59,78.52,65.44,34.44,153.31,9.9141,75.8572,single
34,528.70,285.88,44.38,40.10,166.08,8.9886,40.6309,single
36,446.17,64.23,65.52,37.88,160.97,7.9986,83.6566,overlap
37,416.16,117.20,71.39,45.16,143.79,15.4582,118.4211,overlap
39,387.12,303.58,96.08,58.85,135.30,10.6929,279.5267,overlap
41,551.72,193.73,72.91,37.30,174.28,11.5109,102.0135,overlap
42,289.85,414.00,68.58,53.65,1.96,8.2244,129.8272,single
45,775.76,199.20,84.17,68.70,13.32,9.6627,250.3760,overlap
48,661.08,149.28,78.43,41.74,7.07,10.3945,132.0723,single
51,647.09,457.93,52.29,34.09,0.43,9.7829,47.9418,single
53,783.33,231.80,38.33,31.83,1.76,7.9085,24.0598,overlap
56,441.36,41.90,83.79,39.46,169.68,11.1749,142.5007,overlap
