气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,878.33,397.91,58.49,48.86,157.58,6.7553,85.9948,single
12,370.29,317.83,43.41,38.99,5.84,7.5393,37.8044,single
14,895.00,252.50,42.99,37.57,19.92,6.1097,35.7173,single
18,668.31,135.41,52.32,40.12,16.48,10.1169,56.4924,overlap
20,843.89,230.91,62.38,48.19,21.74,6.4930,96.4882,overlap
21,423.63,256.54,53.47,32.19,167.69,9.0175,47.3532,single
25,765.42,266.57,59.17,36.01,29.31,9.5480,64.8668,overlap
26,557.95,372.43,39.00,37.70,172.22,6.9586,29.4954,overlap
28,258.94,43.94,61.91,46.83,39.27,6.9485,92.3246,single
32,791.30,244.66,83.86,46.46,174.10,10.3819,168.1113,overlap
34,514.23,111.51,40.38,40.12,1.59,10.1311,33.6500,overlap
39,359.68,112.92,81.45,54.29,123.49,10.6867,185.2815,overlap
42,295.85,261.54,75.08,54.57,15.03,7.7966,158.2356,single
45,778.15,14.05,103.82,58.74,29.05,7.6684,325.7510,overlap
51,622.68,231.16,52.40,39.79,166.92,12.7855,56.2053,overlap
53,758.16,67.49,32.45,27.97,103.43,8.2784,15.1518,single
57,313.88,397.52,94.78,54.17,17.72,6.2611,250.3244,single
60,657.81,119.11,49.58,30.63,18.84,10.9842,38.7472,overlap
69,687.51,27.66,52.58,45.74,176.23,9.6421,65.0525,overlap
70,560.58,170.00,69.02,44.79,28.39,9.4422,109.7580,overlap
72,685.28,179.30,67.69,28.70,19.35,12.4212,67.6569,overlap
58,519.72,137.28,84.29,55.99,149.54,11.2717,204.6465,overlap
197,314.75,85.29,51.23,40.09,32.52,5.3095,54.1356,single
198,857.61,122.61,37.42,34.32,174.57,5.7611,24.7247,single
201,838.29,43.87,44.14,39.48,3.87,6.1604,39.5649,overlap
203,467.46,101.43,82.04,54.29,35.36,6.1887,187.9751,overlap
221,313.03,522.52,48.29,39.00,19.37,7.0918,46.7917,overlap
237,877.36,563.70,23.24,23.21,89.28,4.6712,6.4465,single
124,514.76,382.17,53.43,47.02,175.51,9.7351,69.0614,single
126,695.52,375.53,87.19,43.19,6.31,13.1973,168.9133,overlap
249,656.72,389.87,73.92,49.74,21.42,11.6301,139.8367,overlap
275,426.64,403.72,97.71,55.10,156.39,8.7774,270.6066,overlap
65,760.40,293.24,83.72,46.64,32.26,7.7140,168.2076,overlap
283,724.48,322.97,62.44,53.10,178.70,8.4295,106.5161,overlap
274,593.67,350.61,75.34,46.70,17.44,11.3247,136.3584,overlap
7,588.31,249.90,44.19,39.84,12.99,8.6590,40.0340,overlap
291,445.89,170.88,35.17,33.96,179.70,8.1275,21.6077,overlap
35,587.03,313.38,45.93,42.69,1.98,8.0639,46.3278,overlap
281,530.15,201.44,60.02,49.12,164.60,9.4939,91.0217,overlap
40,417.69,121.74,68.13,52.39,160.72,10.4306,125.0897,overlap
334,346.67,485.13,74.69,35.11,161.80,9.1175,100.7744,single
300,777.25,434.45,99.71,45.76,22.50,4.2366,234.0469,overlap
317,276.15,504.98,70.82,29.93,10.06,8.9646,77.2343,overlap
353,752.80,474.56,76.70,58.37,160.57,7.8533,176.6580,overlap
364,275.49,592.60,30.49,28.23,171.87,5.0448,13.5011,single
360,648.01,461.82,74.08,56.02,18.06,10.7163,158.1381,single
241,618.13,379.34,61.69,36.46,26.69,13.4871,71.3855,overlap
359,492.09,470.80,119.92,69.99,159.19,14.0726,517.7662,overlap
400,721.28,604.97,37.96,37.39,93.51,7.4943,27.7123,single
402,439.07,555.37,62.68,45.62,14.03,9.6031,92.2004,overlap
54,364.46,68.58,64.16,37.10,160.69,10.0586,78.5513,overlap
436,502.40,541.21,97.49,48.72,144.21,8.0692,238.2355,overlap
4,678.02,208.75,44.75,40.31,168.20,8.2571,41.5368,overlap
466,439.17,637.95,74.40,54.83,145.09,12.4035,156.1406,overlap
409,504.49,519.12,67.48,60.73,176.58,13.2669,142.2897,overlap
86,469.60,191.08,80.11,38.61,179.38,13.3087,127.4715,overlap
467,525.47,596.70,68.01,43.37,148.11,11.3296,103.1855,single
479,302.93,673.32,77.28,50.03,145.00,7.7217,153.7100,single
395,564.46,20.75,33.37,31.09,0.25,9.1975,17.8074,single
488,604.40,649.45,96.11,40.03,4.58,12.5315,190.2366,overlap
489,477.37,668.16,58.09,42.83,3.59,10.1588,74.3564,overlap
421,725.72,549.48,48.75,46.78,1.20,8.2929,57.1893,single
426,588.11,559.27,62.20,55.89,174.86,7.7092,111.2490,single
499,634.76,678.69,89.69,41.05,0.48,17.5652,169.8887,overlap
501,770.74,699.31,74.37,47.24,27.24,9.1289,134.4198,overlap
24,763.05,165.38,73.93,35.91,23.46,11.0518,100.9729,overlap
506,727.34,709.70,66.69,46.75,42.29,8.7314,106.9813,overlap
515,398.10,702.93,43.31,26.17,153.71,10.8739,25.2525,single
29,772.77,186.66,39.98,32.98,4.26,7.6203,27.1172,overlap
523,773.17,518.94,37.11,34.88,3.76,6.0858,24.7184,single
535,706.58,749.51,47.21,43.22,1.25,2.7634,49.5545,overlap
540,683.69,752.84,80.28,36.58,21.66,14.0534,121.2823,overlap
521,342.44,724.48,76.85,42.58,2.32,9.3237,129.3878,single
530,239.79,765.34,43.03,39.06,173.04,5.9492,37.2095,single
550,714.68,3.80,41.21,33.10,163.75,10.0184,28.9119,overlap
544,766.00,736.37,44.56,35.50,35.86,7.3362,36.2628,overlap
93,390.44,401.26,65.57,46.26,156.77,23.9110,102.3347,overlap
11,669.29,96.58,33.81,28.27,173.05,7.5721,16.6318,overlap
538,704.93,35.85,39.34,34.13,92.03,11.6024,27.1711,overlap
573,778.61,782.42,48.44,35.45,16.73,10.8490,42.8042,overlap
551,445.04,668.86,34.42,31.67,0.28,5.3457,19.3060,overlap
52,637.11,185.64,44.79,43.93,176.94,8.4808,45.3445,single
563,480.91,773.70,80.07,48.96,170.98,24.6847,161.4741,overlap
580,556.09,797.47,119.96,37.12,172.69,24.1997,274.7736,single
555,827.46,791.88,84.41,55.13,155.28,0.9038,202.0716,overlap
584,556.61,798.56,113.61,37.66,171.97,0.0000,250.0767,overlap
585,466.51,791.62,51.98,34.70,176.45,0.0000,48.2300,overlap
