气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,875.54,577.54,57.46,50.36,171.13,5.0035,85.5555,single
4,703.55,434.28,43.23,42.20,174.06,6.8361,40.5715,single
5,733.18,242.52,59.07,40.82,11.86,8.5494,73.2714,overlap
6,724.05,63.16,48.80,40.02,156.60,6.9339,49.0241,overlap
9,512.28,232.27,60.17,45.78,177.75,9.2743,85.2722,single
10,426.74,45.58,107.31,43.59,177.95,10.6759,258.2320,overlap
11,673.43,324.77,32.37,31.51,0.12,6.1686,16.9877,single
12,354.09,522.79,47.34,41.48,20.43,6.9726,47.8273,single
14,881.14,419.57,46.08,44.28,179.32,6.2621,48.3630,single
16,590.29,125.53,41.22,37.11,18.48,8.5211,32.4465,single
17,841.63,123.17,53.50,41.75,35.80,5.4101,61.4787,single
18,679.69,382.00,53.40,46.66,171.82,9.3880,68.4594,single
20,834.12,439.36,67.08,41.50,29.97,7.1270,96.0719,single
21,427.44,556.47,50.54,38.99,167.73,10.8732,51.2341,single
24,758.47,418.15,70.72,45.46,25.06,9.1871,116.9471,single
25,727.56,524.96,68.03,47.40,42.40,9.1945,112.8568,overlap
26,542.21,611.80,37.82,37.22,2.42,8.8425,27.3803,single
28,251.64,257.89,72.65,55.08,28.76,6.4620,149.5558,single
29,780.11,381.32,43.18,37.69,7.42,7.4871,36.1534,single
30,593.47,232.74,81.38,43.69,175.44,9.3842,148.8391,overlap
31,737.88,95.29,60.57,40.92,169.76,10.2651,77.2184,overlap
32,799.29,499.14,72.39,46.66,169.24,8.1371,125.7866,single
33,552.57,161.75,63.11,35.55,146.50,8.8012,72.8415,single
34,532.90,361.32,44.77,39.94,4.36,8.7053,41.1761,single
36,461.93,154.04,75.61,43.60,148.85,14.4442,128.2613,overlap
37,417.20,207.36,79.84,39.42,148.90,8.3021,129.2759,overlap
38,578.21,2.40,51.76,37.97,1.08,4.3043,52.3355,overlap
39,389.54,382.37,101.24,51.14,142.11,8.4950,269.6610,overlap
41,556.51,288.48,79.57,34.17,172.69,13.1390,111.3095,overlap
42,287.39,482.28,73.31,49.35,19.25,8.1362,136.4673,single
45,775.60,273.71,90.76,62.87,158.31,9.4175,266.4133,overlap
48,659.99,226.74,83.70,49.86,15.63,7.5344,179.7161,overlap
50,714.11,295.26,63.60,31.79,22.98,10.2761,66.1598,overlap
51,645.75,557.25,75.35,32.56,5.14,11.0954,95.1021,single
52,655.67,440.51,52.95,41.10,11.42,11.4691,59.2792,overlap
53,779.04,325.72,35.89,28.18,31.15,10.0186,18.6797,single
56,447.91,127.92,70.88,45.49,155.66,9.9142,117.5931,overlap
57,315.07,620.23,69.80,55.77,169.22,9.2402,139.7647,single
60,640.80,435.41,50.79,36.87,10.70,10.4053,48.9300,overlap
66,383.94,119.74,80.11,41.20,150.57,13.3794,136.0364,overlap
67,626.81,287.83,75.08,35.13,178.18,10.3130,101.8508,overlap
69,726.88,274.41,51.18,50.15,173.96,5.8257,67.5841,overlap
70,579.26,486.28,64.75,39.40,174.85,13.0773,84.9841,overlap
71,438.76,176.46,58.35,54.87,9.81,9.2834,96.1131,overlap
72,657.19,472.10,69.34,37.70,15.44,8.3285,93.2556,overlap
78,589.17,33.16,68.21,47.36,23.92,10.2312,113.3582,overlap
79,533.12,68.25,63.62,49.00,156.47,12.5542,102.0212,overlap
93,400.30,639.93,72.09,52.81,159.19,6.7491,141.2033,single
58,531.16,449.21,91.14,46.60,157.25,5.0957,199.1533,overlap
2,380.11,8.81,92.40,52.56,8.22,8.2000,230.8950,overlap
197,317.72,261.70,56.23,40.40,150.00,5.3594,65.7121,single
198,881.53,281.69,38.92,35.20,172.23,5.0543,27.4303,single
199,358.39,143.67,44.95,41.37,173.76,5.5490,43.0016,overlap
201,844.32,231.57,48.03,41.24,21.74,6.3682,48.9492,single
203,437.62,351.24,85.05,71.37,160.12,7.3350,265.5497,overlap
221,308.46,701.07,47.74,45.94,4.91,6.6343,53.8621,single
237,872.75,712.54,24.07,23.60,5.79,4.3528,7.0345,single
124,517.92,663.39,55.85,46.57,166.92,10.1194,74.7229,overlap
86,461.74,489.92,93.72,48.14,4.82,9.5963,217.5512,single
126,690.54,664.10,87.05,43.27,2.91,8.4784,168.6631,overlap
249,647.82,673.74,62.78,54.54,5.60,9.6074,110.5794,overlap
275,431.26,696.45,91.81,61.42,174.42,10.1836,266.3692,single
65,726.29,557.17,91.51,49.76,19.22,6.7036,214.4127,overlap
283,714.30,584.26,62.77,51.15,158.10,11.1391,103.6845,overlap
274,576.45,656.94,70.00,47.97,11.21,13.4579,120.9320,overlap
7,597.76,474.44,42.63,40.99,1.84,6.2384,38.3205,overlap
291,457.49,431.60,36.94,29.64,11.75,8.3708,20.8029,overlap
35,591.89,572.67,45.11,43.20,1.73,8.4623,45.2208,single
75,659.72,120.80,53.85,44.99,168.30,12.0816,67.1206,overlap
281,540.76,472.71,63.50,46.01,148.48,7.3942,95.4511,overlap
89,545.26,96.96,60.23,50.62,166.52,8.7904,94.4665,overlap
40,432.88,410.32,64.81,45.93,174.56,9.4527,99.2318,overlap
334,353.26,741.69,81.21,49.48,174.99,9.0530,167.8716,single
59,650.86,15.29,111.31,45.47,7.96,5.0785,289.8278,overlap
300,776.24,707.47,110.30,47.90,16.20,6.4661,299.7709,overlap
317,274.02,734.88,66.52,41.66,2.43,8.4109,94.8439,single
353,763.54,758.69,86.37,57.46,154.43,8.2853,220.5083,overlap
309,743.25,116.06,47.38,42.65,4.45,8.3556,49.2589,overlap
331,663.52,739.16,57.40,45.17,178.72,11.1117,76.5704,overlap
364,303.96,767.42,27.97,27.00,88.08,6.0720,10.8676,single
366,360.29,106.61,46.63,31.55,132.90,10.3791,35.2992,overlap
360,635.46,753.44,90.51,45.38,13.22,8.4434,191.2601,overlap
54,390.60,318.44,71.14,44.11,142.83,9.5656,114.8280,overlap
345,646.01,136.07,72.25,39.55,16.41,6.5545,106.2085,overlap
241,589.12,668.76,57.09,37.62,4.15,10.1532,63.0839,overlap
359,525.60,780.08,144.94,71.45,6.42,8.3060,772.2932,single
393,523.81,779.54,144.41,70.83,5.75,7.9916,759.8790,overlap
391,764.69,722.28,51.23,33.09,12.46,13.4497,44.6780,overlap
395,568.58,242.38,35.15,30.48,2.14,6.5960,19.3740,overlap
397,575.60,227.02,47.47,42.53,177.04,0.0000,49.2967,overlap
