气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,876.08,556.45,59.49,49.20,168.42,6.3305,89.5960,single
4,702.77,408.35,43.46,41.48,176.06,7.9263,40.3053,single
5,732.30,211.51,59.21,40.41,14.24,8.4992,72.8859,overlap
6,725.21,33.99,47.86,40.82,157.16,10.4702,48.1151,overlap
9,509.01,199.22,62.08,42.73,179.06,9.6281,84.7106,single
11,672.60,300.03,32.56,31.37,1.00,7.7898,17.1056,single
12,355.39,499.27,49.86,38.85,25.56,6.3227,49.6819,single
14,884.10,397.86,46.30,41.35,158.48,6.7264,45.5941,single
16,591.98,99.05,41.42,38.61,13.61,7.9594,34.0735,single
17,845.76,102.21,47.78,42.89,13.29,6.7275,50.3715,single
18,676.54,353.27,53.92,45.53,176.35,9.1605,68.0937,single
20,835.69,416.20,66.37,39.70,28.44,7.4323,89.9607,single
21,429.02,521.09,46.22,39.86,162.62,9.4652,43.8072,single
25,733.69,496.51,63.64,44.14,31.14,9.1588,91.9689,overlap
26,543.87,581.05,38.12,37.15,3.66,7.9135,27.7728,single
28,254.21,232.90,65.87,61.04,19.56,8.9525,136.2471,single
29,779.67,359.61,42.26,38.75,178.91,5.9987,35.6151,overlap
30,591.55,191.79,76.83,40.71,1.08,14.4802,123.6267,overlap
31,735.00,61.09,58.13,39.33,14.47,10.8008,68.3649,overlap
32,799.52,468.86,62.61,40.73,172.09,8.0884,82.1412,single
33,546.96,128.05,65.58,37.54,149.45,9.9423,83.0564,single
34,531.72,330.83,46.89,39.75,158.13,9.7858,44.9581,single
36,457.81,112.98,73.00,46.41,146.39,9.5019,127.2416,overlap
37,413.28,172.51,74.26,37.13,150.11,12.1512,105.3359,overlap
39,388.23,350.89,98.44,54.14,139.29,6.9747,269.8674,overlap
41,555.20,249.82,78.39,33.80,172.37,10.0289,106.8498,overlap
42,288.59,454.28,70.27,50.01,11.88,7.9950,127.0555,single
45,778.21,242.17,83.25,67.86,165.69,11.7382,241.9604,overlap
48,661.71,195.19,79.91,47.14,11.46,9.8826,154.8812,overlap
50,714.84,261.84,57.91,38.11,27.90,9.4834,65.7490,overlap
51,648.78,517.26,67.81,33.01,0.12,11.7373,78.0934,single
52,654.75,408.48,48.38,40.03,10.74,8.6851,48.2011,overlap
53,780.92,286.41,35.83,27.32,21.35,11.3681,18.0369,overlap
56,444.85,92.52,75.53,46.20,161.64,9.2525,135.5898,overlap
57,314.87,591.39,69.30,59.86,169.31,10.5732,147.8906,single
60,641.24,399.74,54.44,36.27,15.27,12.6748,55.3022,overlap
66,376.24,86.35,75.73,40.32,141.63,13.6569,118.9405,overlap
67,624.22,246.14,75.81,35.33,178.35,13.8635,104.4517,overlap
69,727.40,244.78,60.66,41.19,139.73,6.6862,77.9830,overlap
70,576.58,450.50,66.42,39.70,176.39,6.7720,90.0933,overlap
71,437.83,146.44,63.24,52.30,172.25,12.7539,107.6227,overlap
72,658.36,438.96,70.79,34.02,11.73,8.1791,87.7188,overlap
78,596.87,1.91,61.57,35.03,16.76,9.6289,68.3260,single
79,531.05,30.66,68.69,47.26,162.21,9.4931,114.7430,overlap
93,400.06,610.34,74.18,52.28,159.75,8.2240,148.0034,single
58,531.13,412.43,89.05,49.14,155.58,8.5723,200.4861,overlap
197,314.51,242.92,49.58,43.13,173.73,6.0016,54.5562,single
198,879.95,262.99,39.52,34.93,166.04,7.4322,28.0703,single
199,356.01,120.73,42.66,40.07,176.71,6.7050,37.5282,overlap
201,843.11,208.98,48.96,42.14,15.99,6.6206,51.9678,single
203,441.07,321.68,78.75,68.07,161.82,10.8072,217.1613,overlap
221,306.86,679.75,51.71,43.21,10.68,6.5066,59.4396,single
237,873.31,694.69,23.75,22.96,94.39,4.6255,6.6648,single
124,517.26,629.62,58.04,44.94,157.82,10.1063,77.8835,overlap
86,463.28,457.43,97.37,42.89,7.29,13.4447,209.1794,single
126,690.79,631.33,87.95,43.64,2.76,8.1205,173.6678,overlap
249,647.66,639.50,63.59,55.29,178.33,9.6713,115.0255,overlap
275,429.76,659.30,89.75,58.40,178.04,11.0747,242.0207,single
65,732.66,526.65,91.99,49.34,17.68,13.1485,214.7956,overlap
283,713.66,552.21,64.85,44.18,174.96,9.5778,95.5691,overlap
274,579.80,621.30,76.44,51.22,14.63,9.4561,153.9794,overlap
