气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,872.24,685.44,58.61,51.62,0.50,4.6960,91.2238,single
4,701.84,571.08,45.28,40.41,8.31,8.2197,42.6221,single
5,739.12,391.93,56.90,44.85,14.02,7.7597,74.7196,single
6,719.83,217.89,46.51,39.69,1.23,9.1114,44.1674,single
9,522.15,400.74,63.55,44.99,13.71,7.8333,93.4723,single
10,437.70,218.83,100.18,62.71,8.22,11.8586,323.8044,single
11,677.35,445.86,31.65,30.00,179.44,5.3021,15.4596,overlap
12,354.80,643.99,43.52,38.30,172.30,7.4425,37.3155,single
14,875.48,543.60,59.87,37.36,21.97,7.0580,68.9092,single
15,539.90,588.91,30.72,29.35,179.09,7.4213,14.2488,single
16,595.30,261.85,37.92,36.47,90.14,7.0303,26.9849,single
17,822.25,236.97,54.78,39.40,34.62,6.2631,60.8322,single
18,701.54,522.24,48.80,45.34,171.13,7.9174,55.5416,single
20,817.11,563.73,57.35,46.69,24.77,6.5800,79.0133,single
21,418.90,722.74,56.22,39.05,18.75,9.3126,63.5015,single
22,557.17,372.03,32.01,31.58,97.28,8.5933,16.6467,single
24,748.96,566.78,56.08,43.35,29.75,8.0225,70.1249,single
25,707.45,665.73,53.20,49.57,13.68,9.1813,72.1658,overlap
26,537.33,767.46,39.35,36.55,7.55,8.0625,29.1095,single
28,257.50,384.16,75.96,49.47,3.75,5.8808,146.8557,single
29,786.75,502.90,38.76,35.39,171.30,7.2192,27.3442,overlap
30,585.71,437.92,96.86,52.46,14.93,13.1899,253.1670,single
31,742.29,274.20,57.49,41.67,10.04,11.8007,70.8531,overlap
32,806.23,659.97,67.11,47.04,146.85,9.0922,109.0035,single
33,575.58,327.87,61.58,41.50,141.59,9.1601,80.9689,single
34,539.72,518.84,39.66,38.95,91.87,9.2562,31.5183,single
35,591.45,731.16,43.47,42.50,2.30,9.1334,41.3152,overlap
