气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,723.85,82.57,48.22,40.02,172.88,9.8624,47.8811
10,839.97,137.45,55.16,40.36,40.55,5.2701,63.1746
25,736.99,118.40,63.52,35.38,165.42,15.0814,73.4405
32,513.43,253.62,60.89,44.24,172.68,9.9204,84.3816
33,761.86,6.32,99.47,36.61,14.24,5.0998,186.3283
67,586.23,55.94,67.17,45.18,19.57,11.3019,104.8609
70,250.75,273.48,74.62,50.93,26.58,6.3167,145.9068
263,660.28,247.74,80.97,52.14,18.54,7.2422,175.8357
83,381.92,29.40,87.25,54.16,2.06,6.5293,212.1302
322,776.18,292.94,88.50,61.60,153.64,7.5957,248.2331
266,555.60,183.17,59.99,36.22,147.84,8.8253,67.0529
380,714.22,317.21,64.37,34.44,19.06,12.1808,73.4094
414,392.01,337.22,72.48,38.48,142.45,10.8343,103.9982
439,656.22,494.12,68.73,39.35,11.44,10.8489,95.6405
456,394.36,403.02,100.48,48.77,145.43,7.8850,253.3166
484,705.40,450.45,43.33,40.97,172.75,7.5213,39.5714
57,574.79,17.23,49.91,43.43,5.71,4.9627,55.6593
572,529.96,470.72,92.78,44.67,154.30,11.8133,197.8363
530,354.39,537.64,47.87,39.61,18.94,5.6455,46.7075
580,461.67,512.54,85.47,48.33,3.87,8.7957,181.6189
595,722.87,577.85,90.52,46.61,14.73,9.8230,196.4946
597,724.74,540.70,62.02,45.96,52.10,8.3116,90.9560
588,584.36,509.76,67.80,38.02,169.24,8.6850,89.9021
358,629.49,313.02,74.97,33.31,178.36,13.3570,96.3274
682,645.81,581.59,77.51,31.55,4.97,9.3457,97.5172
735,518.33,684.31,54.21,46.53,174.82,10.1108,70.3542
736,400.33,657.48,73.21,46.24,157.88,9.3810,127.5129
8,473.82,4.27,87.52,16.35,178.02,16.8579,64.4290
802,725.64,293.94,52.51,48.66,91.73,12.5224,69.0221
811,589.97,256.83,79.22,47.10,176.68,11.1704,152.0927
812,875.12,590.15,56.61,51.03,171.26,6.5123,84.1345
813,844.82,245.45,48.56,39.41,26.75,6.3236,47.8160
814,317.46,273.97,56.54,40.31,146.54,6.2196,66.2983
815,431.87,66.09,107.06,41.62,176.86,7.6496,245.4256
816,592.24,592.38,44.77,43.11,3.88,9.3235,44.4584
817,285.88,499.52,76.21,48.69,18.28,9.3004,145.5135
818,313.13,637.59,70.79,48.60,171.49,6.7121,125.3100
819,879.50,435.61,45.12,43.26,0.98,7.2599,45.3166
820,425.73,579.46,52.45,38.52,171.16,12.9053,54.5183
821,833.98,455.57,69.46,41.53,30.00,6.4944,103.0842
822,309.97,714.72,45.94,45.19,90.28,5.6571,49.0575
823,883.26,293.49,38.76,35.23,4.27,5.6674,27.2227
824,534.68,380.96,44.53,40.27,4.70,9.2708,41.0850
825,756.77,439.05,71.41,49.17,23.08,7.5293,129.0013
826,682.35,400.60,51.45,46.60,173.83,8.6344,63.4668
828,542.03,631.72,38.33,37.31,5.14,8.8372,28.1995
829,387.65,142.28,74.90,41.26,147.44,8.5466,119.0928
830,422.53,231.19,77.41,40.46,151.90,12.3618,124.7329
831,368.26,129.74,49.34,34.67,147.45,9.5589,43.4108
832,799.42,518.97,75.80,48.90,172.33,8.4468,144.5458
833,591.34,143.01,41.62,35.97,27.62,8.0678,32.0534
834,780.15,395.92,42.92,36.81,3.16,8.9844,34.8861
835,560.49,313.09,78.13,35.68,170.80,11.9328,112.0386
836,437.23,195.01,65.72,56.31,129.91,4.3687,125.1294
837,464.66,177.27,73.87,42.40,146.76,11.8495,119.0467
838,640.72,458.96,47.02,36.54,9.20,8.2878,41.5610
839,872.47,724.97,24.10,23.17,1.08,4.9220,6.9252
840,755.60,561.15,25.86,22.71,1.80,7.7912,7.8127
841,777.40,350.86,34.57,27.87,18.00,10.1269,17.1307
842,691.42,686.28,83.19,43.60,2.31,8.7593,155.2429
844,452.01,149.22,70.15,43.02,152.59,8.8839,108.9202
845,658.06,459.83,51.13,39.64,7.90,6.5247,53.3264
846,674.30,339.82,32.46,32.04,178.12,6.6727,17.3667
852,646.09,695.47,59.49,53.68,5.45,8.6599,97.7280
517,433.23,369.60,85.17,67.44,159.05,11.5027,251.7047
893,433.97,718.77,94.62,62.08,164.01,14.1399,285.9357
689,712.92,605.94,59.12,48.95,171.16,6.7691,88.0205
849,733.10,261.28,58.40,37.39,9.50,11.6646,65.6127
847,717.76,5.63,39.61,29.82,11.65,2.3655,24.0726
316,658.67,147.52,63.87,48.31,173.19,9.5332,101.3883
554,432.93,431.77,62.94,48.30,4.28,12.9512,98.4327
848,530.97,91.78,65.89,45.04,158.76,6.6027,100.5894
868,457.61,451.02,39.61,30.57,9.32,8.1408,24.6746
923,275.56,751.98,64.72,42.72,174.13,7.4924,92.0571
932,665.12,759.08,59.38,42.24,10.24,11.9405,76.6360
827,597.99,490.54,41.44,40.01,179.59,8.5808,35.3406
896,776.88,728.86,109.45,50.03,16.43,18.9812,308.3606
953,353.98,761.78,80.47,45.25,173.14,8.9062,150.7381
856,575.86,681.94,75.82,52.46,12.02,8.7972,155.1430
886,541.38,493.35,61.90,47.44,163.40,7.8010,93.5317
954,764.83,778.60,82.94,55.67,156.18,8.9095,196.9978
974,633.91,776.31,96.00,42.49,11.19,12.2275,201.4525
42,649.76,33.38,116.92,49.86,9.75,7.9823,350.6739
980,306.29,781.80,29.69,26.60,174.96,7.1310,12.0624
20,546.82,114.37,54.11,51.09,176.13,5.2176,76.9503
