气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
4,877.33,411.00,58.21,47.52,161.27,6.2747,82.8284
5,838.37,58.02,44.15,39.27,2.37,6.7650,39.3865
6,894.83,265.25,43.28,37.11,30.68,6.7724,35.7712
7,294.97,278.33,72.29,58.87,10.06,6.9367,158.2393
8,559.54,190.66,71.16,40.67,27.88,10.2317,105.9532
9,790.85,261.88,84.17,47.03,175.70,7.7413,171.4411
10,844.15,245.04,61.90,44.80,20.63,7.1748,88.3078
11,258.96,60.44,62.47,44.42,37.14,10.1254,89.1876
12,369.01,333.71,43.97,38.12,11.83,7.7078,37.9231
13,311.89,97.30,56.76,40.41,33.44,6.2861,66.9689
15,425.56,277.14,54.81,30.66,169.60,8.5718,47.3822
25,763.23,285.75,65.11,35.11,25.56,11.5117,76.5532
26,489.65,6.58,39.27,13.72,179.41,4.3605,10.8884
28,736.05,6.57,64.73,35.92,25.60,4.2264,77.4353
31,587.82,331.62,45.55,42.55,179.92,10.1130,45.4213
32,556.49,387.92,39.01,35.78,88.57,7.6913,28.0067
33,763.35,184.99,72.72,36.64,23.80,8.6605,99.6878
34,515.78,128.96,42.18,40.67,92.91,10.8793,37.2242
35,521.78,156.68,86.26,51.20,148.93,11.8242,196.0159
52,364.18,132.08,81.86,53.54,123.19,7.8415,184.5668
63,780.85,35.74,97.37,54.01,25.51,7.1733,263.4465
65,466.37,117.97,81.01,51.88,33.45,9.4394,175.1765
67,626.67,254.32,47.83,41.40,172.46,13.3291,48.7131
69,682.50,198.63,70.01,29.59,18.18,13.2433,74.6009
70,315.67,414.03,96.62,53.91,12.31,7.2716,258.9086
72,656.96,143.23,53.08,30.11,16.12,10.3967,43.6398
79,690.64,47.78,52.10,49.85,175.08,10.3283,69.6224
89,397.40,417.94,79.35,45.20,173.56,4.2653,146.3978
200,859.08,134.90,36.70,35.11,176.08,6.3258,24.3250
211,313.09,536.97,48.44,37.95,18.78,6.2392,45.8183
54,670.31,115.25,33.27,27.68,0.03,8.2282,15.7592
46,533.73,4.80,84.30,16.96,179.41,10.1109,61.9988
238,877.74,574.62,23.72,21.93,178.57,6.6725,6.3460
263,694.33,397.60,88.42,45.86,7.29,11.0111,184.4497
265,514.89,402.38,52.37,45.50,1.77,10.4841,64.1995
84,367.88,86.86,61.55,39.75,162.19,3.7825,77.4668
282,654.88,410.13,70.60,50.57,15.30,10.7147,129.6777
83,468.12,212.81,86.75,38.68,1.74,12.5642,149.7530
37,756.89,311.02,81.74,46.07,26.17,6.8671,158.3274
320,424.52,422.96,99.64,52.08,159.52,9.5603,265.9918
316,722.37,340.67,61.47,56.83,179.13,10.2921,110.4745
43,419.05,143.76,71.95,51.36,162.73,6.7072,136.7704
349,276.13,521.79,72.92,30.15,10.86,7.2476,82.4810
20,588.24,266.59,43.54,41.35,5.09,7.0438,40.3180
322,776.00,452.90,101.68,43.28,19.13,9.1265,230.1844
379,347.39,503.65,74.34,37.38,158.56,9.4237,106.2697
266,593.13,374.38,77.47,47.62,15.56,11.1756,147.0474
314,532.18,220.29,59.54,48.07,152.27,12.7272,87.6608
380,754.39,492.75,77.02,55.89,160.96,6.0617,170.5949
406,277.34,604.39,28.59,28.36,177.52,4.4770,11.9290
414,493.46,493.48,119.09,69.29,158.17,11.2970,505.5202
439,721.51,619.71,37.05,36.79,4.81,6.1466,25.9794
456,439.49,573.74,62.54,46.57,14.02,7.8613,93.7002
474,505.63,563.61,105.59,51.34,148.88,4.1295,294.4322
484,725.31,565.34,51.99,47.25,173.60,7.4179,65.7125
471,589.06,578.68,60.20,56.20,175.10,10.7778,104.7636
42,681.33,225.72,44.39,40.49,174.20,9.6302,41.0528
17,667.98,153.76,49.07,38.92,5.46,9.4636,48.2082
554,528.60,620.83,64.43,40.95,153.28,10.3757,87.4635
560,306.10,690.80,74.18,49.04,146.29,10.4116,138.8580
57,640.12,204.19,44.65,44.23,86.42,9.1965,45.3684
569,564.89,37.92,33.37,28.40,174.52,8.9478,16.2699
572,605.13,673.54,99.74,42.09,3.39,11.7500,215.4495
530,440.23,657.61,67.91,52.09,146.47,14.3008,123.5912
580,479.70,689.22,59.53,40.94,171.42,8.3125,74.6275
595,727.07,728.89,64.17,47.99,38.07,6.5910,101.6653
597,768.50,718.81,77.18,44.31,29.28,9.6420,135.8082
51,762.63,85.14,31.04,29.13,3.08,8.1837,14.4364
588,633.90,699.28,87.02,40.01,179.52,15.0400,155.8864
287,617.55,400.90,56.61,37.77,27.10,6.7552,62.2712
618,401.66,724.78,42.86,24.19,158.39,9.2708,22.8673
631,772.08,205.42,43.41,33.82,3.37,6.8549,32.7852
639,342.24,744.98,79.08,41.05,3.81,9.0174,132.0578
653,240.00,777.48,43.08,38.45,0.40,5.2467,36.7087
358,648.11,482.27,73.31,57.53,17.36,6.3817,159.0597
667,772.17,532.75,41.37,33.30,30.36,6.7006,29.3269
299,446.82,188.60,37.18,33.85,0.12,7.2130,24.0695
670,702.61,768.13,52.98,43.87,1.61,15.0569,63.3555
682,684.19,775.69,86.67,36.73,20.80,10.2206,141.9156
540,731.62,248.68,11.79,10.55,13.96,10.3594,0.7540
688,836.04,793.78,64.06,44.54,132.14,4.8970,94.0170
689,767.46,746.09,41.16,38.63,2.92,3.6405,33.6720
691,715.88,26.84,51.14,23.67,162.27,15.7400,31.8457
607,705.76,54.40,41.36,34.81,92.10,7.9449,30.6302
707,780.64,794.67,50.97,19.26,5.70,3.2174,25.7387
711,479.72,790.08,79.79,33.16,169.86,6.7431,108.6205
517,505.56,540.36,69.08,63.86,1.43,15.4423,156.7973
695,452.16,676.58,51.14,42.22,122.99,3.9990,56.8134
712,535.78,10.16,75.01,20.14,179.78,3.9489,58.2877
