气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
3,596.66,36.98,77.95,43.62,6.38,11.6340,136.3629
4,876.73,469.69,55.56,52.67,178.40,6.7603,83.6524
5,840.64,122.06,48.12,41.24,11.95,5.9882,49.1363
6,890.64,318.12,44.99,38.58,24.02,5.7414,40.1856
7,294.35,349.79,68.23,58.05,5.16,7.2244,139.0609
8,562.59,299.06,59.52,37.93,9.35,10.8775,69.1411
9,794.23,345.83,67.94,49.89,171.68,8.7747,118.4906
10,841.24,314.49,55.38,43.47,20.35,5.4220,68.5934
11,262.36,126.78,69.62,47.89,146.61,7.7376,119.4276
12,362.30,404.97,45.36,38.95,25.59,7.7536,41.2195
13,306.56,156.56,50.04,40.56,11.89,6.0663,52.2432
15,429.82,382.43,63.16,37.09,165.34,11.2123,76.1171
23,852.86,15.37,49.40,40.01,12.94,4.2551,50.2350
24,663.78,69.73,74.70,36.92,178.00,10.3803,105.9746
25,749.60,374.98,57.58,40.13,33.55,9.2318,68.4322
26,496.74,69.42,61.87,40.72,165.21,9.1251,80.1817
27,619.20,85.56,74.42,35.46,171.90,10.3665,101.0267
28,729.99,88.51,68.92,38.57,26.24,9.3871,94.2489
29,412.96,24.84,56.39,48.34,16.30,10.1774,79.0967
31,589.88,417.34,43.24,42.80,177.61,8.5906,41.1738
32,549.48,461.44,40.10,36.58,90.25,7.9393,30.2601
33,762.29,271.88,72.19,35.80,25.24,7.5781,96.0047
34,524.36,210.12,45.54,38.89,152.93,10.4394,41.4987
35,522.86,260.70,92.61,50.52,154.70,18.9989,222.9040
52,374.89,221.28,89.33,53.88,123.36,12.1669,221.2053
62,595.39,6.75,39.70,15.90,179.03,3.0537,12.8858
63,777.59,122.17,88.83,67.51,16.29,9.6926,274.0884
65,456.28,203.40,68.56,67.66,1.53,7.6051,163.6036
67,640.07,356.94,44.46,32.92,162.38,10.8167,33.4697
69,671.96,299.04,64.54,34.09,21.19,12.7216,73.0539
70,315.85,481.01,87.45,58.05,1.44,7.0183,228.3923
72,649.29,249.60,54.18,32.86,13.45,12.2450,49.6093
79,703.46,133.71,54.01,50.55,88.73,8.5511,75.8614
80,434.15,27.29,69.59,49.09,139.01,8.6879,122.3013
89,394.63,491.77,77.35,45.93,157.25,6.3074,141.3770
200,867.82,187.80,36.70,35.51,172.87,5.6705,24.6058
211,308.26,597.74,45.08,43.31,5.65,6.7057,45.2744
54,671.42,197.09,33.06,28.64,4.83,7.4996,16.1054
46,549.14,94.45,76.52,43.24,177.51,7.9436,130.2417
238,876.49,624.46,23.27,22.62,179.53,4.9609,6.3005
263,690.89,495.41,88.83,46.11,177.28,9.3423,187.2145
265,514.72,496.89,55.68,43.59,176.55,9.9354,69.5272
84,371.17,166.73,63.90,33.00,147.67,8.3990,69.3285
282,649.90,503.28,67.05,50.92,13.66,9.0933,117.7541
83,474.21,318.42,92.58,36.97,3.64,9.4508,163.0521
37,747.93,402.18,80.81,44.68,18.56,14.1660,150.0967
320,423.14,516.67,101.71,56.09,164.74,13.7796,298.4709
316,717.93,428.97,64.33,53.75,27.83,9.6050,114.4536
43,421.68,239.83,73.63,49.41,158.76,12.1291,137.8053
299,448.26,269.51,40.30,35.26,175.39,8.3843,29.4559
349,271.62,598.95,58.48,34.66,1.60,7.4539,60.9848
358,664.88,577.42,45.77,42.87,2.21,18.7406,46.2068
20,589.94,344.22,45.41,39.59,10.43,7.8735,42.0073
322,773.39,545.80,104.38,42.44,14.19,9.4669,237.8663
379,353.54,593.18,64.97,47.46,172.52,8.4366,103.0726
266,591.75,481.15,89.56,49.66,14.14,8.8463,204.9548
314,534.20,308.84,57.17,51.03,173.93,6.4612,85.7870
380,760.10,589.44,76.73,61.57,0.71,7.4415,186.4897
400,645.18,580.49,71.12,61.09,5.40,11.5464,158.9463
406,286.11,658.80,29.68,28.22,177.31,5.4137,12.7904
413,350.77,31.44,43.43,41.34,177.08,6.5019,40.1039
414,496.35,593.77,118.39,78.11,175.76,11.7107,563.2227
439,723.16,684.29,37.31,36.04,2.79,6.8651,25.8109
456,434.88,662.21,59.43,46.96,8.31,10.4404,85.3270
287,604.78,497.01,59.23,39.34,20.06,11.2540,71.0123
474,521.09,670.69,96.85,59.13,165.78,14.6726,285.3302
484,732.35,639.04,47.92,45.02,174.38,8.3559,53.1965
471,589.68,677.82,55.82,50.11,179.87,9.1012,80.3298
42,693.24,304.54,42.97,41.14,91.97,8.0029,39.0710
541,617.28,757.89,47.01,33.72,2.81,17.1565,38.3387
17,666.74,234.51,51.25,39.59,3.57,7.7037,53.4920
554,543.34,732.88,75.13,38.24,154.55,11.3121,111.0527
517,511.68,643.26,69.73,66.45,98.93,14.7592,166.2326
560,312.00,772.66,82.99,47.62,160.84,7.3693,168.7147
540,731.42,321.50,11.22,10.16,90.17,6.5395,0.6576
57,649.70,289.75,47.48,42.36,0.96,10.8615,49.1311
569,568.78,116.55,38.52,31.96,19.33,9.8077,24.3914
572,618.20,776.30,111.06,46.43,1.84,15.8987,294.5962
530,457.22,756.31,75.76,52.79,137.98,11.6142,155.8896
580,489.69,784.84,55.61,41.47,151.06,9.3046,65.9708
581,771.28,791.95,36.20,26.72,13.53,3.9838,18.0144
595,716.54,793.02,43.55,15.29,179.10,4.3238,14.9137
606,523.61,10.07,48.95,23.83,179.42,15.6478,29.3694
597,746.67,793.68,52.18,24.21,5.37,19.6370,33.9079
607,715.22,137.10,44.65,37.93,95.59,0.0000,38.8925
