气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
1,439.35,198.97,100.05,59.20,6.49,9.3399,304.8950
2,379.21,155.28,83.84,59.92,1.35,12.4786,216.6899
3,587.63,413.01,95.08,49.66,12.30,11.2959,230.9934
4,873.25,673.03,58.20,51.50,169.33,6.9545,89.7596
5,848.67,331.49,46.03,38.16,28.70,6.1448,41.5912
6,875.39,528.63,59.12,36.06,22.38,8.1780,64.8348
7,278.23,606.25,76.46,45.48,2.34,8.6427,136.7763
8,601.84,654.90,66.88,37.05,151.98,8.6933,85.2595
9,803.61,643.88,69.64,51.75,149.89,6.0094,129.1275
10,819.46,550.07,59.30,47.22,23.44,6.6545,85.4364
11,256.26,370.55,77.45,47.45,6.03,7.9866,146.4554
12,354.93,629.80,42.67,38.70,0.06,6.6999,36.2571
13,314.93,344.22,48.62,42.80,171.76,5.5853,52.0514
15,419.47,703.24,58.96,39.64,14.07,9.2537,70.8912
16,720.57,199.54,47.85,38.96,174.53,12.0461,45.8950
17,699.08,506.54,51.46,45.51,171.21,8.7881,62.0022
18,785.07,489.26,36.71,35.54,177.06,5.2332,24.6441
19,473.86,470.53,42.20,35.75,130.85,3.0286,32.7573
20,596.49,590.93,40.96,40.50,86.14,9.0436,34.9478
22,367.99,236.97,43.03,41.35,179.87,7.5849,39.3847
23,825.48,224.31,53.61,42.22,33.44,7.4212,62.4261
24,659.68,369.70,72.78,58.99,163.16,8.2581,160.7267
25,709.44,648.93,55.33,49.17,31.85,8.9435,77.4345
26,521.81,381.81,64.10,45.28,8.76,8.9477,95.7051
27,635.77,459.87,73.51,34.21,177.84,13.6713,95.1060
28,738.58,374.44,56.47,43.44,6.84,8.6281,71.2660
29,435.96,372.43,64.13,35.35,153.21,9.8223,74.8081
30,567.11,127.96,47.85,46.24,178.40,9.0038,54.4702
31,591.46,712.84,43.62,43.00,2.37,9.2914,42.0813
32,537.41,749.91,39.01,37.24,5.52,9.0657,29.1558
33,750.47,549.48,56.27,45.77,19.23,10.5229,74.5696
34,539.87,500.95,40.72,37.51,1.03,8.9844,31.9889
35,543.13,612.02,86.46,54.18,151.05,8.6030,208.3572
36,559.42,356.21,32.52,30.91,92.03,8.6536,16.8150
38,641.34,169.94,111.76,50.38,1.82,12.1903,323.7593
39,538.79,572.19,30.33,29.62,177.71,7.3548,14.0187
40,572.30,309.28,57.92,41.89,148.02,8.0189,72.2936
41,486.34,322.37,82.35,48.57,148.77,9.9670,169.4757
42,702.95,555.23,45.01,42.15,2.44,7.1599,43.9222
45,741.73,251.96,51.50,43.12,0.92,10.7234,58.8376
48,599.71,51.01,91.96,46.52,162.85,10.6766,202.3867
52,407.91,519.43,83.73,50.01,151.27,8.3093,180.3865
53,533.66,234.76,89.46,43.48,163.12,12.6513,179.0173
55,515.71,83.13,66.54,46.45,179.31,10.0926,105.8034
56,607.30,90.42,82.03,44.53,2.98,10.9817,154.1359
57,650.71,576.47,53.03,41.66,174.50,10.0469,60.2623
59,715.17,246.16,46.19,45.48,5.80,13.1620,49.9246
60,721.41,110.64,54.39,29.66,24.98,14.3777,45.1369
61,707.35,446.87,66.20,27.82,10.99,9.3269,62.7301
62,594.71,245.92,39.07,35.92,86.05,9.5005,28.2066
63,778.03,414.80,80.69,51.99,162.08,11.2504,174.1365
64,470.49,290.32,78.77,43.96,150.80,12.5548,140.3254
65,413.68,489.05,103.26,50.55,157.18,10.5805,277.3122
67,633.92,726.14,56.42,42.08,27.97,11.8090,68.9159
68,411.08,265.34,66.14,43.24,164.67,10.0544,97.2990
69,657.89,624.82,65.29,38.81,175.82,10.4798,85.1113
70,318.58,738.49,70.64,41.20,160.44,9.7293,105.7510
71,574.03,189.04,68.23,41.98,7.03,9.5346,100.5433
72,643.09,595.67,50.54,35.21,171.35,13.9548,46.2640
73,775.12,95.62,73.41,53.50,22.51,10.4589,148.3456
74,750.76,129.40,79.73,36.00,22.04,10.3262,117.7363
77,493.52,111.99,91.58,42.92,161.49,7.7796,185.1879
79,723.42,417.58,75.98,37.35,38.63,10.7346,110.9460
80,437.09,299.80,69.50,56.61,19.12,10.8104,140.6706
81,553.77,213.21,58.90,42.82,150.74,4.8604,76.4245
89,406.62,772.11,78.75,48.37,169.92,9.7570,154.3125
78,658.28,288.14,87.73,36.95,2.13,9.9868,146.3157
37,716.43,716.90,83.40,53.48,14.05,9.5135,191.3741
200,884.62,365.62,39.94,34.05,31.47,5.9847,27.9421
201,541.53,1.38,73.21,23.84,165.99,3.3816,65.7212
202,828.81,14.00,93.12,36.52,171.28,8.9574,162.9358
203,749.90,7.55,49.23,28.78,164.21,5.2535,35.8847
204,752.25,652.59,23.03,22.71,0.40,6.0704,6.1959
205,702.68,92.97,36.53,34.29,179.10,9.4376,23.5393
206,500.28,14.75,48.17,34.23,150.10,7.7645,40.8679
209,887.69,6.64,39.55,13.51,179.27,18.1111,10.8706
211,318.53,787.87,54.74,32.27,173.25,2.3413,49.7520
139,452.56,16.18,76.17,49.29,158.55,9.3641,147.1255
47,374.78,273.06,37.87,27.62,1.06,13.2293,20.3794
82,740.32,434.65,51.77,35.14,3.18,17.3318,48.4477
86,641.08,292.49,72.64,36.33,7.20,9.5851,98.6340
87,525.18,104.57,81.45,40.60,158.10,24.7120,138.5485
54,676.90,432.46,34.43,32.25,5.74,8.4286,19.6638
51,761.47,489.62,36.22,25.97,18.69,10.3824,17.5282
83,458.12,654.98,69.35,48.57,160.49,32.1241,120.1948
46,570.42,466.31,65.74,34.77,171.79,13.2898,77.3104
238,872.41,792.24,23.88,17.26,177.83,3.8101,5.0609
43,442.53,572.85,69.86,53.49,155.01,8.4631,134.2960
255,595.45,792.16,47.26,21.17,178.70,2.2859,24.3220
258,537.12,13.17,72.59,26.88,178.74,9.3596,72.8669
259,659.43,794.35,44.39,13.22,178.77,7.3497,13.4015
263,691.53,792.77,52.03,15.61,178.64,24.3716,21.7459
265,521.43,791.90,42.72,20.36,178.96,1.1090,19.1233
266,544.13,793.43,33.32,13.69,179.76,29.8756,7.8219
267,451.06,647.99,61.94,46.99,163.36,0.0000,92.7414
