气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,724.77,48.95,50.07,40.11,152.91,6.2779,51.7458
10,843.64,113.49,50.51,43.54,27.99,6.4709,57.1465
25,737.69,79.32,54.05,41.54,174.70,12.4633,62.4471
32,510.74,216.61,60.22,44.76,178.38,8.9930,83.5105
67,590.80,15.96,68.60,44.76,10.36,6.3629,108.3829
70,253.01,245.90,71.03,55.79,32.48,7.0643,144.8270
263,660.89,211.77,82.71,48.27,13.82,8.5231,169.8674
83,378.71,5.56,76.06,25.42,6.10,5.2069,75.6614
322,776.96,258.53,86.26,62.72,164.12,7.9971,240.1028
266,550.59,145.64,63.85,36.25,147.53,9.2408,76.0238
380,714.83,279.27,60.42,35.57,22.42,13.2805,66.8104
414,389.39,303.83,66.94,40.57,143.38,7.3896,93.5278
439,657.56,456.43,69.03,37.03,15.13,9.5947,90.7829
456,390.03,368.56,98.43,52.57,145.33,11.9335,261.9819
484,704.00,422.04,42.89,42.11,176.07,6.8940,39.8524
572,530.99,431.28,91.14,47.18,153.32,13.2759,201.6164
530,354.87,512.00,47.99,40.12,23.47,7.2617,47.5342
580,465.78,476.48,94.83,41.63,10.24,9.3354,192.6152
595,728.73,544.44,87.76,45.60,17.13,9.3410,180.6882
597,730.43,511.26,64.89,44.08,36.52,10.8997,95.5079
588,575.59,470.19,65.26,38.67,176.72,11.3349,84.7247
358,627.58,268.82,76.12,34.98,177.70,11.1011,104.2823
682,647.77,539.28,72.41,33.05,2.77,9.2001,89.1561
735,517.66,647.97,58.42,45.57,163.87,9.6034,80.0134
736,400.36,625.97,72.75,50.55,160.24,8.6237,137.6530
802,725.17,261.54,61.70,43.03,135.40,6.7139,84.2860
811,590.60,213.02,78.69,45.43,0.05,13.7671,144.7055
812,875.73,567.91,58.47,49.50,172.26,4.5737,87.0521
813,843.76,220.72,48.07,41.32,14.84,7.2134,49.1165
814,316.23,253.63,53.58,41.29,163.62,5.1968,60.9846
815,428.85,28.73,110.27,39.05,175.96,9.2649,244.2970
816,591.96,557.95,44.09,42.42,0.83,10.2713,42.4231
817,288.02,469.47,72.14,49.18,15.31,9.4610,131.6413
818,313.78,607.52,68.93,58.11,166.78,8.4639,142.0207
819,882.49,409.67,44.33,43.54,176.81,5.4644,44.0250
820,428.88,540.02,46.68,39.31,169.99,17.1709,44.0666
821,834.14,429.14,66.95,39.85,29.85,5.8826,91.9054
822,307.37,690.92,48.31,43.36,2.15,5.4209,52.0729
823,880.80,273.44,38.59,35.30,172.63,5.9408,27.0424
824,533.04,347.31,46.01,39.89,171.57,9.4434,43.4473
825,758.64,403.43,69.25,45.68,24.40,7.7182,112.6740
826,678.30,368.52,52.29,45.66,172.73,8.5103,64.2325
828,543.47,597.62,37.30,37.11,1.27,7.9572,26.5610
829,379.38,103.93,74.10,39.34,146.86,9.6915,111.1427
830,416.11,190.47,78.55,37.69,147.65,10.6498,119.6499
831,358.08,91.30,46.04,34.68,129.13,5.7495,37.8134
832,799.28,484.52,67.85,43.56,169.86,7.7970,103.1503
833,591.38,113.60,41.34,37.25,18.02,7.3185,32.7563
834,779.51,371.03,42.30,36.92,4.01,6.9950,33.9854
835,555.33,270.72,81.25,32.68,169.22,9.6401,110.9739
836,440.43,163.03,65.24,56.27,2.65,13.2580,123.2072
837,458.60,133.75,68.16,48.91,144.50,15.8540,116.8994
838,641.86,419.37,52.34,36.51,14.95,9.9147,51.4495
839,872.83,703.95,24.17,23.19,0.97,6.3358,6.9719
841,780.46,307.02,36.94,27.69,31.36,11.3734,19.4434
842,690.97,648.75,86.64,41.98,2.16,9.3182,162.1243
844,446.90,109.50,70.82,43.64,159.94,11.1975,112.5982
845,657.11,426.28,51.78,43.06,12.92,10.2128,59.4106
846,673.06,313.14,32.48,30.92,0.68,7.2293,16.7826
852,645.66,658.06,60.69,53.65,5.51,8.9434,101.6618
517,436.54,339.09,85.29,71.93,159.12,7.7366,269.2026
893,431.29,677.33,89.98,59.21,177.57,10.0766,246.6386
689,714.93,570.35,64.18,44.71,165.56,3.8714,94.7373
849,733.17,227.11,56.82,38.61,13.75,9.3667,64.1209
316,657.79,101.24,58.10,39.44,151.59,11.4954,68.4995
554,433.56,393.20,64.25,42.93,165.96,8.9465,91.1716
848,532.24,50.50,65.50,46.22,156.90,9.0890,102.0270
868,456.28,416.80,35.59,29.57,3.95,8.9479,19.2691
923,271.89,723.03,63.49,40.46,5.15,7.3299,83.9021
932,665.63,722.86,53.23,43.22,176.95,12.8461,62.9958
827,596.98,462.83,43.20,40.34,176.84,6.8954,38.7357
896,775.22,694.47,110.14,45.50,13.02,9.4281,283.9270
953,353.76,729.57,84.15,48.31,172.95,8.5468,175.9858
856,576.60,639.46,75.23,47.12,7.13,14.4763,137.1826
886,541.16,455.21,62.87,49.03,150.02,3.8763,99.6984
954,761.02,743.55,90.68,60.12,152.99,7.8399,254.3417
974,636.03,734.80,85.22,45.02,9.15,11.7089,168.2158
