气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
1,438.36,221.83,99.80,60.74,7.12,12.4738,311.2439
2,377.89,175.45,84.72,63.54,2.73,8.6812,234.5884
3,585.34,440.64,93.16,52.86,11.23,11.4872,236.0087
4,872.18,686.32,58.83,50.95,176.85,4.9340,90.7072
5,849.73,344.92,46.06,38.06,23.43,5.2498,41.5391
6,874.31,545.16,57.81,36.53,22.26,7.2060,62.8113
7,276.53,624.72,76.19,45.48,179.70,7.4499,135.8329
8,605.62,677.00,69.28,35.76,154.85,9.7732,88.3089
9,806.81,661.66,66.07,47.80,147.60,8.7876,107.3579
10,816.01,564.74,58.00,46.96,25.52,7.4766,81.2652
11,257.47,385.97,75.65,49.16,1.79,6.7980,144.7457
12,354.85,645.79,42.79,38.82,174.87,6.5723,36.5718
13,313.55,356.54,47.99,40.76,170.94,4.7185,48.2951
15,418.07,724.55,53.83,39.22,15.68,10.6746,58.4600
16,719.41,220.08,46.52,39.95,179.29,9.5648,44.4719
17,701.64,524.30,48.46,45.38,175.44,8.1411,54.8163
18,786.59,504.59,38.65,36.31,174.67,5.8781,27.9036
19,472.63,483.08,40.69,36.97,99.06,6.4386,31.4795
20,596.21,608.41,40.89,39.78,87.17,6.0513,34.2155
22,369.83,250.65,43.70,42.56,7.98,4.8800,41.8062
23,821.81,238.33,55.38,40.19,33.89,5.8260,63.4264
24,657.97,388.68,77.59,55.30,161.81,7.6605,171.2660
25,707.11,667.70,51.22,48.45,6.41,8.8790,65.3882
26,522.15,402.62,63.89,44.86,16.24,8.8909,94.1957
27,638.43,483.54,72.77,32.87,177.96,13.1190,89.5479
28,739.24,393.52,57.03,45.12,7.57,8.1909,75.4972
29,436.63,396.18,63.69,33.42,155.34,11.0722,69.7504
30,566.52,146.80,50.11,42.61,3.27,7.8458,55.0500
31,591.10,733.21,43.62,42.22,4.30,9.5853,41.3264
32,536.97,769.49,39.58,36.55,6.12,9.1309,29.4519
33,748.77,568.01,55.56,43.49,28.05,7.8003,69.0522
34,539.61,521.10,39.51,38.89,177.07,9.1369,31.2309
35,543.48,634.61,83.54,59.03,158.12,10.0734,211.9409
36,556.30,374.00,32.26,30.60,95.15,8.6090,16.3861
38,642.28,192.96,111.13,50.45,3.37,9.0686,320.5806
39,539.88,590.71,30.46,29.39,0.12,8.7538,14.0226
40,574.92,329.91,60.17,42.96,143.58,8.7521,80.0172
41,489.83,348.79,81.31,46.36,151.76,14.5918,157.6628
42,701.61,572.69,46.49,40.06,14.02,6.1926,44.5304
45,743.02,276.18,54.25,41.56,7.69,11.5316,62.9207
48,599.15,74.22,89.28,46.59,165.33,10.0761,191.0400
52,409.02,538.85,78.68,49.13,153.36,7.2936,156.4607
53,529.51,260.25,83.43,41.38,169.91,16.5297,148.1876
55,514.14,106.49,71.84,49.39,5.97,4.6726,131.1235
56,606.44,113.96,84.40,43.39,1.55,8.8900,159.0123
57,649.95,595.90,51.82,39.90,1.66,8.1185,55.1305
59,712.56,266.66,47.22,46.14,14.37,8.9068,52.9215
60,718.19,130.92,54.71,27.80,30.47,11.4803,42.8200
61,706.82,468.75,64.38,28.33,9.88,11.5564,60.4052
62,594.95,263.77,37.11,36.79,88.53,8.5569,26.0581
63,778.99,434.79,93.66,50.17,164.41,8.6522,226.4468
64,470.42,316.14,89.95,49.70,148.18,12.7384,206.9001
65,414.55,508.45,101.08,52.33,159.60,11.1298,275.0523
67,629.63,749.58,58.42,39.00,30.04,9.5930,68.4622
68,413.96,287.48,64.69,45.97,162.53,11.1387,98.9689
69,658.42,647.02,67.90,34.44,173.92,8.4965,81.6801
70,317.61,756.13,70.21,40.83,160.79,7.4912,103.5690
71,573.75,212.85,66.72,41.09,4.59,13.9424,94.1143
72,645.00,618.12,45.71,40.10,173.24,12.0450,43.1103
73,774.11,115.96,72.65,51.62,18.49,14.8809,140.1772
74,746.72,151.08,79.36,35.20,25.21,8.4536,114.0570
77,493.10,131.78,89.00,42.19,160.50,6.0221,171.9509
79,717.61,435.22,61.68,36.77,38.22,8.7479,71.9578
80,434.26,318.09,65.37,56.82,31.28,14.0759,124.8971
81,553.96,233.57,62.26,42.99,158.46,4.3218,85.7223
89,408.11,785.72,74.13,34.26,175.18,5.0693,96.8419
43,444.13,596.05,74.96,53.15,152.58,9.5624,153.6585
78,661.61,311.24,80.15,36.91,3.00,9.8736,121.9884
37,716.48,736.24,86.66,49.36,8.45,7.5708,190.7158
200,884.44,378.07,39.38,33.61,24.45,4.2754,26.8198
201,544.24,12.06,65.48,40.73,156.86,7.6616,89.8444
202,829.33,32.25,92.33,38.88,175.26,12.9124,170.4911
203,750.25,24.67,51.49,35.71,155.80,9.6006,48.6971
204,749.37,667.83,23.14,22.55,0.63,7.2051,6.2096
205,701.15,109.07,36.33,35.39,1.09,5.0310,24.0357
206,499.36,30.56,48.60,39.67,141.24,6.9824,48.2040
208,591.94,6.95,55.28,18.35,179.34,24.6441,28.8516
209,890.66,7.36,64.58,31.81,8.15,5.6589,68.2506
210,741.17,5.32,41.22,13.02,178.80,8.7304,11.3842
211,321.04,795.24,50.20,20.45,7.28,1.0230,26.5177
214,400.01,7.75,41.70,17.50,178.81,9.8266,15.6485
139,449.85,35.16,79.05,53.26,156.35,8.2060,171.2061
47,371.37,297.87,39.66,26.99,4.48,12.3418,21.8411
82,744.45,460.27,41.25,31.66,176.37,13.2808,27.7214
86,635.91,314.82,65.82,32.65,10.22,13.2381,72.7662
221,448.20,665.68,51.95,36.91,154.73,11.1361,51.2544
87,523.99,124.08,86.98,47.60,162.52,37.7166,185.2690
54,676.59,447.70,33.15,30.59,2.82,6.2977,17.2919
51,757.08,511.66,36.25,26.81,21.12,9.3702,18.1241
83,460.17,681.38,65.99,36.04,148.51,8.6018,80.7427
84,396.50,466.94,67.50,42.67,152.36,7.4080,100.0261
235,395.65,467.21,66.12,43.32,151.21,0.0000,97.4455
