气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,723.21,115.61,48.15,39.88,171.90,10.0572,47.5673
10,836.62,161.73,53.30,43.14,34.57,6.6777,63.0528
25,737.90,155.92,63.31,38.88,166.29,4.1950,80.1725
32,515.47,289.00,58.91,46.32,175.56,9.8121,82.6862
33,768.02,32.36,76.71,37.73,21.80,12.2552,114.2374
67,585.32,94.08,70.64,46.65,18.69,10.1846,119.7523
70,251.40,300.90,78.95,49.67,14.78,11.1707,159.2780
263,660.21,280.22,79.39,55.29,21.58,9.5906,179.2816
83,380.31,65.48,91.36,59.30,13.67,12.4370,254.6241
322,778.68,324.64,81.36,58.02,150.41,16.0357,197.5835
266,560.57,219.60,54.26,39.97,162.17,11.0577,60.5399
380,714.69,354.03,67.66,34.58,15.13,13.1965,81.4427
414,392.61,366.76,74.90,35.22,146.65,11.7256,101.6643
439,656.59,530.93,67.70,37.77,11.64,7.4116,89.0461
456,397.10,434.39,107.77,47.40,143.18,7.6727,283.2622
484,705.15,478.75,49.63,40.14,158.62,8.3766,50.8543
17,616.07,11.44,82.43,23.15,0.50,2.1566,80.9411
57,573.91,46.16,50.23,49.06,178.64,8.0880,63.6659
572,532.96,510.79,85.94,49.76,151.38,10.5103,189.0783
530,354.20,562.86,47.12,39.39,15.50,7.6283,44.9823
580,458.69,552.85,79.23,53.25,179.84,11.5295,171.9621
595,720.19,615.18,88.74,43.26,15.65,8.3166,175.2610
597,719.84,568.65,61.19,44.94,56.20,10.6180,86.5597
588,590.69,551.43,62.77,39.77,155.91,11.6809,80.6046
287,570.72,284.65,38.00,35.45,2.14,2.5796,26.3338
358,631.14,354.16,73.06,35.46,178.19,10.4181,97.3678
682,643.11,621.16,70.73,34.79,3.31,11.3714,89.5583
735,519.19,719.71,52.73,45.95,179.54,9.6172,65.7435
736,400.44,690.39,73.51,46.39,167.02,8.8554,128.9904
8,484.73,22.04,93.80,48.09,161.43,11.0299,217.6961
802,728.15,328.32,65.35,56.46,21.93,8.6090,124.0578
811,591.65,299.71,82.75,47.48,178.72,12.0500,167.2838
812,874.79,614.54,56.17,52.50,171.34,7.6333,85.2300
813,845.79,269.66,50.05,38.69,27.74,5.8449,49.8690
814,316.77,292.88,54.85,41.43,142.89,5.7449,64.1362
815,434.36,103.62,104.41,46.01,3.58,9.0505,258.0333
816,592.04,625.77,44.96,43.74,3.01,9.3412,45.4836
817,283.96,528.87,76.96,48.66,14.11,8.3266,148.2716
818,313.35,667.68,71.99,40.52,172.97,8.4367,108.0324
819,877.60,462.20,54.65,41.11,26.45,6.4183,63.1655
820,424.25,616.22,61.41,38.49,5.96,10.6366,74.6890
821,831.48,480.64,67.90,41.49,30.45,5.2640,98.4203
822,311.43,737.67,46.45,44.98,172.80,6.0214,49.9257
823,884.54,313.28,39.01,35.74,6.63,5.7260,27.9758
824,536.30,413.85,46.16,41.65,1.83,10.1171,45.6633
825,754.44,471.35,67.29,47.03,21.82,7.9867,109.5719
826,686.73,430.69,54.38,44.99,151.65,8.3650,68.4599
828,540.87,664.60,39.18,37.88,5.03,8.8590,29.9139
829,393.49,177.02,74.00,40.68,156.94,11.8369,114.6118
830,427.41,275.07,73.37,41.36,152.93,10.5598,114.5373
831,369.50,177.55,58.35,49.04,176.05,11.3883,85.8983
832,799.83,555.38,75.62,54.21,171.98,11.7896,159.5013
833,591.63,171.20,39.72,38.24,18.55,6.6243,31.0460
834,780.48,422.24,40.69,36.15,4.12,7.0211,30.8004
835,563.74,355.73,74.10,38.89,170.82,13.1189,109.8510
836,437.00,224.14,67.12,54.26,151.40,4.3285,125.7624
837,470.86,215.72,72.50,46.31,153.71,13.7288,125.2221
838,639.31,498.20,48.63,37.16,14.25,10.0962,45.2167
839,872.70,744.59,23.70,23.02,2.71,4.3507,6.6534
840,759.16,586.59,21.63,21.58,88.38,5.2571,5.1942
841,772.98,390.99,35.15,25.93,12.78,10.8766,16.4816
842,693.00,723.41,79.63,45.39,1.90,10.6812,148.0886
843,538.06,487.61,29.19,25.90,24.58,9.4021,11.3528
844,457.42,188.31,76.10,43.80,153.40,12.2843,130.4975
