气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,724.15,75.64,48.74,39.73,171.79,10.3183,48.5650
10,840.47,132.59,55.30,41.57,38.97,6.5969,65.4123
25,736.57,110.88,62.11,36.73,167.04,14.3898,72.9020
32,513.43,246.72,60.24,45.38,173.04,9.3065,84.7184
33,766.87,4.81,88.75,25.45,11.35,6.4050,103.1169
67,587.54,48.31,66.27,47.93,18.81,9.2364,108.3062
70,251.37,268.21,74.64,52.15,29.64,6.9642,149.4872
263,660.91,241.08,82.02,51.19,18.31,9.4744,177.1719
83,380.81,23.08,86.18,51.67,0.41,8.1673,197.4373
322,776.53,286.58,89.21,61.80,154.69,8.7583,253.0185
266,553.94,175.63,61.30,35.72,146.60,10.6740,69.0434
380,714.78,310.51,62.26,33.87,20.41,11.5800,67.5484
414,391.31,330.55,69.56,39.83,141.73,10.2836,99.1496
439,655.82,487.90,68.62,37.53,13.32,7.5864,90.9136
456,391.44,396.21,100.81,51.67,145.49,10.6142,270.1252
484,704.74,444.43,42.64,40.68,174.09,7.5231,38.0531
57,577.54,15.03,54.13,39.74,9.12,1.6918,59.9145
572,531.29,462.70,93.26,46.87,154.55,13.3676,209.6989
530,354.37,533.08,47.85,40.23,21.20,6.4088,47.3862
580,461.91,505.22,89.65,48.10,3.56,10.5574,198.8662
595,724.89,570.62,91.64,49.16,15.84,10.0528,212.3927
597,725.98,534.47,62.14,45.31,45.29,8.0113,90.0108
588,583.74,502.41,67.28,38.88,171.41,8.6481,90.5304
358,629.31,304.75,75.36,34.06,178.04,11.0497,99.5369
682,645.89,573.52,78.29,30.56,4.71,10.6014,96.3582
735,518.11,677.48,54.66,46.17,175.86,9.3659,70.9782
736,400.12,651.18,72.47,46.42,159.67,8.9119,125.4190
8,461.88,7.25,40.08,13.59,179.77,43.5610,11.2296
802,726.91,286.67,52.88,49.49,88.15,12.5982,71.1948
811,590.35,248.91,78.71,45.94,176.38,11.3741,146.4310
812,875.23,586.43,57.16,50.33,172.06,5.8275,84.5789
813,844.62,240.62,48.70,40.01,21.16,7.0421,48.8256
814,317.79,269.65,58.03,40.38,147.82,5.1194,69.9532
815,431.31,59.40,108.73,43.42,177.15,15.8680,264.0577
816,592.23,585.80,44.81,42.93,3.94,9.7897,44.3385
817,286.53,493.83,74.92,48.27,18.86,7.6793,139.3882
818,313.25,632.31,71.27,51.19,169.59,6.9523,133.7579
819,880.13,430.60,45.21,44.67,176.95,7.1409,46.9702
820,425.78,571.92,51.82,38.80,171.06,10.7169,53.5940
821,834.20,450.41,69.32,41.68,29.18,7.2241,103.0441
822,309.24,710.40,47.15,45.55,176.71,6.0459,52.0992
823,882.32,289.18,38.42,35.44,0.50,6.4192,26.9033
824,534.43,374.55,44.71,40.28,5.29,8.3013,41.4184
825,756.91,431.79,70.52,48.30,25.41,9.5683,123.5512
826,681.40,394.30,51.43,45.67,173.88,8.4745,62.1525
828,542.23,625.02,38.38,37.47,2.34,10.0145,28.3880
829,385.10,135.69,76.76,41.16,148.17,9.5963,124.7610
830,420.41,223.57,77.90,41.14,148.11,10.1338,128.4203
831,365.96,122.62,49.64,34.95,143.87,13.5684,44.2963
832,799.63,512.88,76.16,48.77,170.74,8.4209,145.5553
833,590.48,136.59,40.62,37.26,20.46,6.7230,31.6257
834,779.66,391.26,43.34,37.70,7.84,6.4853,36.4320
835,559.17,304.75,80.19,35.37,170.96,12.0811,117.0155
836,438.72,189.60,62.48,59.65,178.90,5.7205,119.7990
837,464.86,170.09,72.59,41.85,147.05,11.6529,113.4570
838,640.81,450.71,48.21,37.19,8.91,12.5026,44.4680
839,872.63,720.83,24.18,24.05,2.64,5.3902,7.2354
840,753.19,555.31,26.15,21.88,6.70,11.1772,7.7002
841,778.20,342.51,34.86,27.96,24.17,11.5783,17.4728
842,692.15,678.42,83.54,41.49,4.22,9.6158,148.9338
