气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,722.30,136.57,51.28,38.54,156.48,8.8819,52.1509
10,832.90,177.24,54.16,41.82,32.66,6.0603,63.1056
25,738.54,177.97,67.22,37.72,168.64,10.5001,87.6915
32,516.59,312.54,58.82,46.43,2.98,7.9962,82.6417
33,762.88,57.69,77.66,34.62,16.89,16.7997,107.4277
67,583.42,117.41,75.74,41.79,20.45,10.5593,123.3117
70,252.95,318.53,80.66,47.74,10.76,7.7185,159.7870
72,575.34,6.39,36.81,16.75,178.64,6.9593,11.6729
263,659.86,301.47,74.43,55.49,14.83,9.3147,158.1360
83,379.19,88.09,90.43,56.90,11.35,9.7041,239.3845
322,779.98,346.90,78.27,57.87,150.77,9.6382,182.3728
266,564.13,242.17,53.73,39.37,161.85,8.8829,58.4788
380,711.93,377.98,67.85,28.47,12.43,9.1772,67.4298
414,393.91,388.56,76.98,40.58,151.88,9.3244,123.7231
439,657.84,553.52,67.54,38.27,11.05,10.8978,89.8256
456,400.67,454.81,107.58,48.00,145.76,8.8637,285.8160
484,705.54,497.86,48.62,41.31,172.91,8.7423,50.2405
17,610.55,15.89,84.13,34.66,1.98,5.2398,126.1896
57,572.70,66.03,49.86,48.81,175.90,8.7206,62.4383
572,537.27,538.34,83.33,52.86,147.80,31.5860,188.8132
530,354.50,578.87,47.47,39.02,12.46,6.3979,45.2293
580,456.43,578.45,77.39,54.92,174.26,10.9928,169.2483
595,719.02,636.85,88.31,42.39,14.02,10.2639,170.0476
597,718.33,590.17,59.89,44.58,50.58,7.9856,82.2487
588,594.17,579.34,65.21,42.77,147.21,10.9907,93.5743
287,567.51,299.35,30.92,30.68,88.62,7.0436,15.0878
358,631.64,380.30,74.49,37.13,179.39,9.5758,105.9996
682,641.20,647.12,63.34,36.11,6.55,10.9341,74.5377
735,518.75,741.66,50.55,45.44,175.99,9.4748,59.7298
736,401.49,711.82,76.12,49.02,167.03,6.5563,146.1197
42,649.64,95.16,117.17,45.55,5.64,10.3048,321.7623
8,484.28,44.40,87.98,46.51,164.37,8.9870,185.2174
802,727.54,350.11,68.71,49.83,41.80,20.5255,121.0449
811,589.47,327.20,81.50,48.67,179.25,14.4799,166.3360
812,874.45,630.54,60.65,48.00,151.84,6.1637,90.8428
813,846.44,285.23,48.34,38.82,23.95,6.1088,46.6750
814,317.96,304.32,49.60,43.05,138.09,6.5909,54.4877
