气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,724.62,58.85,48.59,41.46,172.19,9.3506,50.3651
10,842.31,120.23,53.00,42.69,35.13,5.1108,61.6991
25,736.86,89.92,58.62,39.68,173.17,16.0151,70.1497
32,511.25,227.14,60.22,45.81,174.48,11.9471,85.4799
67,589.32,26.58,66.84,47.61,16.48,9.3266,109.4275
70,251.08,253.50,72.31,53.38,32.02,7.4231,143.5872
263,660.88,222.15,83.20,49.37,14.93,8.1290,175.8164
83,380.36,10.61,91.04,33.42,6.63,9.7868,142.4856
322,777.02,268.95,87.29,62.99,160.38,5.5786,246.9290
266,551.82,156.46,64.77,35.46,146.28,10.3631,76.5181
380,713.84,289.62,61.45,33.45,21.70,7.1778,64.9716
414,389.75,313.96,68.77,40.71,142.06,9.3306,99.0454
439,657.23,467.53,68.66,37.62,14.98,11.1541,91.2416
456,388.60,378.84,97.65,54.14,145.92,7.8843,265.5880
484,704.03,430.10,43.10,42.18,175.32,6.9570,40.3024
57,575.49,6.76,51.74,29.56,8.42,2.3964,40.6984
572,531.23,443.48,90.83,45.36,154.45,18.6637,192.5366
530,354.78,519.37,47.71,39.86,18.37,6.6926,46.6726
580,463.44,485.38,93.34,46.87,6.80,9.1173,210.0678
595,727.63,553.48,89.69,45.13,19.23,8.7473,186.7757
597,729.36,520.88,67.16,45.02,38.00,6.9616,104.4686
588,580.41,480.69,66.97,37.33,171.04,8.8552,86.1517
358,627.58,282.24,74.74,34.04,177.30,13.0905,97.8115
682,647.36,552.12,75.79,31.67,4.33,10.6393,93.5864
735,517.57,658.24,55.42,46.42,175.60,11.0340,73.3299
736,399.63,635.50,73.06,49.40,157.96,8.5643,135.6473
802,725.50,269.80,57.71,45.36,136.10,6.4120,77.7266
811,592.30,225.93,75.28,44.40,177.82,14.2742,129.4656
812,875.39,574.47,57.82,49.86,171.98,7.0850,85.7558
813,844.11,227.98,47.44,40.50,17.93,6.1323,46.8967
814,317.01,259.08,55.20,40.60,157.01,5.6539,63.6394
815,429.29,38.89,110.25,41.50,176.45,20.4189,259.4952
816,592.08,568.17,44.33,42.83,1.38,9.1517,43.2917
817,287.25,478.14,74.30,48.84,16.58,8.2605,138.7051
818,313.31,616.09,70.66,56.74,167.10,7.8049,145.7644
819,881.12,416.13,44.99,43.48,177.72,6.7624,45.2799
820,427.97,551.42,49.84,38.41,163.17,10.2164,49.0953
821,834.15,436.42,68.21,40.24,30.19,6.8828,96.3148
822,308.36,697.78,47.43,45.26,0.61,6.6471,52.3941
823,881.12,278.73,39.21,35.14,176.55,6.1839,27.7853
824,533.44,357.47,44.82,39.51,178.73,7.8916,40.8325
825,757.74,413.21,69.63,46.17,25.58,8.9390,115.1524
826,679.35,377.77,51.93,45.35,176.56,8.5019,62.9219
828,543.12,607.55,37.29,36.91,1.07,8.1612,26.4053
829,382.56,115.63,72.62,40.37,146.86,10.1629,109.5147
830,417.08,201.58,76.60,39.64,149.51,10.6127,119.6451
831,361.26,100.92,46.79,30.82,136.04,14.4118,34.7092
832,799.78,494.11,72.43,45.76,170.47,9.4723,123.4991
833,591.47,122.18,41.08,37.05,16.28,8.4945,32.1661
834,779.72,378.11,42.85,36.73,6.56,6.3762,34.6926
835,556.36,282.55,81.47,33.54,169.56,9.9884,114.5444
836,439.65,174.36,61.92,60.67,132.70,5.0631,119.6858
837,460.19,146.35,67.87,44.37,150.37,15.5957,105.1422
838,641.50,430.45,51.95,35.96,13.46,13.4344,49.9265
839,872.63,710.05,24.71,23.22,3.31,5.2215,7.2923
841,779.50,320.02,37.12,28.63,30.76,14.4574,20.2957
842,692.24,659.37,84.39,41.08,4.34,9.3245,150.4862
844,447.65,121.24,70.45,43.83,157.20,9.7030,111.9058
845,657.16,435.25,54.09,41.95,18.01,12.2015,63.1356
846,672.83,320.88,32.62,31.50,177.99,6.6473,17.2401
852,645.97,668.58,61.02,53.18,7.45,10.6730,101.8762
517,433.94,348.87,88.74,71.90,153.59,8.7917,291.2829
893,430.76,690.05,88.25,59.00,176.89,10.2206,236.3744
689,714.24,581.50,63.23,45.66,160.60,10.0663,93.9228
849,733.17,238.02,56.60,41.08,11.84,8.2638,67.7041
316,657.83,113.72,55.41,43.44,160.29,16.3544,68.6093
554,433.29,404.56,63.53,44.72,171.90,8.2290,92.8552
848,532.74,61.61,65.53,47.10,154.00,10.4982,104.0468
868,456.54,427.11,36.11,29.72,6.45,8.6922,19.9424
923,273.55,731.08,65.93,41.55,2.81,7.9125,92.9080
932,665.02,732.44,54.98,39.68,3.71,10.1525,61.7160
827,596.92,470.94,44.22,39.95,177.21,5.8399,40.1891
896,776.75,703.99,110.21,45.78,14.03,7.2766,286.0545
953,353.88,737.63,84.16,47.66,173.76,7.6907,173.6776
856,576.96,652.26,76.14,48.85,11.55,11.5566,145.6982
886,542.15,466.41,63.52,48.75,149.65,4.5007,101.2077
954,761.80,754.03,91.12,59.80,157.22,8.2714,255.4511
974,637.01,746.98,90.71,45.69,10.64,11.2620,193.4138
42,651.58,12.45,115.18,39.63,6.97,2.8173,270.4817
980,303.64,764.11,28.24,28.01,87.52,6.8326,11.4939
20,545.47,93.52,61.26,46.02,155.55,11.3216,88.8422
987,358.75,139.03,43.75,42.13,174.68,5.9384,41.4818
37,742.14,111.67,50.29,42.34,13.79,6.1168,55.0841
988,520.99,772.52,139.95,68.53,5.08,7.5937,690.5638
1000,646.53,129.18,72.16,40.29,17.85,4.6207,107.9121
1013,732.08,793.42,37.01,17.25,177.21,7.7288,12.1531
1014,568.82,239.20,32.23,29.77,0.08,9.2965,15.9063
1008,765.99,716.93,49.08,41.17,22.64,19.7272,51.0068
851,588.56,661.61,58.98,41.21,7.55,18.9555,73.7670
