气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
4,876.47,419.30,57.12,49.49,173.05,5.2441,83.0596
5,838.75,66.73,45.20,40.07,5.15,5.9988,42.1141
6,894.29,273.16,44.19,35.89,23.40,6.0929,36.0569
7,294.25,288.43,70.81,60.30,6.93,7.3263,155.5696
8,559.23,207.04,68.80,40.78,23.41,13.1608,99.3054
9,791.02,272.90,83.26,46.19,174.44,10.3932,164.7536
10,842.99,253.97,62.01,43.49,19.81,6.4748,86.0237
11,260.64,70.06,65.20,46.00,28.03,8.2242,100.6031
12,368.55,343.91,44.83,38.64,15.24,7.6279,39.9409
13,310.48,106.20,54.48,42.14,33.05,6.6331,64.3513
15,425.93,291.34,55.06,31.41,170.50,9.7009,48.9865
24,668.54,6.55,83.80,16.22,1.26,13.0862,58.6130
25,761.12,300.38,67.43,37.19,29.24,11.0525,86.9922
26,484.83,10.38,58.29,28.44,179.78,26.3682,49.7105
28,733.50,16.27,70.26,38.45,27.79,6.6745,97.6366
31,588.22,343.67,45.46,42.72,178.74,9.4120,45.4092
32,555.50,398.16,39.39,36.80,91.43,5.7884,29.3755
33,762.77,197.32,73.79,37.30,20.74,11.3026,104.4841
34,517.04,141.10,46.72,40.21,130.67,11.5526,45.1504
35,522.86,172.29,88.90,51.62,150.88,8.2852,209.8579
52,366.23,144.41,83.00,56.80,122.88,10.4621,201.3295
63,779.72,47.26,97.40,54.69,24.22,9.0327,266.8855
65,466.55,129.81,81.15,52.36,37.24,7.9873,177.3944
67,629.53,268.76,48.19,40.21,172.32,9.7290,48.0358
69,680.68,213.18,69.71,33.24,18.65,9.9811,83.1025
70,315.18,423.25,96.41,54.81,11.46,6.1017,262.0657
72,656.44,159.44,54.96,32.97,17.23,10.2262,51.2372
79,691.27,60.04,55.21,50.10,133.85,16.8130,78.5831
89,395.32,426.34,70.01,43.34,164.58,21.7135,109.2758
200,859.94,142.47,36.62,35.57,176.53,6.0834,24.5394
211,313.24,546.02,47.09,38.51,17.21,7.4910,43.9398
54,670.63,126.92,33.13,27.92,179.77,8.9500,15.7672
46,544.37,8.04,85.24,31.15,168.20,12.3193,116.4374
238,877.60,581.86,23.50,22.34,179.15,4.2938,6.3455
263,693.88,412.33,88.26,46.60,3.86,12.0138,186.7715
265,514.78,416.08,52.06,46.36,2.32,9.9275,64.6464
84,367.82,97.15,62.89,37.46,159.84,8.2347,76.2233
282,654.29,423.63,72.73,50.22,19.33,9.5588,136.6739
83,467.76,227.81,85.37,36.86,1.15,11.9965,138.1970
37,756.28,323.31,80.90,48.88,29.30,10.7741,164.5767
320,421.74,435.74,101.64,55.67,162.81,13.5822,295.8502
316,721.44,353.00,60.12,56.55,178.74,11.4656,105.1680
43,418.98,156.36,76.94,50.18,158.57,11.0199,152.8046
349,274.57,532.28,72.28,31.95,10.38,7.5832,85.8879
20,588.42,277.22,43.38,41.30,5.36,8.3276,39.9875
322,775.01,466.09,101.74,43.89,18.56,10.0262,233.7578
379,346.34,516.67,74.55,39.29,160.63,7.7734,112.3321
266,594.77,389.44,79.75,47.26,14.72,10.2193,154.6626
314,533.02,232.53,63.11,46.79,154.73,6.9240,95.8678
380,755.45,505.06,76.37,56.90,163.65,8.6331,170.7346
406,278.55,611.82,29.12,28.36,179.38,6.1889,12.3702
414,495.29,508.12,115.95,74.20,158.34,12.1289,513.2361
439,721.35,628.68,37.08,36.59,4.39,7.3315,25.8826
456,438.53,585.22,61.48,46.44,15.52,10.2572,90.3103
474,507.71,580.14,100.47,55.13,148.27,8.5937,286.3259
484,726.17,575.56,53.72,46.62,169.95,7.2922,69.2117
471,589.62,593.35,59.81,54.44,171.17,11.0771,100.1859
42,682.25,237.09,44.25,39.12,6.76,11.8565,39.4191
17,669.07,164.58,46.38,41.07,6.23,11.0114,45.4475
