气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
3,598.99,11.76,83.15,32.45,171.48,15.1402,115.4315
4,876.20,452.14,55.63,50.58,1.61,7.0449,80.5253
5,838.97,103.08,47.37,41.71,14.70,5.9645,48.1413
6,892.55,302.96,44.03,38.50,7.71,4.9985,38.3953
7,293.97,329.77,69.11,59.40,5.38,7.2693,145.9532
8,561.32,267.97,62.02,41.50,15.12,7.7254,82.1316
9,792.74,319.37,73.76,47.94,171.85,9.7345,134.1812
10,841.99,293.43,55.51,41.87,16.94,6.7663,66.3792
11,265.00,106.86,69.35,46.11,156.83,7.7638,114.0740
12,364.42,384.51,44.35,38.71,19.10,7.0733,39.1683
13,307.66,139.62,56.21,40.59,25.77,5.7417,65.9638
15,429.61,349.86,60.36,36.71,165.97,11.1190,68.8004
23,853.58,7.33,50.34,20.12,0.44,1.8342,26.2305
24,665.01,43.53,72.09,37.61,2.03,10.4821,100.5390
25,753.51,348.18,59.98,39.81,30.58,10.6357,73.6635
26,493.37,42.95,62.16,42.64,160.44,9.7710,84.7716
27,618.28,53.97,71.53,31.57,176.22,9.4983,83.1098
28,730.33,63.83,70.50,40.20,28.32,3.1600,102.8118
29,407.52,5.72,50.56,21.92,1.46,8.2246,28.8290
31,589.09,392.06,44.93,42.24,175.01,8.2220,43.8667
32,551.38,439.59,40.64,38.38,91.22,7.1192,32.6017
33,761.79,247.27,71.02,34.76,24.77,7.7673,90.1785
34,522.41,184.89,47.00,36.55,145.14,7.6285,41.5285
35,522.30,230.62,93.21,50.40,153.13,9.8254,225.2793
52,371.62,193.38,84.46,54.22,122.96,9.9935,198.9996
63,776.12,95.35,90.41,62.35,20.09,11.0570,262.2030
65,460.91,177.79,76.84,61.43,35.50,10.5353,186.6161
67,636.02,328.09,51.94,31.26,164.95,10.1385,43.3762
69,676.40,270.27,68.94,33.39,22.20,14.8673,81.6452
70,314.35,460.17,90.99,56.34,5.67,7.0164,239.9740
72,650.96,218.97,53.07,31.91,14.10,11.7559,46.2385
79,701.11,108.27,56.00,51.43,93.76,8.7629,82.9720
80,432.18,7.52,67.17,45.73,150.67,8.3936,106.1418
89,393.77,469.37,76.46,43.24,157.99,6.7358,130.0518
200,864.94,172.73,36.94,35.71,174.33,5.7338,25.0689
211,310.14,579.41,44.34,43.58,4.06,6.7046,44.0826
54,671.33,173.35,33.53,28.25,5.55,9.1633,16.3408
46,545.98,62.24,75.22,44.24,172.57,11.2180,128.7852
238,877.02,609.91,23.99,23.28,0.24,5.1399,6.8915
263,692.34,466.66,87.60,47.41,176.25,11.6683,187.1675
265,514.39,469.40,53.57,44.68,1.69,9.8630,65.9764
84,370.04,142.94,64.51,33.39,147.97,8.3222,71.4892
282,647.60,473.98,80.85,52.58,17.44,18.6413,176.8037
83,474.89,287.59,83.37,38.19,177.75,12.2957,136.5472
37,749.24,372.53,77.74,48.32,25.92,6.7279,150.2358
320,423.27,487.27,103.64,54.11,164.30,9.9457,298.9988
316,720.65,404.70,65.63,54.78,27.36,8.8182,121.3953
43,421.29,211.48,73.12,49.35,159.26,12.1928,135.7640
299,449.60,244.88,38.74,36.12,179.97,7.9461,27.8918
349,271.27,574.92,62.63,33.03,2.85,8.4057,66.6543
20,589.53,321.63,45.05,39.45,9.60,7.3380,41.1973
322,773.63,517.59,105.64,40.65,15.35,9.9551,233.4128
379,351.63,566.50,63.19,46.28,170.00,8.8652,95.0664
266,595.72,448.69,85.75,45.19,12.60,11.8108,170.9380
314,533.82,284.35,60.18,50.12,156.69,6.4900,93.3882
380,759.03,561.34,78.86,65.64,13.90,9.6522,209.9998
406,283.18,642.48,31.36,28.19,174.78,5.2284,14.2600
413,350.45,15.56,41.98,37.54,174.43,2.9877,34.0402
414,493.94,564.72,119.62,79.22,167.78,10.5238,583.1943
439,721.83,665.18,37.91,36.76,177.66,6.8037,27.1884
456,436.96,635.33,61.34,45.52,13.74,9.2454,88.1055
474,516.21,642.69,97.13,57.43,160.72,13.8023,278.7338
484,730.42,616.70,48.43,45.50,170.74,6.4243,54.9129
471,590.01,649.33,57.11,50.57,2.65,9.7970,84.8391
42,689.33,283.52,43.86,36.93,16.00,10.5473,36.5518
17,666.97,209.80,51.75,42.08,10.95,8.8203,57.9789
554,540.02,700.06,69.37,38.02,152.61,11.6307,94.1368
517,508.12,611.75,64.55,63.77,179.96,16.1839,136.7144
560,312.50,750.06,80.38,46.40,156.29,6.7925,154.2311
57,646.16,265.85,44.47,43.46,1.70,9.0033,44.2087
569,567.59,92.01,29.58,28.16,175.00,7.8162,12.6783
572,609.50,744.82,105.00,41.24,2.35,16.1156,233.8708
530,452.69,727.84,75.02,57.34,134.73,10.7425,166.0426
580,485.13,755.81,57.30,39.25,152.04,7.4992,66.2992
595,725.81,787.48,58.58,42.66,26.55,7.3508,75.3130
597,761.75,783.77,76.14,46.28,28.28,9.8316,138.0406
51,776.39,143.75,32.04,29.28,89.00,8.6085,15.4639
588,635.03,767.26,87.27,39.11,3.84,9.8070,153.2477
610,542.92,246.38,36.99,32.29,6.27,1.5522,22.7375
540,730.89,299.48,11.98,11.47,91.34,10.9638,0.8464
287,609.39,467.64,61.15,36.87,22.28,10.5431,70.9195
618,410.51,792.64,42.34,23.49,164.76,6.3058,21.6577
624,322.81,792.76,51.18,18.45,179.00,11.0226,24.8690
631,776.44,262.84,34.60,26.23,2.51,5.2530,16.1504
358,649.19,550.44,69.41,62.03,8.70,11.0759,153.7462
639,343.98,790.30,80.69,23.98,0.85,0.0000,80.3401
