气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
1,439.28,191.54,99.68,59.31,5.77,9.0854,303.1720
2,379.59,148.20,84.85,58.35,2.86,11.1733,216.1205
3,587.50,403.99,95.62,49.08,10.31,10.9512,230.8577
4,873.53,668.74,58.66,50.85,169.75,4.9151,90.0124
5,848.82,326.71,46.24,38.34,27.42,6.4934,42.1728
6,875.46,523.27,59.85,35.58,23.91,7.4392,65.5700
7,279.06,599.78,76.36,46.83,3.60,9.3299,140.4750
8,600.96,646.88,65.92,37.32,149.81,9.3273,83.4314
9,802.50,637.35,69.51,52.51,151.63,7.9441,130.5116
10,820.84,545.12,60.18,47.53,25.50,7.2178,88.5639
11,256.00,365.29,76.84,46.66,8.23,7.0332,141.7092
12,354.90,624.64,43.24,38.69,7.17,7.4198,37.2142
13,315.27,340.20,47.14,43.67,174.40,5.9104,49.9307
15,419.62,696.20,61.35,39.41,13.16,9.2270,76.3089
16,720.75,193.42,49.82,39.42,173.60,8.0520,50.3468
17,697.95,501.15,50.94,46.13,173.84,9.1932,61.5659
18,784.48,483.78,37.25,34.81,177.65,8.4109,24.8497
19,474.46,466.12,39.66,37.82,95.46,6.9937,30.5970
20,596.99,585.03,41.04,40.89,177.79,6.8382,35.4428
22,367.24,232.91,43.36,41.83,178.47,4.5357,40.4675
23,826.23,219.59,53.38,42.18,33.12,6.7495,61.8318
24,660.05,362.47,69.17,60.72,175.68,11.9938,149.4459
25,710.82,642.49,56.74,48.75,38.33,9.3240,80.7449
26,520.65,374.84,63.25,44.83,6.11,8.6417,92.2833
27,634.92,451.87,75.06,33.52,178.60,10.4681,97.1652
28,738.17,367.88,56.54,43.11,7.19,9.2158,70.9124
29,435.30,365.64,62.64,36.63,152.95,9.6744,73.9297
30,567.76,121.56,47.13,46.62,176.63,9.9512,53.2805
31,591.79,706.22,43.98,43.51,1.85,10.6419,43.3082
32,537.75,743.36,38.44,36.37,5.17,8.1595,27.6443
33,750.67,543.59,56.79,46.40,21.13,6.8047,76.9847
34,540.08,494.14,41.41,37.91,1.74,8.5603,33.4428
35,542.37,605.23,83.83,52.82,150.40,7.1331,190.9509
36,560.01,350.07,32.66,30.93,92.51,8.8008,16.9722
38,642.67,162.42,113.33,50.21,3.47,10.4870,331.7242
39,539.29,565.96,29.77,28.41,179.03,8.0366,12.9502
40,571.20,302.27,59.15,41.87,144.77,10.9259,75.3714
41,486.61,313.48,81.44,44.78,148.26,13.9029,152.8025
42,703.06,549.34,45.12,41.77,2.03,8.6212,43.7432
45,740.74,244.25,54.34,44.20,174.39,8.6472,67.1432
48,600.02,42.52,94.22,46.39,161.34,10.9760,211.8659
52,407.93,512.16,84.71,48.74,149.99,9.8465,179.9340
53,532.99,227.96,84.03,46.26,163.00,11.7891,168.0419
55,514.71,75.76,67.13,44.44,171.65,13.7107,103.0085
56,607.68,82.48,82.03,46.10,2.65,10.6546,159.6011
57,650.96,570.50,55.21,43.69,172.86,11.5755,68.5124
59,715.87,238.50,45.47,44.62,3.45,10.1578,47.4675
60,719.87,105.34,53.90,29.19,29.42,11.5916,43.6205
61,707.89,439.47,66.06,27.50,9.51,9.7470,61.7534
62,594.22,240.06,39.07,36.00,89.37,9.5404,28.2764
63,778.37,407.78,79.85,54.94,160.24,9.4251,180.2133
64,468.38,282.06,79.42,43.51,145.77,11.8914,141.2080
65,414.62,479.30,99.01,50.09,157.97,9.9792,252.6071
67,634.52,718.30,56.60,40.85,26.80,10.6650,67.3138
68,409.89,257.42,68.06,44.17,162.82,9.2955,105.2777
69,658.09,616.97,65.65,40.82,173.06,7.0624,90.5241
70,318.79,732.67,70.62,40.18,161.72,9.0922,103.0802
71,574.59,180.90,69.37,42.75,9.85,9.4431,105.8496
72,643.03,588.24,47.91,34.54,176.48,10.0132,40.7864
73,771.22,84.49,84.70,60.05,28.34,15.0296,221.6386
74,752.04,121.07,81.45,38.21,22.16,8.3050,130.4154
77,493.85,104.93,90.65,45.58,161.87,7.7532,192.6942
79,722.23,409.22,71.59,35.94,37.45,16.8066,94.7539
80,436.30,293.93,62.60,55.95,9.75,5.2182,112.7851
81,552.02,206.96,60.33,42.36,151.53,10.8709,79.3296
89,405.87,765.75,78.56,49.91,167.78,7.7323,158.4512
37,717.05,709.85,83.84,55.64,12.42,8.6498,201.2047
200,884.62,361.64,39.73,34.37,20.55,6.4007,27.9079
201,534.33,5.93,37.73,14.27,179.82,11.8159,10.4553
202,831.47,9.29,93.28,32.85,169.58,3.5714,147.0826
203,749.39,5.07,45.86,20.89,171.61,7.1927,22.6073
204,752.32,647.37,23.24,22.90,3.20,7.6778,6.3644
205,702.82,87.74,34.55,33.36,0.78,7.0721,20.4919
206,500.61,11.27,45.58,32.30,154.52,2.8574,34.5170
211,317.37,784.32,54.65,35.86,177.08,9.7032,55.1010
139,452.18,11.38,74.18,45.82,159.60,5.4153,129.6936
47,376.17,264.61,40.55,28.38,4.01,12.0728,24.0082
82,737.06,424.09,61.66,34.97,18.36,45.9541,68.3925
87,527.24,94.86,78.06,42.35,156.73,11.7636,132.7518
54,677.13,427.08,34.77,32.72,2.89,8.8362,20.3497
51,763.08,481.85,35.54,26.21,17.13,10.0883,17.0354
83,460.22,652.50,71.99,39.78,158.08,9.8780,106.0508
46,569.64,456.92,68.21,35.54,172.41,12.2604,85.0653
238,873.04,789.30,24.00,22.50,178.58,3.7853,6.6652
