气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,724.80,15.30,45.34,36.98,135.24,1.4247,39.0978
10,847.28,89.28,45.61,42.53,5.45,6.2342,45.5243
25,733.54,37.03,53.92,38.92,0.15,13.1356,58.2184
32,507.97,180.44,64.36,40.79,173.92,9.4405,86.9403
70,255.64,216.21,61.51,60.77,1.49,10.1170,118.2896
263,662.33,176.66,79.68,44.14,7.05,8.2450,144.1537
322,778.06,222.85,77.36,63.36,8.81,9.8841,195.0790
266,545.54,106.98,68.12,34.99,147.76,9.4703,83.5488
414,384.46,266.80,60.17,41.93,154.23,10.4710,78.1037
439,659.39,416.88,68.82,35.01,14.91,12.5428,85.3213
456,386.98,333.23,95.58,56.07,138.51,8.9054,263.5052
484,702.63,392.79,44.96,39.65,8.67,7.7871,41.2347
572,531.39,390.48,90.17,49.16,151.99,10.4466,205.6375
530,355.92,485.06,49.52,38.55,28.10,8.0507,48.6478
580,465.46,436.95,95.15,40.39,8.91,9.3680,188.1526
595,733.48,507.31,92.38,50.84,20.66,8.3690,223.2419
597,736.25,477.11,62.37,41.32,27.85,9.6691,82.6814
588,571.11,427.48,62.96,36.81,175.18,9.1239,75.0701
358,622.89,221.31,75.07,32.29,176.28,10.3011,93.6312
682,650.03,492.50,62.18,33.90,177.67,12.7501,67.4142
735,516.71,609.72,58.24,44.30,160.69,9.3625,77.3046
736,399.29,591.38,69.40,49.06,159.31,8.8152,121.5725
802,722.01,232.75,60.39,48.44,159.06,4.5681,90.8695
811,589.61,167.28,70.83,39.58,0.63,11.3747,102.1677
812,875.38,543.84,58.38,49.82,170.52,6.4195,87.3606
813,842.20,195.01,50.34,42.14,17.22,4.3548,54.9452
814,311.73,229.86,47.43,43.52,171.84,6.8572,50.3780
816,591.59,522.45,44.76,42.31,175.18,7.8319,43.6111
817,288.97,437.67,69.36,50.73,5.73,7.5268,125.5631
818,314.37,573.18,74.49,57.55,167.14,7.6901,164.2709
819,884.82,385.60,44.32,42.16,174.89,5.8355,42.6010
820,428.99,500.08,50.39,37.16,163.13,10.4326,48.5403
821,835.42,401.28,68.05,40.18,25.90,6.6455,95.7182
822,306.25,666.62,52.44,43.19,173.66,5.4854,61.0902
823,878.40,251.58,38.00,34.77,174.58,6.3771,25.8340
824,530.08,311.84,46.22,40.97,146.58,7.7192,45.0340
825,758.75,369.93,68.08,42.16,22.76,7.3068,100.5419
826,674.27,335.07,52.58,44.46,175.95,8.7129,63.2358
828,544.82,562.01,37.80,36.23,2.20,8.0460,26.6327
829,372.64,67.13,72.32,41.49,141.14,9.0649,111.6566
830,415.03,149.24,72.76,39.65,153.35,11.0199,107.9718
831,353.22,53.36,46.55,32.41,106.39,8.4511,36.1361
832,798.01,452.38,59.04,39.57,176.15,8.3944,70.9568
833,592.43,82.47,43.04,37.07,23.04,8.0847,35.3354
834,779.39,346.94,40.80,39.14,177.07,5.8517,33.5169
835,553.92,226.48,75.21,33.53,169.61,12.9115,97.5535
836,441.26,127.28,58.89,57.30,110.79,14.8219,102.2267
837,451.07,91.49,69.14,41.57,143.21,7.5836,102.2476
838,641.49,377.15,52.77,32.31,13.56,12.3642,46.2859
839,873.73,684.13,24.04,23.24,1.44,6.8862,6.9129
841,781.51,263.30,38.34,26.26,9.87,11.1913,19.8560
842,690.61,610.46,85.54,41.96,1.27,11.6047,157.9531
844,444.62,69.60,76.76,40.18,166.33,8.4907,121.7963
846,672.47,285.12,32.44,30.73,179.37,6.8206,16.6333
852,645.55,617.93,60.08,54.63,179.63,9.3112,101.4531
517,439.24,308.15,85.85,69.46,148.60,2.1911,263.3604
893,428.37,637.52,89.56,61.49,1.87,11.0636,253.7376
689,715.42,532.96,68.02,44.27,176.66,6.4273,105.3654
849,731.97,192.74,62.54,41.05,18.63,6.9075,82.5862
316,655.74,64.12,69.84,48.54,142.33,8.4788,121.7927
554,428.49,354.22,62.92,45.59,155.64,9.2341,92.8644
848,530.24,12.79,73.89,44.68,168.63,1.2572,125.5006
868,452.88,377.92,34.31,30.78,0.10,9.4225,18.6365
923,267.97,694.72,57.44,39.76,6.40,8.4803,67.4978
932,666.38,686.17,49.70,44.64,179.58,8.1634,56.7186
827,595.45,435.85,43.13,39.49,178.29,7.4374,37.8002
896,773.36,657.82,108.04,43.08,11.97,10.7858,258.6841
953,353.05,696.63,75.94,50.25,172.09,8.1551,149.0732
856,579.21,597.27,84.41,48.59,10.43,12.7875,178.0824
886,537.65,421.73,53.47,48.68,2.43,12.0815,71.6159
954,762.30,700.14,85.28,61.06,153.09,15.9697,228.4903
974,638.64,694.79,81.65,45.71,7.60,9.4974,156.7670
980,298.99,729.48,30.77,28.23,173.00,6.9077,13.7551
20,538.84,51.99,54.77,48.70,9.60,9.3029,75.1424
987,355.61,107.10,42.28,40.31,175.11,6.5462,37.0749
37,748.41,67.12,49.92,42.17,23.82,9.7547,54.0539
988,513.16,722.85,131.88,81.34,3.18,11.3936,727.8623
1000,655.90,88.28,68.68,38.90,7.52,8.3399,94.4100
1013,730.92,768.55,36.04,34.71,177.99,6.5810,23.1983
1014,570.12,198.08,32.35,32.12,179.67,8.2828,17.2936
1030,433.17,770.99,62.12,44.91,8.91,6.9697,89.1354
851,591.41,615.70,53.05,37.89,18.85,4.2512,54.8632
1048,529.47,764.06,73.85,52.11,146.53,14.5857,146.1783
845,653.24,392.68,49.67,45.05,16.94,5.1422,57.1852
1058,747.83,728.91,43.86,40.27,176.20,8.8948,39.8455
1071,530.64,786.26,93.53,41.33,5.89,10.7123,185.9910
815,417.29,4.22,97.25,24.09,178.41,4.6247,117.2118
1045,595.19,785.03,63.92,39.71,171.13,4.4927,83.4613
1033,726.92,411.68,12.29,10.80,95.74,2.5605,0.8396
