气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,720.11,169.32,50.55,37.93,159.41,7.7196,49.8656
10,829.82,202.77,52.17,41.81,29.24,7.4490,58.5360
25,740.42,217.16,65.22,39.04,168.00,11.4930,85.4368
32,520.35,350.27,59.80,46.82,6.12,11.9612,86.1331
33,757.75,96.54,75.30,36.07,18.47,7.5211,105.2168
35,518.87,55.28,68.34,50.79,168.71,18.8373,122.0536
67,580.29,154.05,75.80,40.37,16.44,8.7756,119.3295
70,254.23,346.55,78.74,45.41,10.32,6.3374,144.8527
72,598.88,16.38,98.45,45.86,158.94,8.1351,228.6553
263,661.25,339.49,68.44,61.32,3.72,8.8258,147.7714
83,377.38,124.60,85.82,56.87,8.08,10.1641,215.4879
37,721.04,214.50,47.37,42.36,1.31,10.2799,48.8913
20,551.35,185.07,53.78,47.28,3.49,8.2007,70.3437
322,780.63,380.98,75.35,53.56,151.88,17.6978,156.4610
266,568.86,278.34,56.00,39.97,151.73,9.5247,64.4829
380,708.86,414.06,65.76,26.92,10.08,9.9117,59.8904
414,395.83,421.74,69.55,40.86,155.72,14.0459,101.6827
439,656.77,592.38,67.91,41.62,4.22,8.9063,98.7542
456,405.85,486.79,96.88,45.42,146.06,13.3541,219.2796
484,704.17,528.98,45.37,41.67,0.99,9.1837,44.1310
17,609.70,55.05,84.19,45.45,1.20,9.2417,165.7636
554,441.36,536.06,65.70,54.21,164.93,11.4888,120.4046
57,569.52,98.14,49.02,47.64,87.62,10.6166,58.8931
572,539.73,576.26,83.85,51.75,145.48,16.4472,187.1746
530,354.28,606.33,44.25,37.80,14.49,8.7631,38.0761
580,457.74,617.44,71.39,58.24,176.49,17.4170,152.7115
595,719.51,676.68,84.21,45.49,15.85,31.7650,165.9695
597,713.13,620.63,57.17,46.61,46.48,7.7588,78.3891
588,598.43,621.00,63.32,39.26,150.28,10.3556,80.9836
287,562.50,329.20,31.88,28.95,91.05,7.7361,15.1334
358,634.49,423.92,72.64,37.35,177.97,12.0821,101.3890
682,637.62,689.19,55.46,39.29,14.33,10.1798,62.1729
735,520.01,777.97,46.97,45.80,177.93,6.9689,51.9898
736,404.08,743.43,78.26,50.86,167.81,7.1147,160.2439
42,645.58,134.82,116.31,45.91,4.20,8.2646,319.5467
8,488.74,80.30,89.68,43.40,164.86,9.8650,179.5490
802,726.22,388.64,85.84,47.10,35.57,9.9881,178.5182
811,588.11,373.04,91.85,47.40,6.30,10.5352,205.7509
812,873.88,652.88,61.30,48.51,157.68,5.6477,93.7968
813,847.07,309.95,46.57,38.15,26.37,5.5775,42.5724
814,316.49,325.02,45.33,43.93,176.88,4.6786,46.4348
815,437.50,165.27,100.28,54.92,5.97,11.4186,284.1201
816,591.78,682.28,44.07,43.15,6.15,9.2852,43.1261
817,280.18,578.29,76.17,48.30,6.86,7.0976,144.1535
818,318.33,712.61,73.74,39.50,166.35,7.1871,110.5038
819,875.95,504.90,60.07,34.78,26.32,6.9958,64.5541
820,422.00,672.43,66.26,36.43,11.49,7.7139,82.2828
821,823.94,525.62,64.66,46.28,30.66,7.1271,99.5563
822,314.20,773.18,53.19,42.58,152.32,6.2770,61.9838
823,884.57,347.00,37.30,35.00,4.51,4.4677,25.0601
824,539.22,470.57,44.59,38.88,8.87,9.7337,39.7751
825,752.02,522.63,59.30,45.73,19.34,7.7248,82.7417
826,694.67,480.44,54.87,44.38,152.05,8.4626,68.7315
827,597.70,564.69,44.21,42.47,175.51,7.3671,42.7063
828,538.79,720.24,37.60,37.44,0.92,9.3173,27.2368
829,405.21,233.79,72.28,44.35,163.38,9.0258,119.2050
830,435.02,339.07,58.75,39.83,150.14,9.5058,70.7325
831,366.38,217.87,44.56,43.75,2.62,5.8293,44.6822
832,802.53,615.75,71.86,52.96,156.54,10.1957,140.6989
833,593.59,219.01,38.44,36.91,93.77,8.2359,28.0552
834,783.05,466.58,38.59,35.36,3.81,6.3866,27.0862
835,568.61,426.27,68.34,35.79,169.27,11.5799,85.9988
836,438.43,273.32,62.21,57.66,178.42,9.9091,114.8199
837,481.67,283.26,77.29,43.98,145.30,13.0408,135.1500
838,642.39,561.57,51.20,35.44,5.86,10.1458,47.7891
839,872.73,775.92,25.33,23.87,1.78,4.9151,7.8795
840,755.15,629.43,22.51,22.13,89.28,8.1354,5.7651
841,765.46,455.27,34.01,25.23,23.39,10.8301,15.0151
842,693.06,781.48,76.02,46.85,175.21,3.3319,139.2683
