气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,722.39,128.90,50.73,38.49,157.81,9.7246,50.9472
10,834.06,171.62,53.37,43.10,36.23,6.5804,63.1606
25,737.68,169.50,65.37,39.69,171.24,15.5375,87.2547
32,515.96,303.70,58.73,46.07,4.26,9.7726,81.7676
33,764.10,48.47,78.26,35.38,15.87,16.4971,111.4818
67,584.35,108.60,72.84,43.18,19.05,9.6096,117.8898
70,252.56,312.66,79.32,48.15,11.13,6.0826,155.8700
263,659.96,293.96,77.52,54.92,18.48,8.7141,169.8020
83,379.04,79.66,91.84,59.53,14.51,7.4660,258.3060
322,779.21,338.89,81.95,57.81,147.06,17.5332,199.7163
266,563.17,233.53,54.95,39.82,164.20,9.8046,61.8616
380,713.62,370.10,67.07,28.42,13.66,8.9881,65.7768
414,393.31,380.42,75.31,38.16,151.68,13.1316,111.3513
439,657.91,545.56,67.23,38.05,7.60,10.0527,88.4776
456,396.41,448.76,103.23,47.84,143.28,8.8701,262.2422
484,705.35,490.84,50.42,41.58,163.97,11.7638,54.3845
17,610.18,11.14,81.49,27.48,2.03,5.7702,93.8778
57,573.37,58.25,50.39,48.51,177.96,9.8497,63.3579
572,535.73,529.89,86.19,52.62,147.78,9.0313,201.1065
530,354.25,573.28,47.97,39.12,17.03,6.7004,46.3018
580,456.90,569.94,78.82,54.61,176.68,11.5149,174.5154
595,718.38,630.24,88.74,43.62,14.33,8.1437,176.7546
597,719.12,582.51,61.84,44.87,53.17,8.4059,88.2870
588,593.18,569.15,62.16,42.10,151.28,10.9491,83.6941
287,568.16,293.49,31.80,31.07,0.93,8.8085,16.1642
358,631.72,370.67,72.82,35.14,178.27,9.2308,95.8658
682,641.71,637.53,66.07,36.58,4.10,11.0041,82.1439
735,518.84,733.67,52.04,45.06,176.53,9.3306,62.7728
736,401.90,703.74,75.36,48.46,168.27,7.4392,141.6104
42,650.28,86.90,118.03,45.22,5.76,9.4835,324.1080
8,483.81,36.73,88.18,47.89,163.87,9.3063,191.5925
802,726.27,340.71,64.09,50.83,42.17,6.1641,107.4067
811,591.38,316.88,83.17,48.60,179.39,14.4506,172.9336
812,874.48,625.02,60.35,49.47,152.34,9.2870,92.7087
813,846.02,279.03,49.63,39.28,23.65,6.5223,49.7776
814,317.73,299.79,51.76,42.09,143.12,4.6642,58.0164
815,435.54,118.14,104.85,47.42,5.93,8.9140,268.1918
816,591.77,639.65,43.89,43.15,1.27,7.8990,42.7499
817,283.28,540.64,76.91,49.24,11.88,8.6580,149.8599
818,313.80,679.41,72.08,36.77,172.52,9.4174,98.2961
819,876.90,472.33,55.83,38.85,29.12,7.2426,62.3032
820,424.11,629.56,64.90,37.57,8.65,7.7964,81.4065
821,829.65,491.08,67.20,41.55,31.84,7.5889,96.5220
822,311.90,746.49,47.97,45.97,171.92,5.7102,54.4177
823,884.65,321.50,37.99,35.75,2.13,5.5928,26.5400
824,537.30,427.47,46.33,40.66,1.82,10.2153,44.8993
825,753.96,484.21,66.37,46.63,19.61,8.3065,105.6747
826,689.19,443.27,55.54,44.42,148.32,7.9264,70.4970
828,540.25,678.08,39.28,37.78,4.67,8.7170,29.9854
829,398.72,191.85,72.77,40.51,156.31,9.3647,110.3511
830,429.33,290.92,68.47,41.46,152.35,9.8040,99.9938
831,365.22,188.38,49.47,45.76,176.88,8.4935,57.6075
832,800.95,571.31,75.62,56.32,165.19,10.3251,165.6911
833,592.18,182.34,40.46,38.07,15.08,8.2105,32.0575
834,780.56,433.08,39.73,35.99,5.51,8.4343,29.2262
835,564.66,372.56,71.05,38.22,170.83,11.3652,99.2543
836,434.29,234.57,66.08,53.43,130.07,10.8452,119.9982
837,473.28,232.50,78.67,46.34,149.52,9.4335,147.5298
838,639.91,514.20,48.90,35.80,14.56,10.7931,44.0438
839,872.78,752.42,23.76,22.88,1.37,4.6684,6.6456
840,758.57,596.65,22.05,21.95,0.27,6.8214,5.4921
841,771.03,406.72,36.80,26.37,19.95,9.2787,18.3677
842,693.24,737.65,78.96,45.23,1.66,11.8503,145.0824
843,538.64,502.78,31.25,28.22,179.37,9.2481,14.1779
844,459.16,202.69,75.15,41.37,153.08,12.8850,120.1891
845,655.73,504.32,52.58,43.17,11.81,8.0210,61.3994
846,674.85,376.03,32.18,31.95,0.14,7.4809,17.0237
852,647.54,744.89,61.04,55.02,173.26,9.7412,105.4542
517,426.58,411.53,93.61,58.62,169.74,10.5681,264.3000
893,435.20,767.80,96.24,66.13,152.95,4.8462,315.1077
35,519.25,18.65,73.65,62.00,122.89,16.6271,173.0307
689,711.66,654.93,53.43,44.72,10.33,11.4685,65.6883
849,735.10,304.68,55.97,41.12,2.73,5.8055,66.2775
847,710.92,38.14,37.02,35.60,94.51,10.5083,25.0975
316,656.93,203.49,80.34,40.42,0.24,8.8432,134.2302
554,439.13,484.04,60.88,53.87,1.67,9.7436,102.7117
848,528.53,151.25,67.90,51.47,171.35,12.0917,122.0602
868,460.34,502.30,31.87,29.53,175.46,6.8039,15.4322
923,276.96,792.19,63.80,44.85,151.86,6.2905,93.9097
932,665.32,795.79,48.06,23.50,14.90,7.3206,27.9257
20,550.10,152.28,55.92,50.82,179.30,9.2023,81.7559
827,597.06,529.06,41.76,41.56,179.48,5.2321,37.2952
853,731.96,42.78,65.70,38.96,17.59,9.0334,86.5229
896,778.13,778.72,111.55,52.63,18.14,14.1877,336.9201
850,784.76,29.67,66.29,50.10,23.54,8.0689,113.2747
851,582.72,742.18,69.80,44.36,10.98,51.9787,111.2006
37,732.58,182.05,48.07,38.24,176.79,30.2717,45.4685
