气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
9,721.68,143.04,51.47,37.54,157.57,7.6010,51.1757
10,832.70,181.69,52.95,42.30,33.66,6.8365,61.0112
25,739.50,185.05,67.39,38.40,168.32,8.0359,89.7253
32,517.21,319.57,59.76,46.92,4.96,10.2758,86.2145
33,762.25,65.49,74.44,34.90,17.26,11.5821,99.4847
67,583.77,124.76,73.48,41.36,19.78,9.8169,114.8814
70,253.39,324.58,79.34,46.53,11.47,7.1883,150.6814
72,580.79,7.23,54.86,22.89,1.47,26.2296,35.4436
263,660.67,308.48,73.47,57.38,18.83,7.5145,159.3249
83,378.00,94.97,89.62,57.46,12.44,8.8152,237.4236
322,781.71,353.04,74.34,55.49,147.80,8.3515,157.7618
266,564.94,249.38,55.23,39.53,160.84,9.8750,62.0324
380,712.10,385.34,66.90,28.63,11.60,9.9276,65.9237
414,395.35,394.76,74.18,44.24,151.86,11.6950,125.2280
439,657.82,561.00,68.14,39.03,10.17,9.7611,93.2299
456,399.99,463.53,102.08,46.64,144.50,8.1489,250.0279
484,705.07,504.00,48.13,42.40,175.20,7.3848,50.5243
17,611.39,21.26,83.34,41.43,1.94,14.1286,148.0353
57,572.39,72.17,49.46,47.93,175.38,7.9645,60.3303
572,536.38,547.30,85.16,52.73,147.50,17.0198,196.7608
530,354.54,584.30,46.42,39.12,13.84,7.1424,43.3572
580,456.10,586.03,75.07,55.10,172.04,10.0112,159.7531
595,718.42,644.78,86.91,42.41,14.43,8.9750,164.7818
597,716.81,595.61,59.69,43.01,47.77,8.6388,78.8544
588,594.88,586.77,64.71,41.77,148.36,13.1445,89.9735
287,566.38,305.22,31.27,29.82,89.65,7.0308,14.9992
358,632.24,388.62,72.82,36.46,178.17,10.4288,99.4810
682,640.61,655.11,61.76,36.69,6.33,11.5020,71.9893
735,519.68,748.02,51.77,46.07,172.83,9.5688,63.5107
736,402.41,717.45,74.12,49.76,168.04,9.9701,140.6352
42,648.45,103.15,116.06,46.35,3.94,9.8040,321.2278
