气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,552.80,432.54,41.95,38.12,90.00,8.2127,34.5107,overlap
2,875.72,446.94,56.97,51.86,1.69,5.8272,86.5824,single
3,730.12,58.73,72.54,43.83,32.72,8.1511,118.6423,overlap
5,307.16,134.53,54.97,40.82,26.68,6.3089,63.4532,single
8,853.44,-0.14,43.94,29.02,177.40,5.2096,28.8293,single
10,760.68,240.83,71.57,36.20,27.68,9.0201,95.3830,overlap
11,842.64,286.80,57.03,42.34,15.74,7.8856,70.8331,single
13,491.90,34.59,62.06,45.39,163.48,8.5033,89.9427,overlap
16,893.48,298.40,45.03,37.82,4.58,5.2403,39.4559,single
17,665.48,203.91,55.56,42.55,9.64,5.6849,67.5768,overlap
18,349.95,8.76,43.28,41.30,0.70,5.3258,39.7889,single
20,293.84,323.41,69.64,59.86,5.26,7.4936,149.3258,single
21,588.68,314.63,43.92,40.49,4.74,7.2915,40.1818,single
22,597.67,1.38,85.08,32.25,177.94,6.8795,120.1173,single
24,777.36,88.65,90.31,59.37,24.64,9.2404,249.1179,overlap
26,521.62,220.71,96.07,51.13,153.78,9.4892,242.7668,overlap
27,840.03,97.82,48.74,42.91,19.57,5.6025,52.4438,single
29,428.45,340.74,59.30,37.27,170.98,9.1858,67.4210,single
30,364.41,378.48,45.27,39.38,17.83,6.0231,41.5176,single
31,421.12,202.75,74.11,51.10,158.19,12.8833,144.4048,overlap
32,790.18,312.48,78.66,48.62,172.78,8.4594,154.7566,overlap
34,372.28,183.14,87.84,58.74,112.61,13.5880,233.1749,overlap
36,460.59,170.58,75.37,60.51,39.84,8.5166,176.8269,overlap
37,521.91,177.55,45.63,38.47,157.78,9.9827,41.1956,overlap
40,264.23,101.20,68.39,48.78,162.76,7.2428,117.3674,single
46,754.69,339.33,56.80,38.36,35.92,6.0470,63.6660,overlap
52,313.26,454.06,90.99,57.23,6.76,8.1455,243.7247,single
54,670.44,165.83,33.91,29.00,179.34,8.6362,17.1565,single
55,544.44,53.79,74.18,45.37,175.30,9.7052,128.4474,overlap
59,618.35,43.34,74.15,34.72,174.46,11.6462,98.2116,overlap
63,775.16,136.24,32.89,30.66,87.08,7.2258,17.0624,single
65,674.83,260.36,67.00,32.42,24.08,8.8885,74.8800,overlap
66,562.45,258.57,62.23,40.10,19.23,11.5681,79.8821,overlap
74,426.64,1.29,63.22,47.26,158.77,7.9958,97.1772,overlap
75,652.67,209.33,55.49,32.73,13.58,12.2136,51.8508,overlap
82,698.17,103.19,61.25,47.49,117.78,7.9177,91.6684,overlap
87,392.92,463.11,74.67,47.36,158.31,7.9413,135.8338,overlap
160,863.62,167.75,39.03,36.34,172.19,6.0075,28.4877,single
185,310.70,573.75,46.39,43.53,1.82,5.8804,48.1812,overlap
198,876.91,605.41,24.38,24.26,91.23,4.5789,7.4201,single
213,694.22,458.51,88.01,47.50,0.21,11.0555,189.3002,overlap
86,474.78,276.83,88.44,40.48,178.70,13.3846,162.8948,overlap
221,653.26,467.94,65.00,51.53,9.76,13.5607,112.0293,overlap
230,422.89,478.59,100.73,53.56,163.37,9.1951,279.6006,overlap
233,720.58,396.41,62.23,57.47,9.56,12.3518,114.4947,overlap
15,748.68,366.10,79.34,47.37,21.42,7.7776,153.4063,overlap
77,370.46,136.61,64.17,37.72,147.81,10.9902,79.8940,overlap
261,271.25,568.18,65.90,34.41,6.31,7.1841,76.8911,overlap
247,534.77,273.85,65.16,53.04,161.41,11.4552,115.8666,overlap
51,636.29,319.10,51.53,32.26,171.18,12.9891,44.0642,single
42,588.82,385.01,45.59,43.33,177.82,8.7367,46.3339,single
267,349.93,557.45,66.39,44.98,170.55,9.0911,102.0121,overlap
246,772.50,508.89,101.89,41.89,16.56,12.9010,223.7473,overlap
282,650.10,541.02,69.19,61.54,22.60,9.0840,151.5462,overlap
284,282.08,637.44,32.77,29.08,169.82,5.1272,16.0658,single
274,758.32,552.89,78.86,67.51,15.84,8.5485,215.9627,overlap
215,594.15,439.34,83.19,47.14,12.49,8.7266,167.8409,overlap
224,610.40,460.92,58.55,35.69,23.16,7.7580,62.9512,overlap
321,721.32,659.30,39.42,37.60,176.35,6.3222,30.0660,single
329,436.59,627.45,62.40,47.23,20.71,10.5064,94.6141,single
209,514.61,461.05,53.98,44.38,5.50,11.1372,66.5234,single
64,646.74,257.70,47.10,44.06,179.01,8.7191,50.2892,overlap
278,491.71,556.03,122.41,78.50,167.16,20.3605,605.1356,overlap
338,728.91,609.98,51.65,47.18,164.14,7.1677,64.7549,single
350,514.46,634.20,98.36,55.55,160.39,13.8047,276.5171,overlap
345,590.33,641.02,59.29,50.96,173.65,8.3270,92.1498,single
373,451.60,718.95,73.79,58.55,141.88,12.0295,163.9907,overlap
374,538.36,690.33,67.80,39.23,154.07,13.0788,92.7570,single
333,510.91,604.36,70.33,60.72,176.69,14.4614,154.5101,overlap
38,664.08,36.04,75.88,37.73,179.03,10.2060,111.7553,overlap
383,312.27,742.80,79.45,47.43,155.96,9.2933,154.0025,single
314,567.20,85.08,31.41,27.77,169.34,7.3055,14.0912,single
387,609.49,735.69,106.08,47.97,178.34,29.1155,277.7414,overlap
392,483.42,747.64,57.34,42.13,154.27,8.6954,71.2697,overlap
401,632.31,758.75,90.05,39.90,0.25,9.8665,166.4796,overlap
404,762.37,776.85,73.70,42.01,29.44,9.9673,117.3684,overlap
406,729.56,779.93,66.42,44.54,27.22,12.3601,101.0737,overlap
6,687.72,277.97,46.34,32.94,16.76,9.8253,36.3829,overlap
421,409.36,784.72,43.62,26.06,166.38,8.7784,25.5074,single
427,341.28,795.65,81.79,33.74,178.13,8.5058,116.1173,overlap
318,729.18,292.54,13.08,12.76,6.40,6.0183,1.1237,single
33,778.40,256.07,37.94,31.58,5.90,9.4025,23.3861,overlap
430,340.37,795.31,85.06,33.83,0.90,9.4668,125.9399,single
85,449.02,237.50,39.65,36.97,2.06,9.7658,29.9033,single
