气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,544.70,570.15,38.87,37.31,4.23,7.7037,29.0000,single
2,875.27,548.96,59.84,50.54,166.97,5.7984,93.1205,single
3,731.94,199.77,60.55,41.61,20.56,8.5777,78.4734,overlap
5,312.40,235.32,49.20,44.09,173.32,6.7755,54.9167,single
6,701.91,399.28,44.23,41.55,177.88,7.3658,41.8271,single
8,846.96,94.80,47.51,43.77,6.75,6.9932,50.8330,single
9,421.07,4.25,112.75,35.24,178.43,29.6738,230.4553,overlap
10,758.57,377.71,68.25,43.83,25.29,7.9680,105.0400,overlap
11,834.23,406.70,66.24,40.79,29.06,8.2568,92.0650,single
12,724.90,23.95,47.46,42.15,161.42,6.4707,48.8549,overlap
13,507.96,188.04,62.90,43.04,177.27,9.2019,87.6242,single
16,884.03,390.61,47.03,42.42,159.13,5.3811,48.2762,single
17,674.98,342.69,53.65,45.41,177.72,8.0348,67.2477,single
18,356.49,113.06,43.88,40.98,168.79,5.7191,40.5935,overlap
19,592.25,89.80,42.82,38.02,12.34,6.9873,35.8680,single
20,289.20,444.57,69.81,51.22,9.20,9.6769,128.4069,single
21,594.78,441.12,48.95,42.00,179.16,6.7444,51.7866,overlap
22,589.27,177.35,73.53,39.79,1.33,12.5161,110.6797,overlap
23,415.10,159.16,77.88,40.47,150.59,11.0387,126.2550,overlap
24,781.06,229.80,75.54,63.55,7.11,16.2172,186.5351,overlap
26,530.13,399.14,86.82,51.20,151.22,8.3989,198.5676,overlap
27,842.43,201.30,50.16,43.31,23.24,6.7838,56.0609,single
29,429.58,508.88,47.43,38.82,165.50,11.9979,44.9289,single
30,355.98,491.18,51.14,39.65,27.72,6.3305,53.3404,single
31,429.79,364.10,63.54,46.09,159.40,6.3747,95.7451,overlap
32,798.60,459.97,62.71,39.44,177.13,5.8942,79.8096,single
33,779.19,351.47,42.30,39.01,176.61,5.6349,35.9101,overlap
34,388.53,339.65,99.73,54.88,139.55,9.0932,280.8091,overlap
36,436.20,314.43,84.94,69.94,163.04,6.0733,259.5755,overlap
37,531.14,319.92,48.84,41.27,157.87,8.7525,50.6370,single
38,662.50,184.86,80.56,45.91,10.38,9.8112,153.2795,single
40,254.75,222.66,63.13,61.58,3.98,8.7402,126.2474,single
46,735.59,484.25,59.77,43.11,31.06,9.7641,79.2348,overlap
47,734.23,47.47,58.30,38.61,11.81,11.5273,67.5032,overlap
49,546.40,116.35,66.93,35.40,148.31,8.4455,81.5829,single
52,314.01,580.46,72.36,58.50,168.50,9.3122,157.5682,single
54,671.69,291.35,32.58,31.52,178.79,7.2106,17.2074,single
55,554.94,236.10,76.93,35.35,170.44,11.1885,107.6122,overlap
