气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,539.11,710.38,38.42,37.94,2.88,9.8174,28.8031,single
2,873.72,646.82,61.41,50.94,156.03,6.2594,98.8294,single
3,736.67,336.19,56.22,43.43,4.65,8.5157,70.6324,single
5,316.95,318.63,46.65,44.46,173.81,5.4437,49.7747,single
6,703.96,519.56,46.04,42.22,0.89,7.5580,46.0380,overlap
8,829.72,195.50,54.34,43.26,29.90,5.8419,65.7137,single
9,435.49,154.09,102.57,52.86,8.12,8.8425,286.1040,overlap
10,752.63,513.93,61.10,47.41,14.68,7.0316,91.0690,overlap
11,825.16,517.74,64.95,45.30,32.83,6.9198,98.3319,single
12,721.11,160.15,51.06,38.79,153.46,7.9906,52.0205,single
13,518.15,338.37,59.86,47.92,11.08,10.6230,88.3248,single
16,876.92,497.00,59.61,37.51,23.35,7.0143,68.5697,single
17,693.09,472.09,55.20,45.86,154.36,8.6599,71.8924,single
18,364.91,211.15,44.13,44.03,2.69,6.8837,44.1052,overlap
19,593.23,210.52,39.24,37.45,93.46,9.4059,29.6662,single
20,280.45,569.63,78.29,49.24,9.84,8.4441,155.2942,single
21,597.23,556.22,42.33,41.66,175.63,7.0533,38.4059,overlap
22,588.24,359.40,91.17,46.64,2.30,10.3620,199.4335,single
23,433.67,328.40,59.84,41.08,153.25,9.1099,75.6591,single
24,781.23,371.47,74.16,56.73,145.76,8.3829,160.5089,overlap
25,564.41,320.33,32.94,30.40,88.97,8.1968,16.9669,single
26,538.66,567.70,86.38,51.60,147.62,18.3661,198.0518,overlap
27,846.41,302.70,47.78,39.12,19.67,8.2330,45.9539,single
29,423.07,662.71,65.93,36.06,11.40,8.2475,80.6339,single
30,354.54,597.88,45.55,38.90,12.39,7.6816,41.5172,single
31,440.39,523.28,62.16,55.29,176.90,11.1678,109.9045,overlap
32,802.29,606.06,72.23,55.69,161.27,10.0380,149.4785,single
33,782.04,458.37,40.33,34.95,6.41,10.3237,29.2407,overlap
34,403.52,478.99,96.36,45.02,143.07,7.7916,215.0531,overlap
36,462.65,441.66,60.38,38.93,4.12,7.7108,73.0269,overlap
37,538.95,460.55,46.49,39.82,8.78,8.6644,44.2710,single
38,660.74,327.49,70.47,61.22,15.94,9.9285,156.3730,single
39,597.91,8.17,97.20,41.90,160.85,9.7231,203.6434,overlap
40,254.88,339.17,79.37,47.73,11.82,7.0299,154.7141,single
42,591.61,672.86,43.86,43.28,1.52,8.9548,42.8208,single
44,724.66,74.61,47.73,34.41,18.49,11.5047,40.3400,overlap
45,644.97,124.18,112.83,46.59,5.99,13.1419,305.1442,single
46,715.03,612.57,61.00,46.93,43.72,8.9075,89.8550,single
47,739.96,206.28,64.37,41.77,171.08,12.8291,89.0473,overlap
49,567.17,268.37,53.35,39.92,154.41,10.2600,58.4541,single
51,640.57,676.89,56.65,40.28,11.70,11.1408,66.5014,single
52,315.27,707.39,71.86,37.76,169.76,6.4869,100.3223,single
53,723.22,206.13,48.77,44.64,179.79,7.3854,54.6312,overlap
54,677.07,400.12,35.63,32.28,177.89,8.5468,21.0815,overlap
55,565.36,414.21,68.05,38.19,170.01,11.4972,90.9813,overlap
56,656.78,239.98,93.41,41.39,179.04,20.7342,185.8156,overlap
57,759.50,85.91,77.44,34.34,17.85,11.0613,105.9526,overlap
58,709.17,403.73,64.80,27.90,14.58,8.9206,60.2795,overlap
59,632.80,410.95,74.18,37.21,179.06,10.7438,105.3154,overlap
60,480.68,271.06,78.40,44.27,145.65,8.8904,140.0083,overlap
62,519.98,46.06,65.04,55.56,171.96,27.7488,120.9163,overlap
63,766.58,444.69,36.95,26.72,21.95,11.5521,18.7667,overlap
64,652.76,537.40,54.06,43.56,5.20,6.8568,65.4878,overlap
65,658.20,581.22,68.63,42.45,6.47,11.1907,102.8544,overlap
66,597.01,610.07,66.85,41.62,153.54,11.1317,95.7096,single
67,610.30,43.63,83.06,45.14,1.96,11.2842,160.1997,overlap
68,464.03,240.84,75.05,43.06,147.69,8.5996,124.8018,overlap
70,487.23,69.93,85.08,43.93,166.93,9.6345,163.6219,overlap
71,410.01,445.93,86.56,45.08,151.86,5.3548,173.7867,overlap
74,437.34,263.81,61.68,59.90,172.24,13.2765,117.2475,overlap
75,642.12,551.64,55.03,36.44,8.36,8.1385,56.7682,overlap
76,534.38,188.25,82.33,47.78,169.70,17.2546,166.6241,overlap
78,402.39,223.95,73.93,42.53,164.79,8.4691,119.5598,overlap
79,581.74,142.65,74.72,41.51,21.24,8.4230,119.2427,single
82,725.53,377.47,74.12,45.81,44.11,20.2307,129.4653,overlap
87,403.52,734.78,75.75,51.26,170.83,8.7572,151.2977,single
160,884.11,340.90,37.81,36.15,3.34,5.5453,26.5881,single
161,755.65,621.29,24.53,23.72,1.97,6.8480,7.3423,single
163,706.19,63.93,33.98,33.16,96.69,14.0544,19.6989,overlap
185,313.36,767.39,52.58,44.06,153.21,5.7604,62.6672,single
35,570.67,89.63,49.91,49.00,91.32,8.0377,62.7997,single
198,872.70,770.61,25.96,24.20,1.81,4.8948,8.3902,single
4,538.49,535.55,33.00,30.85,178.77,4.4926,17.2773,overlap
209,519.04,767.68,48.35,47.34,176.77,8.1697,56.9316,overlap
7,379.22,114.35,87.67,60.14,13.52,9.4548,237.7658,overlap
213,692.28,771.94,79.94,49.06,1.20,10.9578,161.2966,overlap
86,455.30,606.75,75.23,56.77,174.02,11.2253,165.2963,single
84,552.38,177.10,51.16,46.35,0.52,6.1907,62.4080,overlap
221,650.78,778.29,65.62,55.55,160.43,11.6490,123.0493,overlap
223,764.73,784.36,34.36,29.01,6.88,8.9447,17.6200,overlap
85,464.49,530.34,32.70,29.35,89.18,5.7797,16.1410,overlap
