气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,539.32,705.64,38.58,38.09,3.33,9.9342,29.1699,single
2,873.79,643.84,62.08,49.98,153.84,5.8064,99.0847,single
3,735.90,331.71,56.69,42.68,5.46,7.7177,70.5624,overlap
5,316.92,316.12,45.47,44.29,174.00,5.6247,47.1092,single
6,704.23,515.68,46.22,42.81,179.47,8.4475,47.0394,overlap
8,830.07,192.46,53.72,43.12,31.50,8.2890,64.0206,single
9,435.47,149.40,99.88,51.02,6.17,10.1035,261.8369,overlap
10,753.03,509.96,61.57,45.69,18.43,7.4154,89.0978,overlap
11,825.85,514.00,65.85,45.76,32.74,7.5805,102.0823,single
12,721.08,156.44,51.16,39.39,155.61,7.9247,53.0275,single
13,517.76,333.85,60.02,47.26,10.01,9.4202,87.5741,single
16,876.76,493.57,58.25,36.76,23.72,6.6658,64.1692,single
17,691.96,467.83,54.87,46.22,155.32,8.3283,71.5980,single
18,364.40,208.47,44.92,43.86,91.95,5.5864,45.5431,overlap
19,593.13,206.43,38.84,38.08,95.71,7.4612,29.5497,single
20,280.96,565.24,76.68,50.21,12.69,8.9076,151.9050,single
21,596.67,552.94,43.60,41.71,89.14,6.9906,40.7972,single
22,588.05,353.55,90.86,46.90,3.19,11.8438,199.1900,single
23,433.33,323.01,61.04,40.85,153.96,9.7380,78.3129,single
24,784.38,366.37,70.05,57.80,129.70,21.2391,145.8972,overlap
25,564.82,316.27,32.59,31.21,84.64,9.0494,17.0528,single
26,538.46,562.00,87.00,51.34,147.28,11.4839,199.9355,overlap
27,846.17,299.67,48.30,39.19,21.75,5.2775,47.0401,single
29,423.90,657.75,66.60,36.94,10.05,9.9218,84.3030,single
30,354.84,594.60,45.70,38.99,11.76,6.2641,41.8863,single
31,440.92,517.20,60.65,53.97,3.98,11.3038,102.1338,overlap
32,802.35,601.47,73.33,56.35,160.82,11.1898,155.8847,single
33,781.71,455.23,40.43,34.72,6.31,5.9085,29.2028,overlap
34,402.38,474.38,98.42,45.80,143.59,11.5316,228.1986,overlap
36,458.64,438.09,62.76,40.89,4.56,14.1135,82.8667,overlap
37,538.54,456.30,47.12,39.61,9.33,9.7429,45.2522,single
38,661.58,322.81,71.85,60.77,18.93,10.5255,161.4053,single
39,595.49,5.89,89.38,39.44,161.14,6.3968,162.1134,overlap
40,254.69,335.42,78.74,47.55,11.46,9.0631,151.6629,single
42,591.89,668.22,44.36,43.75,1.88,8.6931,44.2936,single
44,724.20,70.14,46.08,34.06,19.06,8.2442,37.1963,overlap
45,645.66,119.53,112.42,45.71,6.52,5.2072,297.2022,single
46,715.20,608.02,57.37,46.55,43.71,9.2086,78.8338,single
47,739.22,200.24,66.22,39.72,172.88,14.2037,89.6037,overlap
49,566.33,263.55,52.98,38.53,157.07,10.5690,55.6349,single
51,641.00,671.57,57.57,40.31,10.34,11.1720,68.7277,single
52,315.14,702.74,73.06,37.81,169.83,8.4135,103.8503,single
53,722.13,201.37,46.54,40.03,0.59,9.0245,44.6100,overlap
54,677.13,396.48,35.54,33.34,175.70,4.8312,21.6584,overlap
55,565.46,408.38,67.92,38.93,169.96,11.1138,92.3886,overlap
56,655.17,235.28,90.31,41.22,177.74,14.0777,172.9454,overlap
57,760.32,81.34,77.88,34.67,17.59,8.7838,108.1900,overlap
58,709.76,399.30,65.61,26.09,16.14,9.4854,57.7752,overlap
59,632.09,404.94,73.44,37.09,179.56,12.6887,102.9316,overlap
60,481.70,264.93,77.73,43.18,145.45,11.7240,134.2039,overlap
62,519.70,40.57,65.15,54.51,171.60,3.1851,119.0357,overlap
63,767.60,439.53,36.81,26.86,20.37,11.0786,18.7185,overlap
64,652.95,532.33,54.74,42.81,6.65,9.0550,66.0026,overlap
65,658.56,575.84,68.63,42.59,9.39,12.6011,103.1874,overlap
66,596.42,603.97,66.59,42.41,152.82,12.2228,96.7630,single
67,611.62,37.66,83.50,44.66,2.85,13.5114,160.1729,overlap
68,464.08,236.14,74.02,43.44,146.28,10.2472,122.4347,overlap
70,487.64,65.80,87.50,44.06,165.91,8.7966,173.5288,overlap
71,410.52,442.10,81.65,44.05,149.11,2.4967,151.0759,overlap
74,438.00,258.47,66.90,58.37,164.29,9.5108,134.4016,overlap
75,641.82,546.47,54.54,36.52,9.94,13.7645,55.8904,overlap
76,533.66,182.35,80.59,48.51,169.38,14.2977,162.0870,overlap
78,402.08,219.00,73.08,42.90,162.93,11.0912,117.8748,overlap
79,581.88,138.84,71.84,41.57,20.55,7.8974,110.3598,single
82,726.36,372.79,76.57,45.41,41.64,9.0595,136.9581,overlap
87,403.71,730.74,77.22,51.31,167.63,6.8173,157.4072,single
160,884.35,338.03,37.86,36.15,2.02,5.3843,26.6545,single
161,756.02,617.90,24.21,23.38,1.96,6.7859,7.0482,single
163,707.74,59.78,36.26,34.13,11.24,10.1189,23.0853,overlap
185,312.83,764.91,53.30,44.21,150.51,4.5276,64.6136,single
35,571.22,85.49,49.58,49.32,89.14,8.0709,62.3615,single
198,872.70,768.03,25.65,23.70,1.80,5.1482,8.0208,single
4,537.73,529.63,31.02,28.78,177.96,13.6202,14.2516,overlap
209,519.17,762.90,49.54,47.92,177.15,10.3052,60.4985,overlap
7,379.13,109.25,88.25,62.19,14.33,11.0063,249.2032,overlap
213,692.60,766.98,78.24,47.35,2.92,11.0281,149.1287,overlap
86,455.73,601.29,73.56,55.86,176.47,11.1233,155.4914,single
84,550.53,175.72,53.12,51.18,0.91,6.5659,74.2972,overlap
221,650.89,774.11,63.95,56.51,161.31,9.6594,118.8786,overlap
223,765.05,779.99,33.66,26.77,4.51,11.5448,15.6028,overlap
85,465.47,526.89,32.54,27.25,92.48,8.3028,14.8480,overlap
69,783.21,56.99,61.63,49.02,20.44,11.6320,95.7705,overlap
230,432.38,791.52,104.38,54.89,157.78,9.6168,307.7207,single
233,712.65,681.64,50.91,44.87,0.06,10.3027,59.8347,overlap
15,716.55,659.99,86.84,44.26,12.11,9.5529,171.7061,overlap
246,752.16,795.94,51.61,34.86,4.47,14.5769,47.7700,overlap
247,541.18,577.24,59.04,45.95,156.91,5.6934,82.3848,overlap
77,394.14,407.34,73.51,42.52,150.14,10.9434,118.2036,overlap
215,577.45,766.63,87.76,48.82,3.47,4.2383,193.4208,overlap
249,778.77,799.67,71.45,35.05,9.13,0.6483,92.0416,overlap
251,728.88,210.41,45.11,37.14,7.49,0.0000,38.8821,overlap
252,611.21,38.25,85.85,44.22,3.58,0.0000,167.6615,single
80,641.90,241.25,73.23,37.45,11.22,20.4515,103.3315,overlap
