气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,539.79,682.38,39.69,38.50,4.91,7.8729,31.2063,single
2,873.37,628.21,60.99,51.12,153.92,6.9006,97.8172,single
3,735.20,309.84,58.01,43.40,3.43,7.1285,75.1496,overlap
5,317.26,302.53,50.66,43.12,155.57,5.8787,56.9330,single
6,704.68,494.79,48.89,42.43,169.84,6.5173,52.1852,overlap
8,833.39,175.70,53.74,44.38,25.30,7.2554,65.9266,single
9,433.44,123.27,104.55,47.28,5.14,13.5037,265.9015,overlap
10,753.35,488.35,64.47,48.19,16.38,7.8087,103.0622,overlap
11,828.17,495.06,67.84,43.06,32.96,7.5846,101.9544,single
12,722.13,133.65,51.56,39.26,155.76,9.4643,53.6921,single
13,516.55,308.78,60.28,47.71,6.20,9.8199,89.1703,single
16,877.64,475.84,55.94,39.44,26.68,5.8082,63.4958,single
17,689.35,446.74,55.90,46.64,150.99,7.8276,74.9822,single
18,364.66,192.50,47.76,44.06,179.56,9.5329,51.7139,overlap
19,591.76,186.21,40.39,37.61,11.22,7.3981,31.5736,single
20,282.56,544.52,77.61,49.94,13.63,6.6344,154.7293,single
21,597.02,532.78,42.35,41.79,89.96,7.6269,38.5562,overlap
22,590.22,323.34,85.86,47.47,177.82,7.8320,179.9970,overlap
23,429.69,296.26,67.24,40.37,153.41,9.1023,93.8971,single
24,779.07,345.20,78.59,57.80,142.70,7.4083,183.6624,overlap
25,567.16,296.73,33.34,32.70,172.04,6.5385,18.7040,overlap
26,535.53,536.16,92.22,54.09,145.51,11.0011,236.6802,overlap
27,845.91,282.73,50.31,39.98,23.22,5.6195,52.0654,single
29,423.84,633.77,65.59,37.87,10.04,8.0838,83.8195,single
30,354.87,576.48,48.13,39.61,13.71,6.3847,47.2071,single
31,438.67,489.91,59.90,55.32,178.19,9.5867,102.1179,overlap
32,801.74,575.74,74.77,58.33,163.01,10.9983,167.7879,single
33,780.84,436.55,41.03,37.60,3.21,5.9589,32.5591,overlap
34,396.96,453.39,102.05,49.66,147.23,11.8126,266.0551,overlap
36,427.13,415.80,93.72,60.64,175.87,9.8219,274.0128,overlap
37,537.40,432.00,47.66,41.57,4.05,9.9126,48.5691,single
38,659.73,297.53,76.06,56.82,24.13,9.2446,169.1086,single
40,252.84,316.66,78.42,47.82,12.78,7.0999,151.3124,single
44,732.56,48.64,60.69,35.04,22.42,8.1520,66.3952,overlap
45,651.11,91.58,115.71,47.18,6.37,11.9707,325.0027,single
46,718.50,586.42,62.76,46.32,48.39,7.4619,93.8400,single
47,737.61,175.95,65.15,41.81,171.79,9.1549,91.2986,overlap
49,563.60,239.04,54.86,40.89,161.55,9.5197,63.3206,single
52,313.27,684.23,71.99,37.14,172.19,8.0802,99.0123,single
54,676.03,379.90,32.90,32.05,91.19,5.6695,17.8523,overlap
55,563.27,378.56,70.25,40.65,171.39,11.6041,103.2121,overlap
56,657.68,209.01,80.16,41.45,4.04,10.6589,137.0091,overlap
57,763.45,54.08,80.04,34.42,18.96,12.4481,113.4279,overlap
58,710.84,373.38,66.47,29.63,16.07,13.6981,67.3572,overlap
59,630.51,376.25,74.41,37.40,179.02,11.4281,106.5191,overlap
60,475.30,238.52,76.34,46.74,146.80,14.2562,140.1150,overlap
62,520.05,25.53,68.21,64.03,169.96,12.0002,153.2853,overlap
63,769.89,411.89,37.44,27.14,20.54,7.3357,19.5758,overlap
64,655.32,510.12,55.12,45.76,11.39,11.9604,71.5163,overlap
65,657.47,550.26,71.54,38.77,8.25,10.0123,102.0748,overlap
66,593.27,575.54,64.12,42.59,153.26,10.4371,90.0714,overlap
68,459.48,209.07,73.34,42.78,153.26,10.8786,118.3860,overlap
70,484.73,40.52,89.58,47.75,165.28,12.2552,197.1304,overlap
74,438.71,236.65,73.50,58.95,136.25,10.7404,163.8173,overlap
75,640.71,519.47,51.74,39.50,15.76,13.1649,54.4123,overlap
76,529.86,157.70,69.40,51.65,176.63,13.0119,127.9645,overlap
78,398.48,195.84,73.33,42.45,157.62,8.3994,117.4204,overlap
79,583.61,113.74,75.09,43.72,21.27,10.6292,126.8321,single
82,725.52,346.08,64.29,53.11,40.57,9.2079,112.9278,overlap
87,400.17,708.52,74.70,49.94,170.89,9.5736,143.3753,single
160,884.22,324.15,39.04,36.94,4.30,5.8964,28.9596,single
161,757.78,599.62,24.95,23.35,1.28,6.3012,7.4793,single
163,707.56,40.89,35.40,30.68,91.05,8.5022,19.7775,overlap
185,312.00,749.86,52.57,45.99,153.40,5.3819,65.3962,single
35,572.27,63.13,49.63,49.19,179.29,8.8394,62.3449,single
198,872.64,755.24,24.72,24.16,179.86,3.7730,7.5933,single
4,538.73,508.71,37.54,34.37,0.93,6.0511,24.9249,overlap
209,518.88,738.31,52.43,47.08,177.99,9.3847,66.5858,overlap
7,379.68,85.09,91.02,59.43,14.05,7.4385,253.3281,overlap
213,693.02,742.44,81.89,46.64,1.79,7.9665,160.8806,overlap
86,456.70,574.88,78.31,56.95,178.90,9.0948,179.6477,single
84,550.82,157.01,55.29,52.46,92.88,4.5579,82.5013,overlap
221,651.07,749.73,64.20,56.94,166.89,11.3361,120.7372,overlap
85,461.63,507.23,32.35,26.61,165.02,8.2101,14.3252,overlap
69,785.36,34.25,64.02,48.48,28.60,5.8005,102.2247,overlap
230,435.74,770.32,93.50,63.88,157.38,8.2405,287.3160,single
233,711.83,659.65,52.70,43.41,9.17,8.3516,62.0191,overlap
15,717.62,634.46,88.61,44.75,15.53,9.5816,180.7409,overlap
77,392.89,384.24,75.17,39.92,150.68,10.5249,116.0538,overlap
215,572.05,738.42,64.98,47.48,3.14,9.9063,103.1292,overlap
249,779.25,785.21,116.67,56.85,22.03,17.2484,398.1125,single
251,731.76,186.46,50.93,41.80,13.09,11.5018,55.7930,overlap
67,610.59,12.46,88.25,36.16,0.37,5.2588,144.9071,single
261,277.28,798.25,62.91,48.57,156.09,4.8469,98.8883,single
224,584.06,750.46,65.74,39.76,4.67,5.1300,88.3954,overlap
247,540.54,552.01,61.27,45.96,164.13,6.1516,88.7695,overlap
51,641.90,643.40,64.09,38.40,6.37,10.1434,81.1408,overlap
42,591.78,644.14,44.98,44.60,2.45,8.8848,46.4247,overlap
237,770.49,35.45,79.10,65.21,6.91,6.0296,209.9055,overlap
