气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,553.19,415.36,40.32,35.94,89.85,8.6757,30.0623,overlap
2,876.04,433.40,58.47,51.50,174.84,4.1344,90.5865,single
3,730.92,36.90,69.73,40.16,31.66,9.5697,100.4677,overlap
5,308.42,121.62,55.29,43.01,32.91,6.6261,67.6505,single
10,762.18,219.93,72.89,36.98,26.14,10.3711,101.0936,overlap
11,842.87,270.50,59.80,42.69,15.12,9.8081,78.5373,overlap
13,488.86,14.31,56.93,48.12,172.96,10.4143,80.2398,overlap
16,895.18,286.72,44.48,37.32,8.14,5.6853,37.9927,single
17,667.45,183.71,54.00,42.03,7.19,9.6715,63.0502,overlap
18,348.89,0.66,41.01,32.16,3.88,2.9300,27.8264,single
20,294.10,306.74,71.24,60.14,8.23,7.1986,157.0161,single
21,588.50,296.44,42.57,40.90,2.67,8.4262,38.1266,overlap
24,777.86,67.37,94.71,54.89,24.95,9.7142,253.2562,overlap
26,521.76,196.31,92.34,50.67,149.80,13.9072,222.2813,overlap
27,839.73,82.80,46.94,42.40,12.33,5.8291,48.0706,overlap
29,427.38,316.26,57.17,33.77,175.30,10.4576,56.7765,single
30,366.38,361.89,45.89,38.93,18.29,6.8056,42.1786,single
31,420.54,180.40,76.14,54.88,169.44,10.0778,163.6883,overlap
32,790.01,293.59,78.38,49.29,175.94,10.2756,155.8003,overlap
34,367.07,165.56,82.67,58.18,114.24,9.0766,204.5295,overlap
36,463.78,150.59,79.72,56.08,39.59,9.1876,183.3580,overlap
37,519.83,159.36,46.67,39.87,156.20,8.5962,44.6698,overlap
40,262.06,85.69,64.70,48.72,11.47,6.9288,104.9173,single
46,757.31,320.65,63.38,35.60,32.23,9.8747,73.5750,overlap
52,313.83,439.31,91.03,56.65,12.63,6.3432,241.4957,single
54,670.12,146.71,34.07,28.99,179.02,10.3808,17.3135,single
55,541.62,29.78,80.36,44.72,176.45,10.4084,148.5681,overlap
59,620.14,17.41,78.15,40.33,175.59,9.1977,126.7078,overlap
63,771.40,117.12,30.77,29.56,87.63,9.0466,14.3972,single
65,676.45,237.15,70.17,32.73,20.38,14.5815,82.8942,overlap
66,559.15,234.32,66.95,38.57,16.51,9.5021,88.9568,overlap
75,652.50,185.44,52.68,32.58,17.63,12.3067,46.5207,overlap
82,695.80,81.66,60.02,46.76,117.63,10.1209,86.6577,overlap
87,390.67,444.81,72.88,43.64,156.21,6.7196,119.2574,overlap
160,861.56,155.69,38.45,36.31,172.12,6.4047,27.6221,single
185,312.90,560.06,47.18,42.81,5.42,4.0456,49.0234,overlap
198,877.43,594.03,24.77,23.96,0.53,5.4254,7.5600,single
213,693.96,436.10,86.16,45.77,3.03,9.9607,174.8147,overlap
86,470.27,254.30,89.89,37.57,1.84,9.5725,156.1703,overlap
221,653.34,445.74,70.89,49.45,15.65,10.2252,127.8506,overlap
230,421.92,457.90,98.24,55.17,161.49,12.0953,273.9519,overlap
233,720.49,375.56,60.40,56.23,7.67,8.7789,105.5496,overlap
15,753.32,345.04,79.92,46.54,25.42,8.9364,152.9419,overlap
77,370.00,118.50,60.26,41.92,148.62,10.0219,78.3158,overlap
261,272.39,550.54,69.67,34.38,7.41,8.4680,85.8567,overlap
247,533.54,253.35,63.35,52.29,158.16,9.4734,107.9365,overlap
51,631.72,295.55,52.59,36.78,172.81,12.2322,52.3404,overlap
42,588.33,365.10,46.25,43.25,176.97,8.7022,47.5872,single
267,346.96,537.44,73.99,44.10,167.18,7.4866,124.1985,overlap
246,773.67,489.44,107.15,45.05,18.01,9.1762,266.0971,overlap
