气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,844.03,237.23,47.48,40.30,19.53,5.4617,46.7393,single
2,354.77,529.41,45.67,40.61,19.06,6.2637,43.5828,single
3,875.61,582.92,58.13,50.44,170.90,5.7446,87.6770,single
4,704.61,440.36,43.01,41.13,172.61,8.1732,39.1475,single
5,287.39,489.57,73.97,48.76,19.51,7.2573,137.2689,single
6,882.47,286.86,38.43,34.87,1.02,4.6128,26.4931,single
8,833.71,445.87,65.42,41.55,31.51,7.1930,91.4837,single
9,841.14,128.68,53.12,41.02,41.32,5.9748,59.5592,single
10,680.51,389.86,52.63,45.99,171.37,7.7906,65.5250,single
11,512.73,241.26,59.82,46.34,172.41,8.9867,85.3043,single
13,542.74,619.54,38.73,37.91,91.69,9.1596,29.2624,single
14,581.52,495.51,66.95,39.20,172.89,10.7763,90.3979,overlap
15,779.59,387.24,42.52,37.36,7.19,7.1886,34.7447,single
17,380.94,20.61,89.51,45.03,0.07,3.8330,185.5774,overlap
18,880.43,426.28,45.11,44.17,179.30,7.0121,46.2463,single
20,592.31,580.73,44.85,43.83,2.21,8.8930,45.3617,single
24,725.26,564.61,92.00,51.85,16.81,8.3556,225.7541,overlap
25,318.66,267.04,55.40,39.69,148.79,5.0966,62.6660,single
26,723.81,71.36,47.82,40.25,167.02,9.7166,47.3453,single
27,776.33,280.94,83.14,63.16,155.29,15.1155,224.6030,overlap
28,427.28,566.40,51.06,38.68,169.73,11.0964,51.8769,single
29,251.82,263.74,72.62,53.02,29.24,6.7481,143.8526,single
31,778.48,335.49,34.63,27.98,29.66,11.6263,17.2666,single
34,737.02,105.03,62.40,37.56,169.55,7.1805,75.2497,overlap
35,628.65,297.85,75.43,34.22,177.96,11.2044,100.1565,overlap
39,800.07,507.02,73.20,48.99,169.60,9.4175,135.0339,single
40,392.10,326.39,68.48,42.43,141.56,7.4260,102.3727,overlap
43,461.19,165.02,74.33,44.27,150.13,11.1175,125.8222,overlap
44,534.06,369.52,43.84,39.92,0.73,8.0062,39.4818,single
47,557.97,297.67,79.61,34.43,171.29,9.9424,112.2780,overlap
49,392.80,391.18,98.00,51.55,146.20,9.3228,254.7304,overlap
