气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,846.20,287.57,47.79,38.86,22.66,5.9506,45.6501,single
2,354.67,582.03,45.87,40.33,12.26,7.6114,43.6532,single
3,874.32,633.40,59.35,48.46,149.56,6.7712,87.8010,single
4,705.21,500.71,48.99,41.89,169.34,9.4241,51.7235,overlap
5,281.89,550.65,75.97,49.22,10.28,7.2428,146.1391,single
6,884.53,328.62,37.14,36.14,2.05,6.0253,25.6472,single
8,827.68,500.17,65.51,43.52,33.85,7.1950,96.0786,single
9,832.80,180.05,51.64,42.56,31.63,6.8306,58.3927,single
10,689.94,452.95,54.78,44.23,149.08,7.9918,68.2793,single
11,517.55,316.07,58.40,46.89,3.89,9.8575,82.2788,single
13,539.95,689.03,38.96,38.38,92.29,8.7531,29.9642,single
14,595.47,583.48,65.14,43.07,149.18,8.6635,94.0158,overlap
15,781.09,442.38,39.88,35.27,6.16,7.0248,28.8663,overlap
17,379.45,91.81,90.24,58.66,10.18,11.1322,245.7128,overlap
18,877.51,480.70,57.12,38.41,28.83,8.9978,64.4599,single
20,592.00,651.06,44.47,44.18,91.48,8.4927,44.9428,overlap
22,431.09,303.64,62.55,40.93,151.94,11.7478,82.3839,single
24,717.19,640.79,87.74,44.13,12.68,9.9491,174.7760,overlap
25,318.19,306.52,47.05,44.36,168.98,5.7454,50.5263,single
26,722.01,140.23,49.46,36.88,157.08,8.6832,46.4250,single
27,781.45,350.62,75.61,58.11,141.11,10.5961,170.8874,overlap
28,424.34,640.31,65.17,37.30,10.28,9.4431,81.5023,single
29,253.51,322.06,79.71,48.08,11.70,8.0096,157.1832,single
30,566.97,302.66,31.56,29.67,89.75,8.7517,15.2005,overlap
31,769.36,420.09,36.85,26.48,21.26,13.6760,18.4944,overlap
34,738.87,183.37,69.63,39.34,167.64,8.4795,98.1060,overlap
35,632.74,384.85,70.92,35.78,177.58,12.0875,92.5761,overlap
36,660.27,305.44,74.61,55.23,14.16,6.8972,158.1487,single
37,717.62,592.81,60.09,44.92,54.94,7.1210,83.4628,single
