气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,838.09,47.87,43.74,39.15,2.15,5.0917,38.5327,overlap
2,370.13,321.56,43.06,39.22,4.51,8.6779,37.4129,single
3,877.77,401.97,58.00,49.80,166.34,7.0457,86.1964,single
4,679.21,212.60,45.65,39.80,168.71,7.8700,42.6701,overlap
5,295.60,266.23,75.07,55.71,17.29,8.1228,161.5403,single
6,857.84,126.05,36.97,33.98,174.53,5.6899,23.8847,single
8,843.26,233.82,62.25,47.21,20.95,6.8943,94.1231,overlap
10,668.35,139.89,54.78,40.50,17.39,7.8708,62.5312,overlap
14,560.87,175.40,66.79,43.74,25.23,9.1734,100.3862,overlap
18,894.13,255.59,42.74,36.54,25.61,5.4479,34.3360,single
20,587.74,317.62,44.83,41.29,1.16,8.5414,42.6863,overlap
24,759.85,298.83,81.13,43.89,27.98,14.5323,148.6289,overlap
25,314.00,88.06,51.57,40.16,32.90,5.7107,54.9392,single
27,778.56,20.10,102.42,58.26,28.52,9.5579,314.4117,overlap
28,424.70,261.72,53.88,31.24,168.28,9.4688,46.6595,single
29,259.18,48.43,62.42,45.46,39.49,6.7995,91.1258,single
44,513.77,115.72,41.42,38.29,167.37,5.7775,33.7969,overlap
49,361.86,118.73,78.96,55.18,119.15,11.4143,176.9843,overlap
53,468.73,105.81,79.55,52.53,38.18,7.2512,171.0053,overlap
55,637.82,190.57,45.41,43.87,177.24,8.6289,46.5451,single
56,314.87,402.11,96.22,53.69,15.35,7.3433,255.7465,single
59,685.39,184.15,67.15,30.29,20.43,10.8563,70.2761,overlap
61,658.72,125.20,53.09,31.25,18.50,12.8012,45.3140,overlap
84,395.80,404.84,69.07,43.91,164.16,13.2815,107.7738,overlap
151,313.53,526.10,48.37,39.37,18.02,6.9249,47.3862,overlap
58,669.22,101.09,34.08,27.58,177.24,9.7056,16.4812,overlap
165,877.09,566.62,23.55,23.47,179.34,5.2614,6.6988,single
173,515.80,386.77,53.72,46.87,175.28,9.5576,69.5852,overlap
32,521.55,142.44,85.00,52.33,151.28,8.9200,194.5100,overlap
187,694.98,381.56,88.22,43.33,3.64,10.4824,173.4885,overlap
192,655.90,394.90,70.78,48.95,22.05,13.6585,126.1441,overlap
227,422.23,409.16,101.04,53.99,156.26,7.9365,283.5602,overlap
233,530.27,206.44,58.02,48.99,167.08,7.4083,84.8370,overlap
251,593.22,356.66,76.66,46.68,13.95,11.7028,141.1204,overlap
54,419.52,127.09,68.30,51.97,159.13,13.3426,124.7188,overlap
46,624.54,237.13,50.54,41.47,169.41,12.1608,54.4935,overlap
257,275.99,509.41,71.83,30.92,9.28,7.4152,82.0777,overlap
226,776.06,438.83,101.31,44.22,19.36,9.6722,233.5311,overlap
292,275.99,595.22,30.41,27.68,170.65,5.0902,13.1650,single
278,753.12,478.13,78.47,57.61,158.46,9.9024,182.4820,overlap
37,765.39,271.08,65.31,34.89,29.40,8.8217,76.5627,overlap
253,347.40,489.30,71.90,36.33,161.35,8.0768,96.6031,single
16,762.44,170.34,77.18,36.23,24.48,9.7151,111.0454,overlap
307,492.77,477.69,119.45,71.06,154.86,11.2664,521.5809,overlap
174,617.03,384.33,57.55,36.42,27.50,12.0676,62.0507,overlap
340,439.54,559.85,61.22,46.07,12.27,9.6792,88.8351,overlap
342,720.85,608.51,38.15,37.21,92.61,6.3818,27.8662,single
369,588.85,563.93,61.70,55.71,173.13,9.1988,109.1228,single
376,724.87,553.28,49.74,46.86,177.77,8.3734,59.6488,single
386,501.41,548.90,98.30,49.52,147.46,8.7841,246.1745,overlap
13,558.19,376.39,39.33,37.08,91.20,7.2203,29.5105,overlap
410,526.71,602.34,65.18,44.79,149.16,11.5278,97.8834,single
413,304.15,677.13,73.48,48.71,141.93,8.9141,135.3217,single
359,504.71,525.38,71.87,65.93,3.86,11.7010,175.2070,overlap
30,564.47,24.98,32.78,29.13,179.53,8.8233,16.1091,single
435,634.76,683.93,88.70,38.94,1.95,10.6047,157.6146,overlap
442,480.77,673.18,52.82,42.65,2.73,8.8402,61.2009,overlap
408,438.24,643.12,71.90,52.82,146.67,10.2192,140.4752,overlap
79,687.94,31.26,52.74,46.85,175.17,6.5231,67.0457,overlap
456,728.01,713.74,64.61,45.16,39.56,7.7739,96.9989,overlap
466,769.93,705.04,75.82,46.94,31.02,10.4454,138.8357,overlap
432,605.00,656.96,98.29,41.09,2.98,12.5667,204.2142,overlap
31,758.49,71.95,32.01,28.00,91.03,8.3015,14.7564,single
39,790.53,250.69,83.33,44.47,177.33,8.5356,158.8632,overlap
474,398.60,708.30,42.47,25.00,157.59,10.4705,23.2016,single
484,342.33,729.50,74.81,41.74,2.70,10.6125,120.1851,single
485,773.10,191.12,41.81,33.59,6.20,7.1721,30.2040,overlap
491,240.26,768.43,44.26,39.44,173.81,7.5666,39.7467,single
40,365.95,72.85,62.92,36.11,160.52,11.8058,73.5431,overlap
254,648.99,466.58,74.88,57.32,16.51,9.9602,165.3224,single
503,772.89,522.27,37.16,34.55,4.28,5.9759,24.5476,single
505,705.45,752.27,48.82,36.18,2.08,9.4170,44.3500,overlap
52,468.32,196.31,87.63,41.77,1.35,9.7506,165.0431,overlap
83,445.75,175.66,36.15,34.57,177.31,7.1475,23.2462,overlap
473,704.46,41.44,36.36,33.37,93.80,10.1511,22.7028,overlap
527,684.28,757.64,82.64,34.95,20.58,8.8933,122.7875,overlap
532,765.62,737.95,44.55,34.99,32.57,6.6151,35.7236,overlap
534,718.12,10.39,41.53,27.03,145.26,24.5213,23.9853,overlap
537,478.76,780.89,84.40,50.32,165.35,11.1555,184.4041,single
347,729.70,236.08,13.77,11.74,91.40,5.6356,1.1447,single
548,779.54,787.89,49.12,33.85,15.85,4.3743,42.0212,overlap
7,588.62,254.23,43.52,40.76,6.83,6.7536,39.7150,overlap
549,827.05,794.20,80.93,51.38,155.34,14.5155,173.1102,overlap
528,448.67,669.04,42.80,38.97,174.80,9.1145,36.7331,overlap
566,567.19,794.41,93.84,20.13,172.81,33.3705,91.1723,single
539,701.45,761.73,56.51,36.84,11.41,10.4063,60.5287,overlap
219,723.42,327.76,64.50,54.79,176.36,14.5352,117.2633,overlap
