气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,839.78,95.21,47.22,41.26,18.24,6.2652,47.3419,single
2,365.48,375.71,43.69,38.98,16.43,7.6135,38.2780,single
3,876.26,444.94,56.05,51.65,178.73,6.2002,83.4738,single
4,689.24,273.74,43.02,38.27,21.19,10.4550,36.4468,overlap
5,294.47,320.61,68.90,58.86,4.68,7.0895,143.7556,single
6,864.14,166.56,36.58,34.94,173.22,4.6677,24.0508,single
8,841.89,284.32,57.00,42.09,12.03,8.0691,70.3593,single
9,852.21,5.62,49.30,17.16,1.86,5.0356,21.4484,single
10,667.57,200.19,51.20,42.15,6.54,9.3061,56.8512,overlap
11,490.92,31.68,59.66,42.20,169.46,10.5344,77.2711,overlap
14,561.50,255.19,63.35,39.73,18.55,10.8672,82.0477,overlap
18,893.91,297.02,42.78,37.46,2.91,4.8539,35.2705,single
20,589.01,381.35,45.07,42.41,175.63,10.5999,44.3237,single
24,749.87,361.50,76.60,47.80,29.82,11.8239,144.3019,overlap
25,308.10,132.65,55.14,41.43,29.41,6.1464,64.7949,single
27,777.98,84.92,87.41,57.81,24.08,9.3853,227.2580,overlap
28,428.58,336.28,59.16,35.93,168.81,10.5110,64.6922,single
29,264.59,98.38,66.89,45.36,165.84,7.8419,104.4065,single
35,617.03,39.96,63.90,34.53,174.88,13.7851,72.5352,overlap
44,520.90,174.42,46.92,36.00,144.96,8.3915,40.7673,overlap
47,545.84,49.50,74.02,45.31,179.45,10.3784,127.6988,overlap
49,370.88,181.15,81.80,54.61,117.09,7.2856,188.0118,overlap
53,462.11,167.10,74.23,61.50,37.61,9.1799,174.3493,overlap
55,645.84,255.57,45.23,43.28,0.59,9.7305,45.5598,overlap
56,313.64,451.46,89.94,54.80,6.74,7.1160,228.0387,single
59,673.52,256.19,68.14,35.35,20.10,9.1121,84.4333,overlap
61,651.91,205.59,52.12,31.56,13.17,9.6247,44.0999,overlap
84,393.54,460.85,73.11,47.70,160.23,6.5387,131.1591,overlap
85,424.78,15.92,68.68,37.43,178.82,7.0385,90.8362,single
145,350.32,12.96,42.60,26.72,1.75,3.3065,24.9422,single
151,311.50,572.15,44.46,41.93,6.55,7.2060,42.6318,overlap
58,671.21,163.14,32.69,28.40,5.07,8.5502,15.6167,single
165,877.04,603.86,23.35,23.26,1.46,4.7029,6.5268,single
173,514.55,457.62,52.95,44.42,6.57,10.4613,64.0684,single
32,520.53,217.95,92.83,51.71,152.70,9.8237,229.2436,overlap
187,692.40,455.16,90.56,46.13,179.45,10.0163,194.5963,overlap
192,652.49,464.83,66.42,51.81,15.61,6.0444,117.5958,overlap
52,471.59,272.80,88.71,40.09,178.58,11.5808,162.2837,overlap
219,719.97,392.62,60.57,57.05,10.50,9.7451,107.6734,overlap
227,422.66,475.97,98.31,54.02,163.60,9.3058,268.6146,overlap
233,533.35,271.53,60.81,52.18,167.57,6.5409,99.2501,overlap
21,731.02,53.01,67.15,39.54,27.87,7.9509,91.7347,overlap
251,593.54,434.87,77.86,46.46,10.36,10.9040,144.9133,overlap
54,422.35,199.35,73.66,50.16,154.15,9.6300,140.0317,overlap
46,635.59,315.14,52.85,32.56,166.20,13.2135,46.7875,single
257,272.35,565.24,63.88,34.25,5.55,7.3649,71.9033,overlap
7,589.24,311.59,42.63,40.63,2.04,8.5813,38.0000,single
226,774.16,506.76,104.74,41.86,16.69,8.3713,236.2558,overlap
292,282.22,635.72,30.40,28.11,169.57,5.4595,13.3670,single
278,758.01,550.08,76.66,69.86,5.01,11.6910,211.2151,overlap
37,756.25,340.29,67.36,41.30,38.88,7.0909,96.3940,overlap
253,349.38,555.28,66.25,43.70,167.05,9.2225,98.6947,overlap
16,760.04,237.07,69.46,35.25,26.68,13.7869,87.4841,overlap
307,491.41,552.04,121.95,76.01,166.25,9.2560,581.5806,overlap
174,611.14,456.08,60.40,36.72,26.65,10.5593,68.9288,overlap
340,436.76,625.06,60.19,46.46,21.10,7.5217,86.5863,single
342,721.61,657.37,37.38,36.59,177.96,6.2996,26.3003,single
369,590.36,637.93,58.22,50.42,174.26,9.5828,87.9347,single
376,729.66,607.57,50.51,44.61,163.38,7.8617,58.5494,single
386,515.15,630.01,99.82,57.80,159.02,9.0448,296.2786,overlap
13,551.94,429.59,39.59,35.31,90.98,9.1037,28.4675,overlap
410,537.89,685.48,65.62,39.60,151.81,11.5994,87.7272,single
413,312.43,739.68,75.16,46.04,154.31,8.7055,133.7884,single
36,664.04,32.82,77.43,35.26,177.94,9.5591,108.7372,overlap
359,505.75,599.87,67.80,60.81,5.76,11.9371,143.7995,overlap
30,566.76,82.15,30.47,27.57,174.34,6.4243,13.1701,single
435,636.20,755.95,83.83,41.12,178.27,10.6513,148.6900,overlap
442,484.01,743.86,54.79,40.42,158.30,8.6324,62.4148,overlap
408,450.79,714.82,71.43,56.93,139.67,7.8923,149.4628,overlap
79,698.13,99.37,59.70,50.23,117.43,11.6060,92.1201,overlap
456,727.90,777.13,61.16,45.51,28.80,8.6406,87.5836,overlap
466,762.06,772.88,73.25,43.14,29.15,8.1503,119.0831,overlap
432,610.09,729.69,107.27,41.24,179.46,12.0730,244.1585,overlap
31,774.56,133.76,30.35,28.65,88.48,7.8122,13.5799,single
39,790.12,310.63,75.46,46.99,172.96,9.5652,137.6446,overlap
474,409.01,781.87,42.97,25.80,169.01,11.4433,24.5060,single
83,449.24,234.59,37.11,36.14,179.87,10.0495,25.6018,single
484,342.26,788.13,80.93,25.15,177.12,6.8997,84.7346,single
485,776.63,253.46,38.56,28.21,173.88,6.1535,21.5779,overlap
473,714.36,95.96,39.40,32.49,104.96,10.3669,25.9444,overlap
491,239.19,795.61,40.91,14.80,176.29,3.3729,12.7414,single
86,600.01,6.15,79.93,21.38,177.42,10.7630,70.2705,single
499,665.51,534.72,44.72,36.98,95.13,10.9817,38.0505,overlap
40,369.34,133.26,62.20,36.41,153.80,8.2301,72.4594,overlap
254,648.22,537.47,68.03,61.50,12.43,23.0157,146.4233,overlap
