气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,835.07,13.25,45.56,30.29,1.65,1.5898,32.3493,overlap
2,372.53,278.39,42.95,39.17,5.51,7.2985,37.1780,single
3,878.92,366.34,56.61,51.58,176.03,6.4476,85.0309,single
4,672.74,164.40,44.07,41.94,1.38,8.7743,41.9043,single
5,298.57,221.73,73.66,51.28,21.15,7.3352,143.1616,single
6,854.37,92.78,37.68,32.86,173.69,5.9743,23.9991,single
8,845.62,192.38,56.68,52.47,16.42,7.4263,86.7359,overlap
10,668.84,89.55,52.31,40.05,21.86,9.1273,56.3823,overlap
14,563.79,118.00,63.12,40.68,19.59,9.1489,83.3846,single
18,892.13,220.77,46.07,35.07,9.73,5.5763,38.2855,single
20,587.05,268.86,45.89,41.62,175.15,9.2871,45.0908,overlap
24,768.68,246.43,88.35,43.93,30.59,9.1795,176.4068,overlap
25,325.12,57.77,43.89,40.01,97.11,6.3129,39.6519,overlap
28,418.99,203.34,51.97,33.12,151.76,10.5132,46.0150,single
29,263.82,14.03,59.06,35.18,174.41,8.0373,63.1264,single
49,350.33,67.85,79.32,54.10,133.66,10.0568,175.1378,overlap
53,473.60,57.26,76.03,56.95,22.05,9.3229,169.3427,overlap
56,319.86,361.58,86.94,55.51,28.94,5.3245,215.8476,single
61,665.37,61.56,54.37,31.79,16.99,8.8853,48.3530,overlap
84,392.09,361.50,54.87,49.99,173.96,4.8239,77.4269,overlap
151,317.34,485.81,48.88,41.55,13.79,6.1164,51.0755,single
58,667.32,50.11,32.00,26.69,177.98,9.8133,14.0590,overlap
165,876.22,536.93,23.17,23.03,179.66,5.5127,6.3621,single
32,516.02,81.69,74.88,57.30,159.98,11.3015,165.2884,overlap
187,697.81,324.31,85.08,39.09,2.39,10.7307,145.5706,overlap
192,659.73,339.91,69.66,47.64,17.10,9.9992,118.9520,overlap
227,426.47,351.47,93.68,58.97,155.58,8.8517,266.2284,overlap
233,526.70,152.49,57.17,49.47,171.24,9.7090,83.1752,overlap
251,596.93,294.40,73.08,47.51,7.02,9.4743,130.5424,overlap
54,417.56,70.38,62.75,48.71,173.49,10.3474,98.6658,overlap
46,614.30,174.15,65.91,34.62,161.50,11.4948,77.3764,overlap
257,279.46,459.77,68.76,30.98,6.68,10.7566,75.3560,single
226,777.39,387.58,94.45,48.92,27.09,11.6905,224.5386,overlap
292,272.13,564.57,29.06,28.65,89.84,5.3241,12.4430,single
278,751.74,425.33,76.05,53.46,174.20,8.3629,159.0362,overlap
37,770.65,215.71,60.30,36.82,33.31,11.1310,68.8741,overlap
253,344.01,439.75,68.13,37.62,159.49,12.0301,89.8261,single
16,764.13,117.50,83.45,36.81,22.08,7.8622,131.8586,overlap
307,492.75,416.09,115.86,66.84,156.64,11.0004,461.6169,overlap
174,622.30,326.96,58.19,31.37,21.76,11.6719,54.6506,overlap
340,440.82,506.87,62.69,48.93,9.56,10.1250,98.9362,overlap
342,721.19,569.34,36.16,35.88,179.21,7.0198,24.1387,single
369,589.42,508.97,61.26,48.12,8.93,8.4586,92.8909,single
376,722.71,510.20,46.98,46.59,179.84,7.1797,52.8979,single
386,495.69,482.64,95.25,58.34,148.12,14.6440,272.2760,overlap
13,533.49,332.66,89.32,45.34,4.56,13.4168,186.0815,single
410,517.77,535.15,73.99,44.22,137.67,12.8522,124.5385,single
413,295.19,629.67,74.86,48.60,143.29,10.1375,140.0890,single
