气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,841.75,177.60,48.98,42.74,16.45,6.0281,52.7490,single
2,357.48,467.43,48.47,37.86,29.93,6.7236,45.7632,single
3,875.54,527.64,57.04,52.05,169.70,5.9843,87.1267,single
4,700.19,372.56,47.38,40.19,8.96,8.0484,46.4126,overlap
5,291.10,416.44,68.33,53.13,1.69,8.4472,127.6171,single
6,876.79,236.87,37.45,34.44,168.46,5.4271,24.8469,single
8,835.83,381.13,63.58,41.41,26.08,7.8938,86.1046,single
9,850.33,71.97,44.47,43.15,4.01,5.9630,43.9000,single
10,671.31,312.24,52.41,44.53,178.20,7.8187,62.9305,single
11,505.76,154.23,62.12,41.67,172.99,9.4331,82.7394,single
14,571.38,395.41,67.54,37.01,177.64,13.9035,86.8615,overlap
15,779.86,329.73,41.34,38.26,176.45,5.0979,33.6398,overlap
18,885.99,368.61,44.78,41.64,179.33,6.6304,42.9571,single
20,591.62,498.00,44.63,43.02,174.73,9.0687,44.0839,single
24,738.11,484.28,89.14,46.47,14.60,6.5064,189.9867,overlap
25,309.71,213.92,45.21,41.82,165.61,4.9626,43.9791,single
27,776.14,202.47,82.56,68.90,12.44,11.0329,241.6060,overlap
28,429.03,472.30,52.98,35.42,170.63,10.8422,51.1444,single
29,256.10,194.73,61.40,58.66,172.91,7.1934,113.7714,single
31,783.04,233.46,38.98,31.33,6.55,13.3796,24.4990,overlap
34,732.38,9.99,58.66,32.07,166.89,6.8059,56.7723,single
35,620.51,189.47,76.83,31.31,175.05,11.6709,95.0837,overlap
39,796.09,427.37,57.12,43.50,6.22,9.6861,73.0149,single
43,445.49,65.95,63.25,37.91,152.18,8.6820,78.0158,overlap
44,529.67,288.05,44.00,39.81,167.98,9.9685,39.6416,single
47,552.25,196.25,73.23,34.63,175.00,11.8806,95.5424,overlap
49,387.40,307.19,92.03,59.12,138.00,9.2086,257.6098,overlap
53,444.47,282.95,75.31,70.90,178.28,10.2017,206.8685,overlap
55,655.16,369.59,50.01,40.69,9.06,8.7795,52.3467,overlap
56,312.82,550.37,74.89,56.10,173.31,8.6872,161.8594,single
59,661.80,388.27,67.88,38.43,16.39,12.8006,91.0915,overlap
61,642.53,348.39,55.87,34.89,18.66,12.9303,56.0334,overlap
67,442.50,43.78,80.83,39.16,170.23,10.2628,131.6020,overlap
68,542.34,80.31,64.76,33.78,151.27,11.3255,72.8978,single
74,654.37,35.49,71.99,49.55,149.76,7.5835,132.1247,overlap
79,718.73,210.80,49.82,47.39,179.04,12.8578,60.5208,overlap
83,449.63,350.93,37.16,30.09,0.68,9.7785,21.3800,overlap
84,398.22,568.93,68.86,47.72,152.46,7.1745,116.4210,overlap
85,442.19,105.63,52.18,51.83,4.89,9.9897,72.5954,overlap
86,594.56,61.47,43.33,37.38,10.36,7.7746,36.1023,single
145,354.64,89.30,41.14,40.10,176.60,5.3560,34.9232,single
151,305.66,650.55,51.72,43.67,175.10,6.4066,60.0904,overlap
58,671.69,265.58,32.94,31.07,0.41,6.9857,17.3466,single
165,874.01,670.98,24.03,23.69,89.03,4.6136,7.0376,single
173,515.92,584.01,58.40,44.22,159.33,9.0964,77.5913,single
32,527.95,362.38,90.96,49.92,158.66,9.7383,212.5127,overlap
187,690.30,584.51,85.07,42.63,178.94,11.8262,158.7231,overlap
192,645.39,590.69,59.37,55.53,1.73,10.0699,100.6959,overlap
52,467.51,410.46,97.21,40.17,5.38,11.5198,195.3155,single
