气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,833.12,4.70,46.11,20.53,11.02,2.0387,22.4599,single
2,373.23,262.45,43.22,38.61,5.80,8.0236,37.0964,single
3,879.32,353.01,55.66,51.64,0.60,5.8336,82.3031,single
4,670.22,146.17,45.47,42.81,179.51,8.1061,45.5234,single
5,298.26,207.03,71.87,46.54,17.25,7.5016,123.6660,single
6,853.46,80.23,36.81,33.12,177.76,6.1424,23.0846,single
8,846.97,175.91,53.79,52.05,91.82,6.7740,77.4933,overlap
10,670.32,70.46,51.90,39.93,23.75,7.8991,55.3341,overlap
14,564.32,96.06,63.66,40.16,17.24,10.9147,83.7414,single
18,891.68,208.01,46.68,35.61,7.64,5.5655,39.9246,single
20,585.66,250.75,44.54,41.03,177.18,11.4019,41.8706,overlap
24,769.19,227.90,88.36,40.30,29.48,7.9275,161.8641,overlap
25,327.31,45.04,47.12,36.64,115.12,9.9676,41.8470,overlap
28,417.33,180.35,52.15,34.34,154.60,13.3068,48.0393,single
29,265.25,4.62,65.93,20.84,170.53,3.6793,46.6179,single
49,346.95,48.81,78.88,49.33,144.00,9.7033,157.8891,overlap
53,476.23,37.82,76.30,56.47,18.56,8.1007,169.1412,overlap
56,319.60,346.52,80.89,55.72,31.91,7.9626,187.5534,single
61,667.61,36.81,56.55,30.55,16.67,10.5841,50.2543,overlap
84,394.11,344.95,52.17,50.03,179.12,10.5104,70.0435,overlap
151,318.71,470.70,49.98,40.96,8.67,7.6927,52.6395,single
165,875.88,525.83,23.35,22.76,0.12,4.8085,6.3859,single
32,514.65,57.82,71.34,63.91,178.31,12.8979,167.3441,overlap
187,693.25,304.37,87.62,37.34,0.39,10.2152,147.4784,overlap
192,660.83,319.50,69.64,46.97,16.39,9.4576,117.2009,overlap
227,428.84,329.63,89.41,58.36,156.84,15.3053,239.9980,overlap
233,525.50,132.20,57.32,48.19,166.40,8.1178,81.4541,single
251,598.19,271.02,72.75,46.39,10.28,12.7306,126.3157,overlap
54,416.52,47.99,60.76,44.55,175.13,11.2843,84.6260,overlap
46,612.49,150.78,69.00,33.97,162.93,11.2430,83.1843,overlap
257,280.51,441.12,64.18,30.50,7.84,8.6085,64.6366,single
226,777.20,369.69,92.45,54.24,34.00,4.2282,238.4952,overlap
292,271.07,553.26,29.83,28.35,175.45,5.0851,12.9830,single
278,750.88,405.36,76.81,52.29,178.97,10.1531,158.7085,overlap
37,772.64,194.53,60.52,39.18,27.09,9.4356,73.8228,overlap
253,343.01,422.19,68.78,38.36,158.51,8.1424,93.3360,single
16,764.34,98.43,83.58,35.28,19.91,7.3958,126.7893,overlap
307,494.36,393.75,115.49,66.85,155.41,9.3549,458.7577,overlap
174,625.64,305.56,58.52,32.33,21.11,10.5182,56.9627,overlap
340,440.64,487.01,61.79,48.57,3.08,9.8027,95.4015,overlap
342,720.69,555.02,35.17,35.06,91.22,6.9335,22.3107,single
369,590.37,489.28,63.91,45.64,10.53,9.7208,95.9150,single
376,722.68,494.43,47.69,45.27,175.51,7.7454,52.9663,single
386,496.04,459.65,93.14,56.58,146.46,16.3233,252.4856,overlap
13,531.08,313.58,86.06,45.78,12.55,12.2295,174.4329,single
410,513.80,510.69,79.26,45.91,134.10,9.8026,148.3625,single
413,292.36,612.43,75.30,47.54,142.23,7.7635,138.6948,single
435,633.67,603.70,94.51,36.42,175.81,10.2419,167.3749,overlap
442,473.77,596.27,53.24,45.24,20.66,9.1325,65.9797,overlap
408,425.14,564.46,71.46,58.27,129.54,9.2984,153.0907,overlap
456,725.28,642.88,63.96,49.71,49.69,6.8598,104.6324,overlap
466,785.90,629.44,74.47,46.07,24.82,9.5803,131.4448,single
432,598.01,571.93,91.75,44.01,4.11,12.2882,190.6015,overlap
31,753.82,13.17,32.03,29.03,12.98,5.5671,15.3233,single
39,784.99,180.21,85.63,41.89,179.75,12.1863,158.0364,overlap
474,387.25,630.21,46.56,23.67,160.72,10.6732,26.3944,single
484,340.71,657.72,77.04,39.96,8.03,9.7607,122.0235,single
485,768.92,122.54,42.39,28.43,8.75,10.2348,26.2875,overlap
491,240.58,723.63,44.13,39.83,3.28,5.5076,39.8992,single
40,359.98,11.25,62.69,39.41,155.58,4.9456,79.6765,overlap
254,648.41,391.09,78.31,55.63,13.21,9.5127,175.5368,single
503,774.15,470.19,37.66,36.30,1.32,7.2139,26.4840,single
52,470.18,110.38,89.93,45.13,177.86,11.2646,187.7495,overlap
527,695.13,679.62,79.42,38.34,17.83,12.6392,124.3843,overlap
532,759.42,689.40,38.27,36.11,173.90,4.6895,27.2029,overlap
537,482.88,691.91,85.64,45.59,174.15,8.6192,172.0242,overlap
