气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,839.36,89.01,46.14,40.76,16.10,6.8105,44.6488,overlap
2,366.03,368.07,44.41,38.94,17.52,7.3373,39.5041,single
3,876.39,438.91,56.31,50.54,176.94,5.7784,82.4338,single
4,687.70,264.27,42.67,40.25,25.61,9.7439,37.6949,overlap
5,294.15,313.25,69.22,59.48,8.16,7.6183,146.6165,single
6,863.20,160.75,36.91,35.25,175.06,5.3020,24.7124,single
8,841.99,277.05,57.82,42.73,12.10,7.2066,73.5029,overlap
9,850.23,6.86,34.57,15.52,179.46,2.7555,9.5409,single
10,668.38,191.85,49.63,42.54,5.57,8.9219,53.9082,overlap
11,489.49,23.12,56.57,44.58,169.37,7.4516,73.4026,overlap
14,561.54,244.55,64.39,39.87,17.45,9.4642,85.0384,overlap
18,894.63,291.32,42.75,37.41,4.06,5.2712,35.1807,single
20,588.88,372.73,45.35,42.46,175.64,8.3460,44.9195,single
24,751.02,352.30,77.27,48.60,28.00,4.1794,149.2943,overlap
25,308.45,126.79,54.89,41.68,31.50,6.5985,64.6096,single
27,775.70,74.88,91.51,54.75,27.14,8.3697,235.8619,overlap
28,428.23,325.37,57.55,34.25,172.82,11.0824,58.3617,single
29,263.65,92.22,65.46,46.46,0.27,6.1056,102.4237,single
35,616.84,28.66,66.49,33.68,178.00,14.4602,76.6026,overlap
44,520.05,166.48,46.44,35.55,145.11,7.5561,39.4554,overlap
47,544.67,39.03,76.48,44.26,177.99,14.0671,133.1693,overlap
49,369.54,172.17,80.55,54.05,112.21,12.8934,180.4237,overlap
53,462.96,158.42,75.71,58.44,40.19,11.3890,172.3460,overlap
55,644.95,246.37,45.98,43.14,178.19,8.5810,46.9231,overlap
56,313.32,444.89,90.38,55.67,8.21,6.9434,233.9311,single
59,675.85,247.42,69.51,35.61,24.11,7.9666,88.5221,overlap
61,652.81,194.66,52.09,31.28,15.05,11.4825,43.6651,overlap
84,392.83,452.85,73.45,45.62,160.74,8.7045,126.5964,overlap
85,422.22,11.68,51.44,24.83,178.44,13.3915,33.7914,single
145,350.16,9.22,42.15,23.29,4.51,3.3157,21.2908,single
151,311.86,565.88,45.27,41.67,6.17,6.9947,43.9321,overlap
58,670.88,154.94,32.86,28.18,177.72,7.2491,15.6516,single
165,877.16,598.96,23.86,23.38,90.30,4.9138,6.8466,single
173,514.52,447.77,52.51,44.66,8.21,10.5552,63.3382,single
32,522.23,207.57,92.04,52.92,151.29,13.1590,230.6256,overlap
187,693.71,444.82,87.97,47.51,179.60,10.9516,189.1247,overlap
192,652.87,454.53,67.92,51.00,18.16,9.5380,121.0402,overlap
52,468.70,263.72,92.23,38.98,0.76,8.9011,170.6053,single
219,720.08,383.38,59.27,57.94,6.20,9.9209,104.7136,overlap
227,422.49,467.34,99.35,51.74,162.48,8.3832,262.7283,overlap
233,533.67,263.59,62.44,51.13,161.09,6.3627,102.5459,overlap
21,731.54,44.27,67.07,39.68,28.13,9.7077,91.8408,overlap
251,594.03,424.72,80.49,47.01,9.24,11.7138,156.6899,overlap
54,422.40,189.47,73.50,51.77,156.55,7.8722,143.8671,overlap
46,633.51,304.91,51.50,35.31,166.70,10.7725,48.1686,overlap
257,272.85,557.52,67.39,34.80,5.89,8.1772,81.3261,overlap
7,588.54,303.90,42.64,41.37,4.37,7.0739,38.6990,overlap
