气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,843.52,220.19,47.27,41.30,16.24,8.7579,47.4897,single
2,354.92,511.58,46.33,40.34,22.95,6.2488,44.5414,single
3,876.02,567.70,59.10,49.47,173.01,5.5325,88.8945,single
4,703.77,421.14,42.79,41.85,175.23,7.0066,39.4238,single
5,288.71,469.12,70.88,49.89,16.52,7.3167,128.9662,single
6,881.36,272.74,38.29,34.71,169.76,5.6349,26.1875,single
8,833.67,428.04,63.42,40.28,31.45,6.8375,83.3405,single
9,844.00,112.79,50.06,43.71,26.56,6.7935,56.3456,single
10,677.94,367.94,53.29,45.49,171.91,9.7311,66.4424,single
11,510.43,215.52,60.05,45.02,177.93,9.9669,83.5105,single
13,543.54,596.54,37.50,36.96,93.42,9.0419,26.7326,single
14,576.53,468.34,66.63,40.37,0.80,11.1515,92.2006,overlap
15,779.70,370.30,42.09,37.11,4.16,6.3239,33.8247,single
17,374.83,3.88,86.04,22.37,9.25,3.6715,85.2042,overlap
18,882.39,408.81,44.16,43.28,176.61,5.7415,43.4262,single
20,592.13,557.07,44.52,43.30,0.63,9.5246,44.1381,single
24,729.08,543.44,91.70,46.23,15.58,5.7388,199.9918,overlap
25,317.30,253.18,52.39,41.88,163.79,6.7320,59.1281,single
26,725.10,48.82,48.01,41.91,158.07,8.0214,49.6895,overlap
27,777.80,258.70,82.36,64.34,157.58,5.1592,224.5551,overlap
28,429.56,539.29,47.10,38.71,166.75,10.4870,44.1904,single
29,253.36,244.94,67.89,55.92,27.93,7.4113,132.6105,single
31,780.64,305.82,37.26,27.49,38.94,11.6065,19.6337,single
34,738.34,77.63,55.46,39.22,177.40,11.0354,62.0525,overlap
35,627.00,268.10,75.58,34.40,178.13,12.0713,101.0889,overlap
39,799.67,483.44,68.30,44.54,170.74,8.1345,106.8786,single
43,459.13,133.89,67.18,47.48,148.20,10.7532,110.2351,overlap
44,533.09,346.76,45.13,39.10,169.84,8.4750,40.9715,single
47,555.17,269.42,79.18,32.87,170.98,10.9781,106.0310,overlap
49,390.31,367.63,97.57,52.88,145.46,9.1543,259.0117,overlap
53,437.16,337.93,81.30,69.88,158.34,7.3285,237.6196,overlap
55,658.91,425.11,49.97,40.35,24.50,9.9540,51.8435,overlap
56,314.44,606.67,69.63,59.07,170.47,6.9823,147.3376,single
59,657.70,455.57,68.48,37.63,15.72,6.2236,90.7818,overlap
61,640.92,417.42,51.80,37.05,16.37,10.3769,51.1440,overlap
64,379.11,103.05,71.77,41.71,146.30,10.4688,110.5361,overlap
67,446.62,109.26,70.97,45.52,161.11,11.9369,117.9432,overlap
68,550.36,144.91,59.72,35.51,147.55,11.6387,65.1397,single
69,714.69,279.39,61.09,34.47,27.02,9.8146,66.1642,overlap
74,657.56,103.35,52.69,51.92,87.68,14.4432,74.1618,overlap
76,674.49,6.91,86.09,31.17,170.52,4.5474,118.8670,overlap
79,727.13,261.47,59.24,48.61,124.06,8.3864,87.7510,overlap
83,455.65,415.59,36.10,29.87,4.14,8.8629,20.0235,overlap
84,400.47,626.01,71.32,50.47,157.87,8.9927,132.0821,single
85,439.25,161.24,60.59,56.84,178.81,8.5305,107.3657,overlap
86,592.31,112.48,40.76,37.59,9.22,8.0103,32.1375,single
145,358.08,131.70,42.25,41.71,178.43,7.0463,38.2988,overlap
151,307.81,690.95,48.06,44.50,179.81,5.9897,52.8764,single
58,672.92,312.49,31.72,31.33,179.79,7.8367,16.2163,single
165,872.68,703.84,23.51,22.96,0.92,4.3138,6.5319,single
173,517.22,646.98,56.61,45.25,160.52,7.9617,74.6039,overlap
32,532.13,430.13,89.81,47.49,154.00,12.4289,197.0315,overlap
187,689.71,647.38,84.00,41.23,2.50,9.3022,149.6511,overlap
192,646.46,656.59,61.40,54.09,8.95,9.5083,104.9025,overlap
12,429.33,27.99,111.46,42.58,175.39,11.3677,272.0931,overlap
