气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,838.33,52.45,43.25,39.63,4.92,6.9582,38.1335,overlap
2,369.90,327.46,42.77,39.23,9.50,7.5075,36.9115,single
3,877.94,406.49,57.41,48.52,166.93,5.6161,82.2794,single
4,680.54,218.95,44.89,39.79,171.39,8.8732,41.2474,overlap
5,295.67,272.05,73.52,56.40,17.47,6.5706,156.8106,single
6,858.18,130.05,36.82,34.17,174.76,5.2142,23.8262,single
8,843.41,238.73,62.68,44.77,20.91,8.1571,90.4969,overlap
10,667.76,146.79,53.99,38.95,19.03,7.7464,58.4018,overlap
14,560.01,182.76,69.91,42.21,28.22,13.0399,106.1486,overlap
18,894.30,259.74,43.08,36.88,27.18,6.8836,35.2145,single
20,587.78,324.14,45.29,42.65,178.64,9.2709,45.0058,overlap
24,758.30,305.10,81.02,43.52,29.75,8.2439,146.9653,overlap
25,312.59,91.83,53.17,40.25,34.44,6.1924,58.5532,single
27,779.54,27.73,97.23,54.86,25.45,7.8713,266.8524,overlap
28,425.18,269.30,54.29,30.90,168.64,9.4738,46.8459,single
29,259.40,54.26,62.94,45.65,39.15,9.0194,93.0249,single
44,514.48,121.62,41.14,38.48,163.45,9.9662,33.5060,overlap
47,516.62,5.68,31.03,12.10,179.28,5.7218,5.9920,single
49,362.49,126.16,78.01,53.52,120.45,12.2234,167.5685,overlap
53,466.68,111.01,76.66,52.65,33.89,7.5888,159.1873,overlap
55,638.80,197.05,43.85,43.76,88.80,8.6876,43.2834,overlap
56,315.04,407.36,96.08,53.34,16.54,8.2522,253.2992,single
59,684.36,191.21,67.47,29.33,20.81,9.8898,68.6924,overlap
61,657.60,133.69,54.64,31.45,19.15,10.4694,48.2950,overlap
84,394.98,410.23,72.12,44.10,166.09,7.9367,117.9838,overlap
151,313.01,531.24,47.61,39.13,17.17,6.4747,45.6299,overlap
58,670.06,107.78,33.31,27.91,0.86,10.1071,15.9322,overlap
165,877.19,570.45,23.50,23.34,0.39,4.7427,6.6343,single
173,515.36,394.35,51.71,46.11,0.19,9.5989,63.4211,single
32,522.50,149.51,85.13,52.56,152.31,7.7131,195.9969,overlap
187,693.57,389.38,89.89,45.05,2.62,6.3792,187.2845,overlap
192,656.69,402.92,68.77,49.87,17.12,10.5770,121.3397,overlap
227,422.32,415.39,101.81,54.50,158.14,14.0975,290.6709,overlap
233,531.04,212.96,57.17,49.86,164.31,10.8075,83.8251,overlap
21,734.43,5.33,54.94,23.00,5.57,8.2442,35.7185,overlap
251,593.21,364.99,76.46,47.68,16.85,9.0546,143.4128,overlap
54,417.83,135.60,69.44,51.85,161.25,10.3450,128.6150,overlap
46,626.03,245.15,49.90,41.43,169.29,10.9872,53.0819,overlap
257,275.35,515.20,71.47,31.05,8.89,7.9378,81.6081,overlap
