气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,842.30,187.31,49.28,42.79,14.82,6.5354,53.4560,single
2,356.41,477.06,48.96,38.63,30.74,6.9617,47.6328,single
3,875.47,536.92,57.75,50.98,168.02,5.5557,87.4754,single
4,701.69,383.25,46.80,39.83,16.55,7.2975,44.8824,single
5,290.40,428.14,68.41,51.70,2.49,7.6471,124.4909,single
6,878.12,244.89,37.75,35.39,170.58,5.5209,25.9468,single
8,835.13,392.00,65.04,41.49,26.68,6.9501,90.2908,single
9,848.96,81.58,44.77,43.09,2.34,5.9533,44.4226,single
10,672.77,324.82,54.09,45.54,177.39,8.8031,68.5449,single
11,506.75,168.39,61.34,40.62,172.33,8.4376,78.6269,single
14,572.70,413.10,68.49,37.06,176.53,9.0066,89.4313,overlap
15,779.43,338.80,41.49,39.06,177.55,5.5555,34.5937,overlap
18,885.37,377.73,45.55,41.94,171.64,7.8112,44.7743,single
20,591.48,511.85,45.26,42.81,171.50,8.7709,45.1099,single
24,734.98,497.00,89.14,49.66,16.14,7.4807,203.0076,overlap
25,310.61,222.50,46.01,42.66,165.47,6.5221,46.4528,single
26,725.56,10.73,46.20,28.64,174.90,2.4137,31.4538,overlap
27,778.75,213.55,78.88,65.55,16.55,6.1401,209.7942,overlap
28,429.38,487.55,51.41,36.46,164.41,9.7366,49.5827,single
29,256.31,206.24,59.18,58.87,179.07,7.1759,106.0677,single
31,782.06,249.47,40.39,27.86,16.59,10.2975,23.3788,overlap
34,732.89,23.18,53.02,38.09,176.69,12.0419,55.0858,overlap
35,621.79,207.05,74.06,32.49,176.43,11.4343,91.6897,overlap
39,797.17,441.77,57.18,41.53,2.89,9.3385,69.8585,single
43,448.11,80.07,62.26,37.71,157.13,6.9218,75.1974,overlap
44,530.42,301.71,45.31,40.08,165.08,7.9549,42.3305,single
47,553.94,212.89,74.04,34.61,173.77,10.2479,97.6192,overlap
49,387.81,321.88,94.02,58.19,138.59,9.0578,264.6381,overlap
53,441.62,295.10,81.12,68.07,145.31,11.1236,230.4236,overlap
55,654.94,382.75,51.79,44.13,172.18,17.2280,60.9042,overlap
56,313.83,563.68,74.13,57.53,168.30,7.9105,162.6209,single
59,660.68,403.94,68.11,37.62,13.02,9.4647,89.7704,overlap
61,641.81,364.58,54.15,35.05,17.13,11.4826,52.8650,overlap
64,372.22,55.25,72.52,43.05,141.02,11.3378,116.4568,overlap
67,442.89,58.41,77.83,41.20,169.57,8.4240,128.4124,overlap
68,543.90,95.20,64.74,33.70,150.38,9.4124,72.6537,single
74,655.26,49.58,68.46,47.83,146.67,11.3947,115.3106,overlap
79,721.58,223.48,56.54,48.97,172.75,8.0661,80.5342,overlap
83,451.59,365.41,35.17,30.17,170.84,9.6878,19.2064,overlap
84,398.72,581.98,68.17,48.31,156.41,11.1171,115.5073,overlap
85,444.71,118.78,54.69,49.72,125.96,13.0795,76.5025,overlap
86,594.05,72.91,42.86,37.28,17.97,8.0488,35.2337,single
145,355.36,98.67,41.36,40.42,176.65,6.5871,35.5743,single
151,305.91,659.74,51.49,43.29,173.05,5.2352,59.0426,overlap
58,672.08,276.42,32.65,31.10,177.52,7.5345,17.0550,single
165,874.05,678.46,24.08,23.93,90.32,5.3306,7.1369,single
173,516.34,597.86,58.33,44.68,157.27,11.2839,78.1986,overlap
32,530.75,377.40,90.84,49.66,155.80,11.8475,210.8242,overlap
187,691.81,598.07,85.19,42.31,2.00,9.0247,157.9828,overlap
192,645.21,605.50,60.11,55.30,2.49,10.3484,102.7951,overlap
12,415.34,6.85,39.88,14.99,179.52,3.1956,12.2658,single
52,466.92,424.90,95.75,39.76,5.95,8.7596,187.5336,single
219,716.13,521.52,64.60,48.72,171.96,11.4993,104.6156,overlap
227,427.42,625.99,87.97,61.63,5.07,6.0683,245.3781,overlap
233,538.00,409.64,55.63,50.64,176.25,6.9825,80.6302,overlap
21,732.76,181.18,64.58,41.36,17.49,7.9231,88.7471,overlap
251,580.92,584.17,86.84,48.98,16.02,13.5102,189.9999,overlap
54,428.19,344.37,65.01,46.47,154.23,8.8192,101.0522,overlap
23,589.01,153.49,67.97,40.92,2.07,10.0393,97.2558,single
46,649.87,477.74,58.30,34.02,175.71,12.6480,59.4927,single
254,666.41,673.18,47.95,43.43,6.26,8.8773,51.3699,overlap
257,269.02,685.29,57.29,39.48,4.15,8.0056,66.6708,overlap
7,594.33,425.88,43.71,40.18,2.07,8.8993,39.4946,overlap
226,771.64,645.71,108.21,42.41,11.31,9.9393,255.4456,overlap
62,532.24,9.85,77.75,33.83,176.07,13.0991,105.2099,overlap
66,750.09,56.03,50.10,43.19,20.96,10.0946,55.7769,overlap
292,298.12,721.69,29.76,27.59,170.49,5.9695,12.5727,single
278,761.87,689.76,83.80,63.28,154.96,17.7967,228.6516,overlap
81,537.88,40.28,52.30,51.91,2.35,7.6985,73.0405,overlap
37,736.75,465.83,62.57,40.39,32.42,6.2319,81.3564,overlap
299,640.50,683.24,84.68,47.42,5.97,10.1198,174.9237,overlap
304,350.04,42.06,48.34,31.22,104.67,8.7513,37.5240,overlap
253,353.95,686.62,75.04,51.38,170.88,9.1213,148.8267,single
16,758.76,359.40,70.74,42.30,26.55,8.9087,108.8898,overlap
22,416.58,135.93,72.88,42.90,150.96,10.0700,117.2260,overlap
259,655.90,73.23,71.78,45.85,3.61,11.8218,121.5108,overlap
307,510.26,708.09,128.80,81.69,5.43,16.8567,697.1977,overlap
174,592.20,604.38,54.71,35.52,17.50,4.1228,54.6939,overlap
30,570.45,188.63,33.96,32.05,89.39,10.7537,19.0141,overlap
340,432.53,762.81,63.55,39.95,13.78,8.6772,83.0100,single
342,730.13,758.86,35.74,34.08,173.71,6.8188,22.3941,single
40,383.95,255.92,58.77,39.62,155.92,9.8146,70.3934,single
359,530.17,748.54,71.73,53.73,3.92,24.9111,142.2048,overlap
369,593.56,777.59,67.80,46.38,171.80,12.6146,109.6993,overlap
376,746.27,720.56,47.23,37.39,171.82,8.2427,42.8999,overlap
36,662.11,165.19,77.80,42.30,5.04,8.6961,131.6967,single
386,526.69,775.96,89.41,50.00,5.29,9.8207,205.6359,overlap
13,545.91,551.24,37.96,36.52,3.83,8.3645,27.0756,overlap
