气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,838.37,60.48,44.57,40.21,4.93,6.9009,41.0901,overlap
2,369.08,336.92,43.78,38.69,8.74,6.9320,38.1580,single
3,877.61,413.66,57.90,49.33,165.47,5.8823,85.0784,single
4,681.58,229.91,44.68,38.62,1.00,9.3613,39.6525,overlap
5,295.26,281.10,71.31,58.80,10.90,8.0591,153.8415,single
6,859.20,137.36,37.06,34.69,175.87,4.8468,24.5072,single
8,843.40,247.29,62.42,45.51,22.00,7.4377,91.2360,overlap
10,669.99,156.47,49.27,40.75,13.79,7.6396,50.8806,overlap
14,559.97,195.54,69.15,43.99,27.62,11.7979,108.2381,overlap
18,894.42,267.17,43.20,36.75,25.22,6.1337,35.2817,single
20,588.31,335.35,44.74,43.15,179.12,8.3199,44.4459,overlap
24,756.44,315.82,78.68,44.96,28.77,7.3077,143.1801,overlap
25,311.30,99.62,55.35,40.79,35.96,5.7831,64.2878,single
27,778.19,38.06,96.65,52.98,27.83,10.7405,254.6421,overlap
28,425.95,281.55,54.82,31.22,169.67,9.9758,48.2751,single
29,259.76,63.17,62.83,45.04,36.01,6.7667,91.4612,single
44,515.01,133.25,46.30,40.24,116.88,7.5007,44.3794,overlap
47,539.87,4.81,91.73,18.98,175.85,6.4582,82.1464,overlap
49,364.67,136.11,80.26,55.18,118.07,8.9347,182.8834,overlap
53,467.67,121.85,77.66,52.92,36.40,7.5806,164.1882,overlap
55,640.30,208.10,44.50,44.41,88.84,10.4877,45.2518,overlap
56,315.97,416.46,99.40,54.27,13.73,6.4508,275.8665,single
59,682.70,203.76,70.29,31.70,19.45,9.8345,80.5828,overlap
61,656.70,148.00,53.80,32.50,16.87,12.2068,48.3970,overlap
84,395.86,419.11,78.05,42.71,169.48,6.2522,133.8498,overlap
151,313.38,539.42,46.41,39.06,12.29,8.0182,43.2845,overlap
58,670.29,118.64,33.42,28.36,0.98,9.0401,16.2929,single
165,877.43,576.97,23.64,23.43,90.91,4.9979,6.7344,single
173,515.04,406.28,51.81,47.21,1.14,10.5302,65.2044,single
32,521.79,162.32,86.91,50.98,150.81,9.8247,198.1303,overlap
187,693.58,401.46,89.27,45.29,2.96,11.9282,185.6566,overlap
192,655.88,414.92,70.04,49.55,19.55,10.8800,125.0557,overlap
219,721.86,345.13,63.24,56.20,179.40,6.6676,115.6220,overlap
227,420.73,427.07,95.88,53.23,159.68,7.6530,251.7190,overlap
233,532.26,224.58,58.39,50.21,169.38,8.3266,88.0903,overlap
21,732.95,5.88,68.36,43.22,30.62,7.0930,103.9137,overlap
251,593.01,377.85,76.05,45.85,13.00,12.8697,136.4444,overlap
54,420.47,147.14,71.77,52.71,157.11,10.1790,139.6812,overlap
46,628.43,258.72,48.25,41.78,170.36,9.9497,50.0444,overlap
257,275.67,524.66,73.80,33.16,9.31,8.2186,92.9237,overlap
226,774.48,457.30,102.11,44.90,16.78,8.4298,240.8481,overlap
292,277.50,606.43,28.97,28.77,177.69,6.4592,12.4236,single
278,754.56,496.09,76.16,59.42,157.37,10.8742,177.3277,overlap
37,763.03,291.16,67.39,36.68,30.18,11.9171,85.7129,overlap
253,346.84,507.56,73.71,39.13,160.62,9.1821,109.3863,overlap
16,762.98,188.88,76.02,36.73,24.79,8.0433,109.1945,overlap
307,494.53,497.49,117.00,74.37,156.97,10.4009,523.7076,overlap
174,617.17,404.31,58.18,38.81,31.60,10.4107,67.5861,overlap
340,440.03,577.39,61.86,47.62,16.44,9.0793,93.7338,overlap
342,721.19,622.41,36.82,36.67,91.70,6.7427,25.5718,single
369,588.96,583.67,60.64,55.22,166.79,10.4855,104.4568,single
376,725.53,568.29,52.81,47.87,167.65,8.3199,68.6815,single
386,505.94,569.32,98.35,51.16,148.81,13.6968,254.5737,overlap
13,556.64,390.80,40.36,36.82,91.34,6.7635,30.8477,overlap
410,529.35,625.06,62.49,42.55,151.78,11.7011,85.4656,single
413,307.06,694.12,71.18,49.03,142.69,8.5455,127.8257,single
36,669.27,5.67,31.63,12.59,179.16,14.2318,6.4823,overlap
359,502.88,542.94,71.75,59.29,161.86,9.1404,157.0272,overlap
30,565.49,41.78,32.51,29.07,170.74,8.0182,15.8059,single
435,635.03,704.08,88.16,38.20,1.00,11.8546,152.7244,overlap
442,479.93,693.38,60.02,42.67,0.54,15.6156,79.0695,overlap
408,442.84,663.18,67.28,56.34,136.74,10.9297,131.2267,overlap
79,689.74,50.47,55.40,48.23,141.26,15.9793,76.1491,overlap
456,728.53,732.43,67.24,47.76,40.92,9.0343,111.0783,overlap
466,767.18,723.05,74.29,45.44,31.97,10.2539,128.9957,overlap
432,608.31,677.73,102.07,42.00,2.17,9.0248,225.1015,overlap
31,763.42,88.50,31.60,29.74,4.58,8.2330,15.2748,single
39,789.71,265.85,84.46,47.05,177.10,9.9724,172.6673,overlap
474,402.15,728.59,42.92,25.29,159.99,11.4927,23.9716,single
484,341.82,748.74,77.84,40.93,2.69,8.8886,127.5983,single
485,772.40,208.34,44.49,33.34,10.65,7.5784,33.9469,overlap
491,240.27,779.46,43.39,39.36,2.62,5.2197,38.1171,single
40,366.45,88.39,61.80,36.63,163.59,10.8471,71.9616,overlap
254,648.36,486.11,72.39,57.46,14.53,9.4184,154.9003,single
503,772.14,535.60,42.18,32.84,28.43,6.2840,30.0510,overlap
505,702.94,771.33,53.84,42.86,176.28,0.7060,63.9301,overlap
52,467.01,218.02,88.11,39.76,1.58,11.3844,158.8127,overlap
83,446.64,191.67,38.19,33.66,175.40,9.0504,25.2639,overlap
473,705.87,58.86,40.16,33.07,97.04,10.5964,27.4412,overlap
527,683.03,777.43,81.84,35.25,20.91,11.3001,121.4511,overlap
532,767.43,748.28,42.16,37.82,8.71,6.5267,34.5846,overlap
534,720.59,29.92,42.80,26.34,157.61,10.9673,24.8221,overlap
537,480.87,790.03,76.50,29.01,178.66,17.8133,87.3286,single
539,700.97,785.48,56.39,30.91,4.10,14.9941,50.5645,overlap
347,730.63,250.63,13.27,12.04,100.46,6.0182,1.0898,single
548,780.70,792.70,45.87,17.56,0.33,7.4033,19.0142,single
7,588.78,269.85,42.79,41.00,3.64,7.0183,38.6295,overlap
549,833.31,796.71,58.26,45.17,140.43,10.5176,78.8668,single
553,722.23,344.84,62.04,56.90,175.96,6.1229,112.6712,single
528,452.08,686.92,43.97,40.97,3.64,8.7183,40.7443,overlap
538,647.09,485.56,71.92,57.53,13.55,11.8157,153.0804,overlap
11,488.70,7.91,52.90,21.29,179.69,6.1729,30.6574,overlap
