气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,838.29,51.62,43.41,39.61,4.74,6.6730,38.4069,overlap
2,369.92,326.38,42.85,38.91,6.16,8.6612,36.7623,single
3,877.97,405.80,57.46,48.51,166.77,5.5689,82.3958,single
4,680.23,217.84,45.10,40.31,170.72,9.2469,42.1782,overlap
5,295.53,271.12,73.90,56.20,16.83,7.5322,157.8921,single
6,858.12,129.40,36.84,34.04,174.63,5.2058,23.7763,single
8,843.39,237.86,62.56,45.06,20.37,6.9888,90.7415,overlap
10,668.18,145.62,53.80,39.61,18.92,9.9634,58.9871,overlap
14,560.28,181.51,69.63,42.48,27.89,10.2459,105.9569,overlap
18,894.11,258.94,42.94,37.13,23.60,6.6108,35.2239,single
20,587.81,322.95,45.00,42.26,178.84,9.5985,44.0283,overlap
24,758.56,304.17,80.90,43.93,29.67,7.7104,147.9399,overlap
25,312.89,91.19,52.99,40.40,34.14,5.6681,58.3526,single
27,779.73,26.64,97.52,55.16,25.65,8.9218,269.8557,overlap
28,425.14,267.94,54.47,30.90,168.12,10.9350,47.1768,single
29,259.38,53.08,63.05,45.63,39.00,9.4946,93.3218,single
44,514.39,120.66,41.41,38.46,163.34,7.7437,33.9189,overlap
49,362.62,124.82,78.24,53.81,120.52,10.8165,169.4493,overlap
53,466.73,110.01,76.74,52.83,34.75,8.0168,160.0542,overlap
55,638.56,195.95,43.91,43.79,177.75,9.0223,43.4375,single
56,314.87,406.38,95.60,53.31,16.67,7.9824,250.6470,single
59,684.66,190.08,67.22,29.40,20.91,9.4470,68.3456,overlap
61,657.72,132.19,54.44,31.15,19.34,12.1078,47.4945,overlap
84,394.97,409.81,71.51,45.36,166.18,3.4228,119.3296,overlap
151,313.14,530.43,47.68,39.26,16.73,6.5769,45.9137,overlap
58,670.07,106.50,33.12,27.47,177.84,10.2888,15.5053,overlap
165,877.18,569.85,23.53,23.46,0.39,4.7848,6.6804,single
173,515.40,393.04,51.88,46.30,179.14,10.5580,64.1115,single
32,522.21,148.48,85.77,52.65,152.67,8.6007,199.2703,overlap
187,693.23,388.26,89.59,45.52,2.12,9.3347,187.9719,overlap
192,656.77,401.79,69.21,49.23,18.09,9.0798,121.2984,overlap
227,423.47,413.51,100.76,53.32,156.91,17.6320,278.4863,overlap
233,531.04,211.76,57.00,49.63,164.31,9.6025,82.9542,overlap
21,735.95,5.93,52.12,21.04,0.35,13.0869,29.4085,overlap
251,593.09,363.70,76.32,48.11,17.30,10.3867,144.1688,overlap
54,417.65,134.40,69.27,52.04,161.78,9.6990,128.4666,overlap
46,625.82,243.91,50.03,41.45,168.31,10.1230,53.3707,overlap
257,275.56,514.25,71.60,31.12,8.62,7.8798,82.0945,overlap
226,776.11,444.46,100.19,44.00,18.82,7.9186,227.2377,overlap
292,276.67,598.76,30.10,28.15,170.19,6.2247,13.1200,single
278,753.20,484.49,75.89,56.79,156.70,10.4383,168.2873,overlap
37,764.20,277.16,64.60,37.25,30.52,12.3278,79.9786,overlap
253,346.71,494.67,71.23,37.19,159.81,7.6930,97.0984,single
16,762.26,176.38,74.45,35.96,23.60,11.4136,102.5297,overlap
307,493.31,484.12,118.60,71.49,154.39,14.1573,517.3243,overlap
174,617.39,391.44,56.47,37.27,27.15,9.8676,61.1249,overlap
340,440.51,565.49,60.32,46.76,12.74,8.5742,87.5490,overlap
342,721.14,613.00,37.41,37.13,4.00,6.7183,26.7320,single
369,588.93,569.69,61.41,55.68,168.94,9.0785,108.0429,single
376,724.96,558.02,50.86,47.42,173.48,7.6882,63.1055,single
386,503.00,555.65,99.92,49.86,149.10,7.4480,256.0745,overlap
13,558.18,379.95,39.63,36.52,91.78,9.3164,29.5029,overlap
410,527.25,608.95,63.53,44.00,149.84,11.4932,91.3775,single
413,305.12,682.50,72.74,49.13,141.24,8.9182,133.7294,single
359,504.91,529.20,71.63,65.47,1.71,17.3935,172.8135,overlap
30,564.82,30.37,33.06,28.67,172.71,8.0794,16.1155,single
435,635.32,690.72,85.36,41.17,1.85,12.2292,154.3263,overlap
